[0],,,,,,,,,,,
一,韻,到底,,,,,,,,,
jat1,wan5,dou3-dai2,,,,,,,,,
one,rhyme,to the end,,,,,,,,,
[1],,,,,,,,,,,
拎,起,我,個,電話,，,打畀,我,個,媽媽,,
ling1,hei2,ngo5,go3,din6-waa2,#,daa2-bei2,ngo5,go3,maa4-maa1,,
take,up,I,(measure),phone,#,call,I,(measure),mother,,
[2],,,,,,,,,,,
媽媽,？,！,我,喺,吐露港,嚟,喇,,,,
maa4-maa1,#,#,ngo5,hai2,tou3-lou6-gong2,lai4,laa3,,,,
mother,#,#,I,at,Tolo Harbour,come,(particle),,,,
[3],,,,,,,,,,,
而家,去,緊,宜家,，,睇,過,通勝,今日,適宜,移,家
ji4-gaa1,heoi3,gan2,ji4-gaa1,#,tai2,gwo3,tung1-sing3,gam1-jat6,sik1-ji4,ji4,gaa1
now,go to,-ing,Ikea,#,read,-ed,book of divination,today,suitable for,to move,home
[4],,,,,,,,,,,
媽媽,話,你,去,到,宜家,揾,你,姨媽,,,
maa4-maa1,waa6,nei5,heoi3,dou3,ji4-gaa1,wan2,nei5,ji4-maa1,,,
mother,say,you,go,to,Ikea,look for,you,aunt,,,
[5],,,,,,,,,,,
姨媽,喺,宜家,食,緊,龍蝦,,,,,,
ji4-maa1,hai2,ji4-gaa1,sik6,gan2,lung4-haa1,,,,,,
aunt,at,Ikea,eat,-ing,lobster,,,,,,
[6],,,,,,,,,,,
我,去,到,宜家,跑,上,三,樓,尋,她,,
ngo5,heoi3,dou3,ji4-gaa1,paau2,soeng5,saam1,lau2,cam4,taa1,,
I,go,to,Ikea,run,up to,3rd,floor,look for,she,,
[7],,,,,,,,,,,
摸,下,褲,袋,得返,一,堆,神沙,,,,
mo2,haa5,fu3,doi2,dak1-faan1,jat1,deoi1,san4-saa1,,,,
feel,a bit,pants,pocket,only have,one,pile of,dimes and nickels,,,,
[8],,,,,,,,,,,
冇錢,搭,的士,希望,姨媽,唔好,怪,我,遲到,啦,,
mou5-cin2,daap3,dik1-si2,hei1-mong6,ji4-maa1,m4-hou2,gwaai3,ngo5,ci4-dou3,laa1,,
no money,take,taxi,hope,aunt,do not,blame,I,arrive late,(particle),,
[9],,,,,,,,,,,
揾,姨媽,揾到,我,好似,一個,傻瓜,,,,,
wan2,ji4-maa1,wan2-dou3,ngo5,hou2-ci5,jat1-go3,so4-gwaa1,,,,,
look for,aunt,look for,I,seems like,one (measure),idiot,,,,,
[10],,,,,,,,,,,
終於,喺,個,角落頭,揾到,一個,好似,如花,,,,
zung1-jyu1,hai2,go3,gok3-lok1-tau2,wan2-dou2,jat1-go3,hou2-ci5,jyu4-faa1,,,,
finally,at,(measure),corner,find,one (measure),look like,"""beautiful as a flower""",,,,
[11],,,,,,,,,,,
冇錯,呢個,如花,就係,我,嘅,姨媽,,,,,
mou5-co3,nei1-go3,jyu4-faa1,zau6-hai6,ngo5,ge3,ji4-maa1,,,,,
alright,this,"""beautiful as a flower""",which is,I,’s,aunt,,,,,
[12],,,,,,,,,,,
如花,隔籬,冇人,坐,原因,無他,,,,,,
jyu4-faa1,gaak3-lei4,mou5-jan4,co5,jyun4-jan1,mou4-taa1,,,,,,
"""beautiful as a flower""",beside,no one,sit,reason,no other,,,,,,
[13],,,,,,,,,,,
姨媽,一,見到,我,講笑,話,我,呢個,人渣,,,
