[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
讓,我,閃耀,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joeng6,ngo5,sim2-jiu6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
let,me,shine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
住,打鼓嶺,嘅,東東,，,一啲,都,唔怕,凍,——,佢,有,個,暖,身,秘訣,，,就係,大聲,唱歌,。,,,,,,,,,,,,,,,,,,,,,,,
zyu6,daa2-gu2-leng5,ge3,dung1-dung1,#,jat1-di1,dou1,m4-paa3,dung3,#,keoi5,jau5,go3,nyun5,san1,bei3-kyut3,#,zau6-hai6,daai6-seng1,coeng3-go1,#,,,,,,,,,,,,,,,,,,,,,,,
live,Ta Kwu Ling,(linker),Tony,#,a bit,all,not fear,cold,#,he,have,(measure),warm,body,secret tip,#,is,loudly,to sing songs,#,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
星期一,朝早,，,氣温,得返,五,度,，,東東,掖高,衫袖,，,大聲,噉,唱,：,「,讓,——,我,——,閃,——,耀,——,」,,,,,,,,,,,,,,,,,,
sing1-kei4-jat1,ziu1-zou2,#,hei3-wan1,dak1-faan1,ng5,dou6,#,dung1-dung1,jip3-gou1,saam1-zau6,#,daai6-seng1,gam2,coeng3,#,#,joeng6,#,ngo5,#,sim2,#,jiu6,#,#,,,,,,,,,,,,,,,,,,
Monday,morning,#,air temperature,only have,five,degree celsius,#,Tony,roll up,sleeves,#,loud,-ly,sing,#,#,let,#,me,#,shi-,#,-ne,#,#,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
當時,嘅,佢,冇為意到,有,人,喺,自己,後面,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dong1-si4,ge3,keoi5,mou5-wai4-ji3-dou3,jau5,jan4,hai2,zi6-gei2,hau6-min6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
that time,(linker),he,haven't noticed,have,person,at,oneself,behind,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
第二日,放學,，,班長,跟住,東東,行,。,東東,唔耐煩,，,就,問,：,「,你,做咩,成,隻,吊靴鬼,噉,跟住,我,尾,啫,？,」,,,,,,,,,,,,,,,,,
dai6-ji6-jat6,fong3-hok6,#,baan1-zoeng2,gan1-zyu6,dung1-dung1,haang4,#,dung1-dung1,m4-noi6-faan4,#,zau6,man6,#,#,nei5,zou6-me1,seng4,zek3,diu3-hoe1-gwai2,gam2,gan1-zyu6,ngo5,mei5,ze1,#,#,,,,,,,,,,,,,,,,,
the next day,after school,#,class monitor,follow,Tony,to walk,#,Tony,impatient,#,then,ask,#,#,you,for what,like,(measure),ghost,in this way,follow,I,back,(particle),#,#,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
