[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大,藝術家,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daai6,ngai6-seot6-gaa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
big,artist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿女,又,上,台,攞獎,喇,。,佢,打扮,得,好,靚,，,喺,台,上,講,緊,得獎,感受,。,佢,啲,朋友仔,坐,喺,我,隔籬,幫,佢,影相,，,有,個,仲,話,陣間,要,同,佢,一齊,打卡,。,,,,,,,,,,,,,,,,,
aa3-neoi2,jau6,soeng5,toi4,lo2-zoeng2,laa3,#,keoi5,daa2-baan3,dak1,hou2,leng3,#,hai2,toi4,soeng6,gong2,gan2,dak1-zoeng2,gam2-sau6,#,keoi5,di1,pang4-jau5-zai2,co5,hai2,ngo5,gaak3-lei4,bong1,keoi5,jing2-soeng2,#,jau5,go3,zung6,waa6,zan6-gaan1,jiu3,tung4,keoi5,jat1-cai4,daa2-kaat1,#,,,,,,,,,,,,,,,,,
daughter,again,go on,stage,receive award,(particle),#,she,dress up,(suffix),very,beautiful,#,at,stage,above,say,-ing,award-winning,feeling,#,she,’s,friends,sit,at,me,next to,to help,her,take picture,#,have,(measure),even,say,later,need to,with,her,together,check-in on app,#,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,邊個,估,到,依家,企,喺,台,上,嗰,個,靚女,，,細個,嗰陣,係,一,嚿,忟薑,嚟,嘅,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5,bin1-go3,gu2,dou2,ji1-gaa1,kei5,hai2,toi4,soeng6,go2,go3,leng3-neoi2,#,sai3-go3,go2-zan6,hai6,jat1,gau6,mang2-goeng1,lei4,ge3,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have,who,guess,can,now,stand,at,stage,above,that,(measure),pretty girl,#,little,that time,is,one,(measure),person easily losing temper,is,(particle),(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,仲,記得,佢,九,歲,生日,嗰,日,，,我,專登,請假,、,踩單車,去,接,佢,放學,，,點知,佢,一,望到,我,就,鼓埋泡腮,，,忟忟憎憎,噉,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,zung6,gei3-dak1,keoi5,gau2,seoi3,saang1-jat6,go2,jat6,#,ngo5,zyun1-dang1,ceng2-gaa3,#,caai2-daan1-ce1,heoi3,zip3,keoi5,fong3-hok6,#,dim2-zi1,keoi5,jat1,mong6-dou2,ngo5,zau6,gu2-maai4-paau1-soi1,#,mang2-mang2-zang2-zang2,gam2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
