[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
點解,?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dim2-gaai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
why,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aisha,係,一個,好,鍾意,玩,同,做運動,嘅,女仔,，,佢,最,鍾意,踢波,。,對於,足球,，,佢,有,好多,個,「,點解,」,：,點解,踢波,冇,三分波,？,點解,踢波,有,越位,？,點解,踢波,唔,准,用,手,？,點解,足球,個,波,咁,大,嘅,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aisha,hai6,jat1-go3,hou2,zung1-ji3,waan2,tung4,zou6-wan6-dung6,ge3,neoi5-zai2,#,keoi5,zeoi3,zung1-ji3,tek3-bo1,#,deoi3-jyu1,zuk1-kau4,#,keoi5,jau5,hou2-do1,go3,#,dim2-gaai2,#,#,dim2-gaai2,tek3-bo1,mou5,saam1-fan1-bo1,#,dim2-gaai2,tek3-bo1,jau5,jyut6-wai6,#,dim2-gaai2,tek3-bo1,m4,zeon2,jung6,sau2,#,dim2-gaai2,zuk1-kau4,go3,bo1,gam3,daai6,ge2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aisha,is,one (measure),very,like,to play,and,do sport,(linker),girl,#,she,most,like,to play football,#,with regard to,football,#,she,have,many,(measure),#,why,#,#,why,play football,don't have,Three Point Field Goal,#,why,play football,have,offside,#,why,play football,not,allow,to use,hand,#,why,football,(measure),ball,so,big,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
而,佢,最,想,知,嘅,係,，,點解,嚟,親,足球,場,踢波,嘅,都係,男仔,嘅,？,Aisha,好,想,知道,呢啲,問題,嘅,答案,，,所以,開始,周圍,問,人,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji4,keoi5,zeoi3,soeng2,zi1,ge3,hai6,#,dim2-gaai2,lei4,can1,zuk1-kau4,coeng4,tek3-bo1,ge3,dou1-hai6,naam4-zai2,ge2,#,Aisha,hou2,soeng2,zi1-dou3,ni1-di1,man6-tai4,ge3,daap3-on3,#,so2-ji5,hoi1-ci2,zau1-wai4,man6,jan4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
and,she,most,want,to know,(linker),is,#,why,come,whenever,football,field,to play football,(linker),always is,boy,(particle),#,Aisha,very,want,to know,these,question,(linker),answer,#,therefore,begin,around,ask,people,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aisha,試過,問,朋友,呢啲,問題,，,不過,佢哋,全部,都,唔識,答,。,Aisha,又,試,過,叫,朋友仔,一齊,踢波,，,但係,佢哋,都,拒絕,。,Aisha,問,佢哋,點解,唔,踢波,，,佢哋,就話,要,做功課,同,温書,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aisha,si3-gwo3,man6,pang4-jau5,ni1-di1,man6-tai4,#,bat1-gwo3,keoi5-dei6,cyun4-bou6,dou1,m4-sik1,daap3,#,Aisha,jau6,si3,gwo3,giu3,pang4-jau5-zai2,jat1-cai4,tek3-bo1,#,daan6-hai6,keoi5-dei6,dou1,keoi5-zyut6,#,Aisha,man6,keoi5-dei6,dim2-gaai2,m4,tek3-bo1,#,keoi5-dei6,zau6-waa6,jiu3,zou6-gung1-fo3,tung4,wan1-syu1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aisha,tried,ask,friend,these,question,#,however,they,all,"all, also",don't know,answer,#,Aisha,also,try,-ed,call,little friends,together,to play football,#,but,they,"all, also",refuse,#,Aisha,ask,they,why,not,play football,#,they,then say,have to,do homework,and,review lessons,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aisha,嘅,朋友,全部,都,好,勤力,，,每日,都,温,好,耐,書,。,Aisha,問,佢哋,，,點解,要,將,啲,時間,放,晒,落,學業,度,，,不過,佢哋,竟然,全部,都,答,唔知道,。,Aisha,諗返,起,上次,問,佢哋,問題,，,佢哋,都,唔識,答,。,Aisha,心,入面,覺得,，,呢啲,問題,唔,會,得到,答案,，,所以,佢,冇,再,問,其他,人,問題,。,於是,，,佢,心,入面,積,埋,積,埋,好多,「,點解,」,。
Aisha,ge3,pang4-jau5,cyun4-bou6,dou1,hou2,kan4-lik6,#,mui5-jat6,dou1,wan1,hou2,noi6,syu1,#,Aisha,man6,keoi5-dei6,#,dim2-gaai2,jiu3,zoeng1,di1,si4-gaan3,fong3,saai3,lok6,hok6-jip6,dou6,#,bat1-gwo3,keoi5-dei6,ging2-jin4,cyun4-bou6,dou1,daap3,m4-zi1-dou6,#,Aisha,nam2-faan1,hei2,soeng6-ci3,man6,keoi5-dei6,man6-tai4,#,keoi5-dei6,dou1,m4-sik1,daap3,#,Aisha,sam1,jap6-min6,gok3-dak1,#,ni1-di1,man6-tai4,m4,wui5,dak1-dou3,daap3-on3,#,so2-ji5,keoi5,mou5,zoi3,man6,kei4-taa1,jan4,man6-tai4,#,jyu1-si6,#,keoi5,sam1,jap6-min6,zik1,maai4,zik1,maai4,hou2-do1,#,dim2-gaai2,#,#
Aisha,’s,friends,all,also,very,diligent,#,every day,"all, also",review,very,long time,book,#,Aisha,ask,they,#,why,have to,take,those,time,put,all,to,studies,place,#,however,they,to one's surprise,all,"all, also",reply,don't know,#,Aisha,recall,begin,last time,ask,they,question,#,they,"all, also",don't know,answer,#,Aisha,heart,inside,feel,#,these,question,not,will,gain,answer,#,therefore,she,don't have,again,ask,other,people,question,#,so,#,she,heart,inside,accumulate,also,accumulate,also,many,#,why,#,#
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有一日,，,Aisha,喺,公園,坐坐下,，,突然,諗起,嗰啲,「,點解,」,。,佢,發現,自己,仍然,好,想,揾到,答案,，,不過,唔知,可以,向,咩,人,發問,。,喺,呢個,時候,，,佢,問,自己,：,「,點解,我,有,咁,多,點解,嘅,呢,？,」,可惜,，,佢,發現,自己,都,唔識,答,。,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5-jat1-jat6,#,Aisha,hai2,gung1-jyun2,co5-co5-haa5,#,dat6-jin4,nam2-hei3,go2-di1,#,dim2-gaai2,#,#,keoi5,faat3-jin6,zi6-gei2,jing4-jin4,hou2,soeng2,wan2-dou2,daap3-on3,#,bat1-gwo3,m4-zi1,ho2-ji5,hoeng3,me1,jan4,faat3-man6,#,hai2,ni1-go3,si4-hau6,#,keoi5,man6,zi6-gei2,#,#,dim2-gaai2,ngo5,jau5,gam3,do1,dim2-gaai2,ge3,ne1,#,#,ho2-sik1,#,keoi5,faat3-jin6,zi6-gei2,dou1,m4-sik1,daap3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
one day,#,Aisha,at,park,while sitting,#,suddenly,think of,those,#,why,#,#,she,find out,oneself,still,very,want to,find,answer,#,however,don't know,can,towards,what,people,to ask questions,#,at,this (measure),time,#,she,ask,oneself,#,#,why,I,have,so,many,why,(particle),(particle),#,#,it's a pity,#,she,find out,oneself,"all, also",don't know,answer,#,,,,,,,,,,,,,,,,,,,,,,,,,,,
[6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
後來,，,佢,揾到,個,將,啲,「,點解,」,表達,出嚟,嘅,方法,－,就係,畫畫,！,佢,唔知,點解,足球,場,只有,男仔,踢波,，,又,唔知,點解,冇,女仔,肯,同,佢,一齊,踢波,，,所以,佢,就,畫,咗,一,幅,男仔,女仔,一齊,踢波,嘅,畫,；,佢,唔知,點解,朋友仔,淨係,温書,，,唔,同,佢,一齊,玩,，,所以,就,畫,咗,幅,佢,同,朋友,一齊,玩,嘅,畫,。,漸漸地,，,佢,畫,咗,好多,畫,。
hau6-loi4,#,keoi5,wan2-dou2,go3,zoeng1,di1,#,dim2-gaai2,#,biu2-daat6,ceot1-lei4,ge3,fong1-faat3,#,zau6-hai6,waak6-waa2,#,keoi5,m4-zi1,dim2-gaai2,zuk1-kau4,coeng4,zi2-jau5,naam4-zai2,tek3-bo1,#,jau6,m4-zi1,dim2-gaai2,mou5,neoi5-zai2,hang2,tung4,keoi5,jat1-cai4,tek3-bo1,#,so2-ji5,keoi5,zau6,waak6,zo2,jat1,fuk1,naam4-zai2,neoi5-zai2,jat1-cai4,tek3-bo1,ge3,waa2,#,keoi5,m4-zi1,dim2-gaai2,pang4-jau5-zai2,zing6-hai6,wan1-syu1,#,m4,tung4,keoi5,jat1-cai4,waan2,#,so2-ji5,zau6,waak6,zo2,fuk1,keoi5,tung4,pang4-jau5,jat1-cai4,waan2,ge3,waa2,#,zim6-zim6-dei6,#,keoi5,waak6,zo2,hou2-do1,waa2,#
afterwards,#,she,found,(measure),take,those,#,why,#,to express,out,(linker),method,#,which is,drawing,#,she,don't know,why,football,field,have...only,boy,to play football,#,also,don't know,why,don't have,girl,agree to,with,she,together,to play football,#,therefore,she,then,draw,-en,one,(measure),boy,girl,together,to play football,(linker),drawing,#,she,don't know,why,little friends,only,study,#,don't,with,she,together,to play,#,therefore,then,draw,-en,(measure),she,and,friends,together,to play,(linker),pictures,#,gradually,#,she,draw,-en,many,pictures,#
[7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,，,有,唔少,人,睇到,佢,嘅,畫,。,有,人,問,佢,：,「,點解,男仔,女仔,一齊,踢波,嘅,？,」,「,點解,咁,多,幅,畫,都係,你,喺度,玩,嘅,？,」,「,點解,你,畫,咁,多,畫,？,」,面對,呢啲,問題,，,Aisha,都會,問,返,佢哋,：,「,點解,唔得,呢,？,」,,,,,,,,,,,,,,,,,,,,,,,,
zi1-hau6,#,jau5,m4-siu2,jan4,tai2-dou2,keoi5,ge3,waa2,#,jau5,jan4,man6,keoi5,#,#,dim2-gaai2,naam4-zai2,neoi5-zai2,jat1-cai4,tek3-bo1,ge2,#,#,#,dim2-gaai2,gam3,do1,fuk1,waa2,dou1-hai6,nei5,hai2-dou6,waan2,ge2,#,#,#,dim2-gaai2,nei5,waak6,gam3,do1,waa2,#,#,min6-deoi3,ni1-di1,man6-tai4,#,Aisha,dou1-wui5,man6,faan1,keoi5-dei6,#,#,dim2-gaai2,m4-dak1,ne1,#,#,,,,,,,,,,,,,,,,,,,,,,,,
after,#,have,not few,people,saw,she,’s,drawing,#,have,people,ask,she,#,#,why,boy,girl,together,to play football,(particle),#,#,#,why,so,many,(measure),drawing,also is,you,right here,play,(particle),#,#,#,why,you,draw,so,many,pictures,#,#,to confront,these,question,#,Aisha,always will,ask,back,they,#,#,why,not okay,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,
[8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
越嚟越多,人,問,Aisha,「,點解,」,，,Aisha,發現,原來,唔止,佢,一個,有,咁,多,「,點解,」,。,雖然,佢,唔識,答,晒,每,一,條,問題,，,但係,對,佢哋,問,嘅,「,點解,」,都,非常,好奇,。,佢,明白,到,，,世界上,仲有,好多,未知,嘅,事物,，,佢,依然,有,好多,「,點解,」,。,同,之前,唔同,嘅,係,，,佢,唔,再,因為,怕,人哋,唔識,答,，,而,唔,敢,問,「,點解,」,。,
jyut6-lei4-jyut6-do1,jan4,man6,Aisha,#,dim2-gaai2,#,#,Aisha,faat3-jin6,jyun4-loi4,m4-zi2,keoi5,jat1-go3,jau5,gam3,do1,#,dim2-gaai2,#,#,seoi1-jin4,keoi5,m4-sik1,daap3,saai3,mui5,jat1,tiu4,man6-tai4,#,daan6-hai6,deoi3,keoi5-dei6,man6,ge3,#,dim2-gaai2,#,dou1,fei1-soeng4,hou3-kei4,#,keoi5,ming4-baak6,dou3,#,sai3-gaai3-soeng6,zung6-jau5,hou2-do1,mei6-zi1,ge3,si6-mat6,#,keoi5,ji1-jin4,jau5,hou2-do1,#,dim2-gaai2,#,#,tung4,zi1-cin4,m4-tung4,ge3,hai6,#,keoi5,m4,zoi3,jan1-wai6,paa3,jan4-dei6,m4-sik1,daap3,#,ji4,m4,gam2,man6,#,dim2-gaai2,#,#,
