[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
寵物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cung2-mat6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,係,嘉瑩,，,我,今日,就,六,歲,生日,喇,！,媽咪,好,錫,我,，,幫,我,搞,咗,個,生日,派對,。,媽咪,準備,咗,好多,嘢食,，,仲有,一個,好,大,嘅,生日,蛋糕,。,我,邀請,咗,好多,同學,同,我,一齊,玩,，,佢哋,都,話,會,嚟,同,我,慶祝,，,仲,話,會,送,生日,禮物,畀,我,添,！,唔知,佢哋,會,送,啲,咩,呢,？,不過,，,我,知道,媽咪,會,送,啲,咩,畀,我,做,生日,禮物,－,就係,我,一直,都,好,想,要,嘅,寵物,！,我,好,鍾意,動物,，,唔知,媽咪,會,送,咩,寵物,畀,我,呢,？
ngo5,hai6,gaa1-jing4,#,ngo5,gam1-jat6,zau6,luk6,seoi3,saang1-jat6,laa3,#,maa1-mi4,hou2,sek3,ngo5,#,bong1,ngo5,gaau2,zo2,go3,saang1-jat6,paai3-deoi3,#,maa1-mi4,zeon2-bei6,zo2,hou2-do1,je5-sik6,#,zung6-jau5,jat1-go3,hou2,daai6,ge3,saang1-jat6,daan6-gou1,#,ngo5,jiu1-cing2,zo2,hou2-do1,tung4-hok6,tung4,ngo5,jat1-cai4,waan2,#,keoi5-dei6,dou1,waa6,wui5,lai4,tung4,ngo5,hing3-zuk1,#,zung6,waa6,wui5,sung3,saang1-jat6,lai5-mat6,bei2,ngo5,tim1,#,m4-zi1,keoi5-dei6,wui5,sung3,di1,me1,ne1,#,bat1-gwo3,#,ngo5,zi1-dou3,maa1-mi4,wui5,sung3,di1,me1,bei2,ngo5,zou6,saang1-jat6,lai5-mat6,#,zau6-hai6,ngo5,jat1-zik6,dou1,hou2,soeng2,jiu3,ge3,cung2-mat6,#,ngo5,hou2,zung1-ji3,dung6-mat6,#,m4-zi1,maa1-mi4,wui5,sung3,me1,cung2-mat6,bei2,ngo5,ne1,#
I,is,Gabby,#,I,today,then,six,year-old,birthday,(particle),#,mommy,very,cherish,I,#,help,I,host,-en,(measure),birthday,party,#,mommy,prepare,-en,many,food,#,even have,one (measure),very,big,(linker),birthday,cake,#,I,invite,-en,many,schoolmate,with,I,together,to play,#,they,"all, also",say,will,come,with,I,celebrate,#,even,say,will,give,birthday,gift,to,I,(particle),#,don't know,they,will,give,some,what,(particle),#,however,#,I,know,mommy,will,give,some,what,to,I,to be,birthday,gift,#,which is,I,have always,also,very,want,to have,(linker),pet,#,I,very,like,animal,#,don't know,mommy,will,give,what,pet,to,I,(particle),#
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如果,係,大笨象,就,好,囉,，,噉,我,就,可以,騎,象,返學,。,聽,同學,講,，,住,屯門,嘅,人,會,騎,牛,返學,返工,，,我,都,想,試,下,。,不過,，,我,唔係,住,屯門,，,又,冇,養,牛,，,所以,未,有,機會,。,但,如果,媽咪,送,隻,大笨象,畀,我,，,我,就,可以,騎,象,返學,喇,！,同學仔,見到,，,一定,好,羡慕,我,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu4-gwo2,hai6,daai6-ban6-zoeng6,zau6,hou2,lo3,#,gam2,ngo5,zau6,ho2-ji5,ke4,zoeng6,faan1-hok6,#,teng1,tung4-hok6,gong2,#,zyu6,tyun4-mun4,ge3,jan4,wui5,ke4,ngau4,faan1-hok6,faan1-gung1,#,ngo5,dou1,soeng2,si3,haa5,#,bat1-gwo3,#,ngo5,m4-hai6,zyu6,tyun4-mun4,#,jau6,mou5,joeng5,ngau4,#,so2-ji5,mei6,jau5,gei1-wui6,#,daan6,jyu4-gwo2,maa1-mi4,sung3,zek3,daai6-ban6-zoeng6,bei2,ngo5,#,ngo5,zau6,ho2-ji5,ke4,zoeng6,faan1-hok6,laa3,#,tung4-hok6-zai2,gin3-dou2,#,jat1-ding6,hou2,sin6-mou6,ngo5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,is,elephant,then,good,(particle),#,then,I,then,can,ride,elephant,to go to school,#,heard,schoolmate,say,#,live,Tuen Mun,(linker),people,will,ride,cow,to go to school,to go to work,#,I,"all, also",want to,try,a bit,#,however,#,I,is not,live,Tuen Mun,#,again,don't have,keep,cow,#,therefore,not yet,have,chance,#,but,if,mommy,give,(measure),elephant,to,I,#,I,then,can,ride,elephant,to go to school,(particle),#,little schoolmate,see,#,surely,very,envy,I,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,，,大笨象,好似,行,得,好,慢,嗰,喎,，,會唔會,令,我,遲到,呢,？,遲到,嘅話,，,我,會,畀,老師,罰,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6-hai6,#,daai6-ban6-zoeng6,hou2-ci5,haang4,dak1,hou2,maan6,go3,wo3,#,wui5-m4-wui5,ling6,ngo5,ci4-dou3,ne1,#,ci4-dou3,ge3-waa3,#,ngo5,wui5,bei2,lou5-si1,fat6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
but,#,elephant,seems,walk,(suffix),very,slow,(particle),(particle),#,will or will not,make,I,late,(particle),#,late,if,#,I,will,by,teacher,punish,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
