[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞車,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sak1-ce1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
traffic jam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,住,屯門,，,不過,唔,近,西鐵,站,，,而,係,喺,碼頭,嗰,邊,。,屯門,對,我,嚟講,算,係,幾,方便,，,設施,齊全,，,有,幾,個,大型,商場,畀人,行街,買,嘢,之餘,，,仲有,唔少,公園,同,遊樂場,，,啱,晒,一家大細,。,呢度,仲有,好多,單車,徑,，,我,有時,都會,沿,住,屯門,河,踩單車,。,行,遠,少少,又,有,海灘,同,郊野,公園,，,可以,約,埋,一,班,朋友,去,游水,行山,。,前排,仲有,套,戲,係,用,屯門,做,背景,，,拍,到,我,屋企,周圍,嘅,風景,好,靚,——,其實,我,都,幾,鍾意,屯門,。
ngo5,zyu6,tyun4-mun4,#,bat1-gwo3,m4,kan5,sai1-tit3,zaam6,#,ji4,hai6,hai2,maa5-tau4,go2,bin1,#,tyun4-mun4,deoi3,ngo5,lai4-gong2,syun3,hai6,gei2,fong1-bin6,#,cit3-si1,cai4-cyun4,#,jau5,gei2,go3,daai6-jing4,soeng1-coeng4,bei2-jan4,haang4-gaai1,maai5,je5,zi1-jyu4,#,zung6-jau5,m4-siu2,gung1-jyun2,tung4,jau4-lok6-coeng4,#,ngaam1,saai3,jat1-gaa1-daai6-sai3,#,nei1-dou6,zung6-jau5,hou2-do1,daan1-ce1,ging3,#,ngo5,jau5-si4,dou1-wui5,jyun4,zyu6,tyun4-mun4,ho4,caai2-daan1-ce1,#,haang4,jyun5,siu2-siu2,jau6,jau5,hoi2-taan1,tung4,gaau1-je5,gung1-jyun2,#,ho2-ji5,joek3,maai4,jat1,baan1,pang4-jau5,heoi3,jau4-seoi2,haang4-saan1,#,cin4-paai2,zung6-jau5,tou3,hei3,hai6,jung6,tyun4-mun4,zou6,bui3-ging2,#,paak3,dou3,ngo5,uk1-kei2,zau1-wai4,ge3,fung1-ging2,hou2,leng3,#,kei4-sat6,ngo5,dou1,gei2,zung1-ji3,tyun4-mun4,#
I,live,Tuen Mun,#,however,not,near,West Rail,Station,#,and,is,at,pier,that,side,#,Tuen Mun,to,I,speaking,can be considered,is,quite,convenient,#,facility,complete,#,have,several,(measure),big,shopping mall,for people,to shop,to buy,thing,aside,#,even have,not few,park,and,playground,#,suitable for,all,family of young and old,#,here,even have,many,bicycle,trail,#,I,sometimes,also will,along,-ing,Tuen Mun,river,ride bicycle,#,walk,far,a bit,also,have,beach,and,countryside,park,#,can,invite,also,one,group of,friend,to go,swimming,hiking,#,a while earlier,even have,(measure),film,is,use,Tuen Mun,to be,background,#,film,(suffix),I,home,surrounding,(linker),landscape,very,beautiful,#,actually,I,also,quite,like,Tuen Mun,#
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
話說,我,啱啱,開始,喺,一,間,廣告,公司,做,平面設計師,，,平時,主要,喺,辦公室,畫,圖,，,不過,間唔中,都,要,陪,老細,見客,，,聽,對方,意見,。,雖然,有,少少,忙,，,但係,我,幾,享受,我,做,緊,嘅,呢啲,嘢,，,而且,我,嘅,人工,都,唔錯,。,只不過,有,樣,嘢,我,唔係,咁,滿意,，,甚至,係,討厭,：,就係,要,喺,觀塘,返工,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waa6-syut3,ngo5,ngaam1-ngaam1,hoi1-ci2,hai2,jat1,gaan1,gwong2-gou3,gung1-si1,zou6,ping4-min2-cit3-gai3-si1,#,ping4-si4,zyu2-jiu3,hai2,baan6-gung1-sat1,waak6,tou4,#,bat1-gwo3,gaan3-m4-zung1,dou1,jiu3,pui4,lou5-sai3,gin3-haak3,#,teng1,deoi3-fong1,ji3-gin3,#,seoi1-jin4,jau5,siu2-siu2,mong4,#,daan6-hai6,ngo5,gei2,hoeng2-sau6,ngo5,zou6,gan2,ge3,nei1-di1,je5,#,ji4-ce2,ngo5,ge3,jan4-gung1,dou1,m4-co3,#,zi2-bat1-gwo3,jau5,joeng6,je5,ngo5,m4-hai6,gam3,mun5-ji3,#,sam6-zi3,hai6,tou2-jim3,#,zau6-hai6,jiu3,hai2,gun1-tong4,faan1-gung1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to say,I,just now,begin,at,one,(measure),advertisement,company,to be,graphic designer,#,usually,mainly,at,office,draw,graphic,#,however,sometimes,also,have to,accompany,boss,to meet client,#,listen to,other party,opinion,#,although,have,a bit,busy,#,but,I,quite,enjoy,I,do,-ing,(linker),these,thing,#,and that,I,’s,salary,also,not bad,#,but,have,kind of,thing,I,is not,so,satisfied,#,even,is,hate,#,which is,have to,at,Kwun Tong,go to work,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
觀塘,啲,馬路,設計,得,好鬼,差,，,搞到,成日,塞車,。,而且,呢度,有,太,多,工廠,，,街上面,長期,有,大量,貨車,出入,唔同,大廈,，,結果,啲,路,更加,塞,。,噉,當然,，,觀塘,出名,交通,唔好,，,所以,我,揾,呢,份,工,嗰陣,都,有,晒,心理準備,，,預,咗,要,每日,塞車,。,之但係,，,我,未,到,正式,返工,嗰,日,都,估,唔到,，,阻,住,我,返工,嘅,仲有,屯門,公路,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun1-tong4,di1,maa5-lou6,cit3-gai3,dak1,hou2-gwai2,caa1,#,gaau2-dou3,seng4-jat6,sak1-ce1,#,ji4-ce2,nei1-dou6,jau5,taai3,do1,gung1-cong2,#,gaai1-soeng6-min6,coeng4-kei4,jau5,daai6-loeng6,fo3-ce1,ceot1-jap6,m4-tung4,daai6-haa6,#,git3-gwo2,di1,lou6,gang3-gaa1,sak1,#,gam2,dong1-jin4,#,gun1-tong4,ceot1-meng2,gaau1-tung1,m4-hou2,#,so2-ji5,ngo5,wan2,nei1,fan6,gung1,go2-zan2,dou1,jau5,saai3,sam1-lei5-zeon2-bei6,#,jyu6,zo2,jiu3,mui5-jat6,sak1-ce1,#,zi1-daan6-hai6,#,ngo5,mei6,dou3,zing3-sik1,faan1-gung1,go2,jat6,dou1,gu2,m4-dou2,#,zo2,zyu6,ngo5,faan1-gung1,ge3,zung6-jau5,tyun4-mun4,gung1-lou6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwun Tong,those,road,design,(suffix),very annoyingly,bad,#,make,always,traffic jam,#,and that,here,have,too,many,factory,#,on the street,always,have,large number of,truck,going in and out,different,big building,#,as a result,those,road,more,jammed,#,then,certainly,#,Kwun Tong,is famous for,traffic,not good,#,therefore,I,find,this,(measure),job,that time,also,have,all,mental preparation,#,expect,-en,have to,every day,traffic jam,#,but,#,I,not yet,to,officially,go to work,that,day,also,guess,cannot,#,hinder,-ing,I,go to work,(linker),still have,Tuen Mun,highway,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
