[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
涼茶,舖,嘅,Happy,Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
loeng4-caa4,pou2,ge3,Happy,Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese herbal tea,shop,(linker),Happy,Hour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
香港,天氣,好,熱,，,又,成日,落雨,，,好,易,就,會,令,人,覺得,周身,唔舒服,，,特別,係,熱氣,嗰陣,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoeng1-gong2,tin1-hei3,hou2,jit6,#,jau6,seng4-jat6,lok6-jyu5,#,hou2,ji6,zau6,wui5,ling6,jan4,gok3-dak1,zau1-san1,m4-syu1-fuk6,#,dak6-bit6,hai6,jit6-hei3,go2-zan6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hong Kong,weather,very,hot,#,again,always,rain,#,very,easy,then,will,make,people,feel,the whole body,not comfortable,#,especially,is,heaty,that time,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
隔籬,黃叔叔,就係,噉,，,所以,佢,會,過嚟,飲,涼茶,。,佢,攞,起,一,碗,廿四味,飲,到底,，,飲,完,就,擺,低,個,碗,同埋,一,張,十,蚊,紙,。,廿四味,好,苦,，,所以,樓上,黃師奶,嚟,到,淨係,會,飲,五花茶,，,五花茶,冇,咁,苦,，,黃師奶,話,飲,完,好,舒服,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaak3-lei4,wong4-suk1-suk1,zau6-hai6,gam2,#,so2-ji5,keoi5,wui5,gwo3-lei4,jam2,loeng4-caa4,#,keoi5,lo2,hei2,jat1,wun2,jaa6-sei3-mei2,jam2,dou3-dai2,#,jam2,jyun4,zau6,baai2,dai1,go3,wun2,tung4-maai4,jat1,zoeng1,sap6,man1,zi2,#,jaa6-sei3-mei2,hou2,fu2,#,so2-ji5,lau4-soeng6,wong4-si1-naai1,lei4,dou3,zing6-hai6,wui5,jam2,ng5-faa1-caa4,#,ng5-faa1-caa4,mou5,gam3,fu2,#,wong4-si1-naai1,waa6,jam2,jyun4,hou2,syu1-fuk6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neighbouring,Uncle Wong,which is ,in this way,#,therefore,he,will,come over,to drink,herbal tea,#,he,take,up,one,bowl of,24 Flavours,to drink,till the end,#,drink,finish,then,put,down,(measure),bowl,and,one,(measure),ten,dollar,note,#,24 Flavours,very,bitter,#,therefore,upstairs,Auntie Wong,come,to,only,will,drink,Five Flower Tea,#,Five Flower Tea,don't have,so,bitter,#,Auntie Wong,say,drink,finish,very,comfortable,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
