[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
至,like,交通工具,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi3,like,gaau1-tung1-gung1-geoi6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
most,like,transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,係,一年一度,嘅,香港,交通工具,比賽,，,主要,由,貢獻,度,同,like,數,嚟,決定,，,每,次,只會,公佈,頭十名,。,大家,聚,埋,一齊,，,關係,好,嘅,已經,傾,起上嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,hai6,jat1-nin4-jat1-dou6,ge3,hoeng1-gong2,gaau1-tung1-gung1-geoi6,bei2-coi3,#,zyu2-jiu3,jau4,gung3-hin3,dou6,tung4,like,sou3,lai4,kyut3-ding6,#,mui5,ci3,zi2-wui5,gung1-bou3,tau4-sap6-ming4,#,daai6-gaa1,zeoi6,maai4,jat1-cai4,#,gwaan1-hai6,hou2,ge3,ji5-ging1,king1,hei2-soeng5-lai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today,is,annual,(linker),Hong Kong,transportation,competition,#,mainly,by,contribution,rate,and,like,number,to,decide,#,every,time,will only,announce,top ten,#,everyone,assemble,close,together,#,relationship,good,(linker),already,chat,start,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,點呀,輕鐵,，,頭耷耷,噉,冇,精神,，,畀,啲,信心,自己,啦,！,」,地鐵,安慰,輕鐵,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,dim2-aa3,hing1-tit3,#,tau4-dap1-dap1,gam2,mou5,zing1-san4,#,bei2,di1,seon3-sam1,zi6-gei2,laa1,#,#,dei6-tit3,on1-wai3,hing1-tit3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hey,Light Rail,#,lowering one's head,this way,don't have,energy,#,give,some,confidence,oneself,(particle),#,#,MTR,comfort,Light Rail,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,唉,，,我,都,唔明,，,電車,同,我,明明,咁,似,，,點解,佢,拎,咗,咁,多,年,第三,，,我,就,永遠,排,咁,後,！,」,輕鐵,覺得,大家,都,係,沿,住,路軌,慢慢行,，,只係,負責,嘅,地區,唔同,，,甚至,自己,嘅,載客量,比,電車,仲要,高,，,但,排名,永遠,都,唔及,電車,，,越,諗,越,委屈,！,,,,,,,,,,
#,aai3,#,ngo5,dou1,m4-ming4,#,din6-ce1,tung4,ngo5,ming4-ming4,gam3,ci5,#,dim2-gaai2,keoi5,ling1,zo2,gam3,do1,nin4,dai6-saam1,#,ngo5,zau6,wing5-jyun5,paai4,gam3,hau6,#,#,hing1-tit3,gok3-dak1,daai6-gaa1,dou1,hai6,jyun4,zyu6,lou6-gwai2,maan6-maan6-hang4,#,zi2-hai6,fu6-zaak3,ge3,dei6-keoi1,m4-tung4,#,sam6-zi3,zi6-gei2,ge3,zoi3-haak3-loeng6,bei2,din6-ce1,zung6-jiu3,gou1,#,daan6,paai4-ming4,wing5-jyun5,dou1,m4-kap6,din6-ce1,#,jyut6,nam2,jyut6,wai2-wat1,#,,,,,,,,,,
