[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
時間,，,你,去,咗,邊,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si4-gaan3,#,nei5,heoi3,zo2,bin1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
time,#,you,go,-en,where,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,樂樂,，,快啲,刷牙,瞓覺,喇,，,好,夜,喇,！,」,媽媽,係噉,催,我,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,lok6-lok6,#,faai3-di1,caat3-ngaa4,fan3-gaau3,laa3,#,hou2,je6,laa3,#,#,maa4-maa1,hai6-gam2,ceoi1,ngo5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Loki,#,hurry up,brush teeth,sleep,(particle),#,very,late night,(particle),#,#,Mama,keep doing,hurry,I,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,媽媽,，,我,仲,未,想,瞓,住,呀,！,」,我,見到,個,鐘,長針,指住,6,，,短針,指住,9,同,10,中間,，,即係,九,點,半,啫,，,我,仲,想,繼續,玩,飛行棋,呀,——,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,maa4-maa1,#,ngo5,zung6,mei6,soeng2,fan3,zyu6,aa3,#,#,ngo5,gin3-dou2,go3,zung1,coeng4-zam1,zi2-zyu6,luk6,#,dyun2-zam1,zi2-zyu6,gau2,tung4,sap6,zung1-gaan1,#,zik1-hai6,gau2,dim2,bun3,ze1,#,ngo5,zung6,soeng2,gai3-zuk6,waan2,fei1-hang4-kei2,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Mama,#,I,still,not yet,want to,sleep,yet,(particle),#,#,I,saw,(measure),clock,long hand,point at,6,#,short hand,point at,9,and,10,middle,#,that means,nine,o'clock,half,(particle),#,I,still,want to,continue,play,Airplane chess,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,聽日,去,迪士尼樂園,再,玩,過,啦,！,」,話口未完,，,媽媽,就,入,房,拉,咗,我,去,廁所,刷牙,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ting1-jat6,heoi3,dik6-si6-nei4-lok6-jyun4,zoi3,waan2,gwo3,laa1,#,#,waa6-hau2-mei6-jyun4,#,maa4-maa1,zau6,jap6,fong2,laai1,zo2,ngo5,heoi3,ci3-so2,caat3-ngaa4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,tomorrow,go to,Disneyland,again,play,again,(particle),#,#,have not even finished,#,Mama,then,enter,room,pull,-en,I,to,toilet,brush teeth,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
明明,放學,嗰陣,個,鐘,仲係,指住,4,，,點解,眨下眼,就,九,點,半,？,時間,，,你,去,咗,邊,呀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ming4-ming4,fong3-hok6,go2-zan6,go3,zung1,zung6-hai6,zi2-zyu6,sei3,#,dim2-gaai2,zaam2-haa5-ngaan5,zau6,gau2,dim2,bun3,#,si4-gaan3,#,nei5,heoi3,zo2,bin1,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
obviously,after school,that time,(measure),clock,still,point at,4,#,why,in a blink,then,nine,o'clock,half,#,time,#,you,go,-en,where,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不過,聽日,去,迪士尼,，,一定,好,好玩,，,我,要,快啲,瞓覺,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bat1-gwo3,ting1-jat6,heoi3,dik6-si6-nei4,#,jat1-ding6,hou2,hou2-waan2,#,ngo5,jiu3,faai3-di1,fan3-gaau3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
