[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
父,「,子,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fu6,#,zi2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
father,#,son,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
禮拜六,，,朝早,六,點,半,，,我,起身,去,廁所,。,行,過,客廳,，,老豆,已經,起,咗,身,，,開,住,電視,，,坐,喺,梳化,睇,新聞,。,「,早晨,啊,阿仔,。,」,佢,喺,機場,做,維修,，,日日,返,十,幾,個,鐘頭,。,照計,呢個,時間,，,佢,應該,已經,出,咗,門,返工,。,「,……,早晨,。,」
lai5-baai3-luk6,#,ziu1-zou2,luk6,dim2,bun3,#,ngo5,hei2-san1,heoi3,ci3-so2,#,haang4,gwo3,haak3-teng1,#,lou5-dau6,ji5-ging1,hei2,zo2,san1,#,hoi1,zyu6,din6-si6,#,co5,hai2,so1-faa2,tai2,san1-man2,#,#,zou2-san4,aa3,aa3-zai2,#,#,keoi5,hai2,gei1-coeng4,zou6,wai4-sau1,#,jat6-jat6,faan1,sap6,gei2,go3,zung1-tau4,#,ziu3-gai3,nei1-go3,si4-gaan3,#,keoi5,jing1-goi1,ji5-ging1,ceot1,zo2,mun4,faan1-gung1,#,#,#,zou2-san4,#,#
saturday,#,morning,six,o'clock,half,#,I,get up,to go,toilet,#,walk,past,living room,#,dad,already,get,-en,up,#,turn on,-ing,television,#,sit,at,sofa,watch,news,#,#,morning,(particle),son,#,#,he,at,airport,do,maintenance,#,every day,work,ten,several,(measure),hour,#,normally,this,time,#,he,should,already,go out,-en,door,to go to work,#,#,#,morning,#,#
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
去,完,廁所,，,諗住,返,房,繼續,瞓,：,我,頭先,打機,打,到,四,點,先,瞓,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
heoi3,jyun4,ci3-so2,#,nam2-zyu6,faan1,fong2,gai3-zuk6,fan3,#,ngo5,tau4-sin1,daa2-gei1,daa2,dou3,sei3,dim2,sin1,fan3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go,finish,toilet,#,thinking about,return,room,to continue,to sleep,#,I,just now,play video games,play,till,four,o'clock,then,sleep,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,阿仔,呀,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,aa3-zai2,aa4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,son,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
