[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
選,班長,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
syun2,baan1-zoeng2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
select,class monitor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,，,王老師,叫,我哋,選,班長,。,王老師,係,我哋,嘅,班主任,，,都係,學校,嘅,新,老師,。,我,覺得,同,其他,老師,相比,，,王老師,好,特別,——,佢,講嘢,好,温柔,，,好好人,又,成日,笑,。,而且,，,佢,選,班長,嘅,方式,都,好,唔同,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,#,wong4-lou5-si1,giu3,ngo5-dei6,syun2,baan1-zoeng2,#,wong4-lou5-si1,hai6,ngo5-dei6,ge3,baan1-zyu2-jam6,#,dou1-hai6,hok6-haau6,ge3,san1,lou5-si1,#,ngo5,gok3-dak1,tung4,kei4-taa1,lou5-si1,soeng1-bei2,#,wong4-lou5-si1,hou2,dak6-bit6,#,keoi5,gong2-je5,hou2,wan1-jau4,#,hou2-hou2-jan4,jau6,seng4-jat6,siu3,#,ji4-ce2,#,keoi5,syun2,baan1-zoeng2,ge3,fong1-sik1,dou1,hou2,m4-tung4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today,#,Ms. Wong,ask,we,select,class monitor,#,Ms. Wong,is,we,’s,class teacher,#,also is,school,’s,new,teacher,#,I,think,with,other,teacher,to compare,#,Ms. Wong,very,special,#,she,speaking,very,gentle and soft,#,very nice,and,always,smile,#,and that,#,she,select,class monitor,(linker),method,also,very,different,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
以前,，,老師,都,會,喺,開學,之後,就,即刻,揀,班長,。,老師,通常,會,按照,上個,學期,同學,嘅,成績,，,揀,成績,最好,嘅,同學,做,班長,。,不過,，,而家,我哋,已經,開,咗,學,一個,月,，,王老師,先,話,要,選,班長,。,王老師,話,，,想,大家,相處,一,段,時間,，,互相,了解,之後,先,選,。,而且,，,班長,唔係,由,王老師,揀,，,而,係,由,班上,同學,一,人,一,票,選,出,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ji5-cin4,#,lou5-si1,dou1,wui5,hai2,hoi1-hok6,zi1-hau6,zau6,zik1-hak1,gaan2,baan1-zoeng2,#,lou5-si1,tung1-soeng4,wui5,on3-ziu3,soeng6-go3,hok6-kei4,tung4-hok6,ge3,sing4-zik1,#,gaan2,sing4-zik1,zeoi3-hou2,ge3,tung4-hok6,zou6,baan1-zoeng2,#,bat1-gwo3,#,ji4-gaa1,ngo5-dei6,ji5-ging1,hoi1,zo2,hok6,jat1-go3,jyut6,#,wong4-lou5-si1,sin1,waa6,jiu3,syun2,baan1-zoeng2,#,wong4-lou5-si1,waa6,#,soeng2,daai6-gaa1,soeng1-cyu2,jat1,dyun6,si4-gaan3,#,wu6-soeng1,liu5-gaai2,zi1-hau6,sin1,syun2,#,ji4-ce2,#,baan1-zoeng2,m4-hai6,jau4,wong4-lou5-si1,gaan2,#,ji4,hai6,jau4,baan1-soeng6,tung4-hok6,jat1,jan4,jat1,piu3,syun2,ceot1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
before,#,teacher,"all, also",will,at,new term start,after,then,immediately,select,class monitor,#,teacher,usually,will,base on,last,semester,schoolmate,’s,academic result,#,select,academic result,best,(linker),schoolmate,to be,class monitor,#,however,#,now,we,already,start,-en,school term,one (measure),month,#,Ms. Wong,then,say,have to,select,class monitor,#,Ms. Wong,say,#,want,everyone,get along,one,period of,time,#,each other,know,after,then,select,#,and that,#,class monitor,is not,by,Ms. Wong,select,#,and,is,by,in the class,schoolmate,one,person,one,ballot,select,out,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
王老師,話,，,班長,係,班,嘅,代表,，,除咗,負責,幫,老師,維持,課堂,秩序,，,仲要,幫助,同,服務,同學,。,例如,，,幫手,點名,、,派,午飯,、,收,功課,，,如果,有,同學,唔舒服,就,要,陪,佢,去,休息室,。,因為,班長,嘅,職責,多,，,所以,班長,會,得到,一個,優點,獎勵,。,之後,，,王老師,就,叫,想,做,班長,嘅,同學,舉手,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wong4-lou5-si1,waa6,#,baan1-zoeng2,hai6,baan1,ge3,doi6-biu2,#,ceoi4-zo2,fu6-zaak3,bong1,lou5-si1,wai4-ci4,fo3-tong4,dit6-zeoi6,#,zung6-jiu3,bong1-zo6,tung4,fuk6-mou6,tung4-hok6,#,lai6-jyu4,#,bong1-sau2,dim2-meng2,#,paai3,ng5-faan6,#,sau1,gung1-fo3,#,jyu4-gwo2,jau5,tung4-hok6,m4-syu1-fuk6,zau6,jiu3,pui4,keoi5,heoi3,jau1-sik1-sat1,#,jan1-wai6,baan1-zoeng2,ge3,zik1-zaak3,do1,#,so2-ji5,baan1-zoeng2,wui5,dak1-dou3,jat1-go3,jau1-dim2,zoeng2-lai6,#,zi1-hau6,#,wong4-lou5-si1,zau6,giu3,soeng2,zou6,baan1-zoeng2,ge3,tung4-hok6,geoi2-sau2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
