[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
八號,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baat3-hou6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No. 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每,年,，,香港,都,會,打風,。,以前,，,每當,有,颱風,嚟,嘅,時候,，,香港,天文台,都會,喺,信號,塔,掛,起,一個,球,形,嘅,標記,，,所以,香港人,會,叫,颱風,做,「,風球,」,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mui5,nin4,#,hoeng1-gong2,dou1,wui5,daa2-fung1,#,ji5-cin4,#,mui5-dong1,jau5,toi4-fung1,lai4,ge3,si4-hau6,#,hoeng1-gong2,tin1-man4-toi4,dou1-wui5,hai2,seon3-hou6,taap3,gwaa3,hei2,jat1-go3,kau4,jing4,ge3,biu1-gei3,#,so2-ji5,hoeng1-gong2-jan4,wui5,giu3,toi4-fung1,zou6,#,fung1-kau4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
every,year,#,Hong Kong,also,will,experience typhoons,#,in the past,#,every time,have,typhoon,come,(linker),time,#,Hong Kong,observatory,also will,at,signal,tower,hang,up,one (measure),ball,shape,(linker),sign,#,therefore,Hongkongers,will,call,typhoon,to be,#,typhoon ball,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
風球,分為,五,個,等級,，,包括,冇得,放假,嘅,一號,、,三號,風球,，,同埋,令,大家,唔使,返工,返學,嘅,八號,、,九號,同,十號,風球,。,香港人,工作,繁忙,，,大家,都,想,放,多,一日,假,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fung1-kau4,fan1-wai4,ng5,go3,dang2-kap1,#,baau1-kut3,mou5-dak1,fong3-gaa3,ge3,jat1-hou6,#,saam1-hou6,fung1-kau4,#,tung4-maai4,ling6,daai6-gaa1,m4-sai2,faan1-gung1,faan1-hok6,ge3,baat3-hou6,#,gau2-hou6,tung4,sap6-hou6,fung1-kau4,#,hoeng1-gong2-jan4,gung1-zok3,faan4-mong4,#,daai6-gaa1,dou1,soeng2,fong3,do1,jat1-jat6,gaa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
typhoon ball,are divided into,five,(measure),level,#,include,don't get ,holiday,(linker),No. 1,#,No. 3,typhoon ball,#,and,make,everyone,no need,to go to work,to go to school,(linker),No. 8,#,No. 9,and,No. 10,typhoon ball,#,Hongkongers,work,busy,#,everyone,"all, also",want to,take,more,one day,day off,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所以,，,每,次,天文台,話,即將,有,颱風,嘅,時候,，,大家,都,好,雀躍,，,希望,個,風,可以,打,得,勁,啲,耐,啲,，,達到,八號風球,就,可以,放假,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so2-ji5,#,mui5,ci3,tin1-man4-toi4,waa6,zik1-zoeng1,jau5,toi4-fung1,ge3,si4-hau6,#,daai6-gaa1,dou1,hou2,zoek3-joek3,#,hei1-mong6,go3,fung1,ho2-ji5,daa2,dak1,ging6,di1,noi6,di1,#,daat6-dou3,baat3-hou6-fung1-kau4,zau6,ho2-ji5,fong3-gaa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
