[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河狸,築,巢,記,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ho4-lei2,zuk1,caau4,gei3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beaver,build,nest,story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
河狸,係,一,種,可以,用,尖銳,牙齒,咬,斷,樹枝,、,喺,河流,起,水壩,居住,嘅,小動物,。,故事,就,發生,喺,一,條,平靜,休閒,嘅,河流,上面,。,艾迦,係,呢,條,村,裡面,最,年幼,嘅,河狸,，,由,細,到,大,，,爸爸,都,教,佢,樂於助人,嘅,精神,，,因為,噉,，,每當,佢,見到,有,人,需要,幫助,，,佢,都會,義不容辭,去,幫手,。,有一日,，,新,鄰居,波特,為咗,起,水壩,一事,好,煩惱,，,因為,條,河流,咁,大,，,以,佢,一個人,嘅,力量,實在,太,困難,喇,。,艾迦,知道,呢個,情況,，,就,好,熱心,噉,去,幫,佢,手,。,艾迦,：,「,不如,等,我,幫,你,吖,？,」,波特,：,「,嘩,，,真係,？,會唔會,麻煩,到,你,呀,？,」,,,,,,,
ho4-lei2,hai6,jat1,zung2,ho2-ji5,jung6,zim1-jeoi6,ngaa4-ci2,ngaau5,tyun5,syu6-zi1,#,hai2,ho4-lau4,hei2,seoi2-baa3,geoi1-zyu6,ge3,siu2-dung6-mat6,#,gu3-si6,zau6,faat3-sang1,hai2,jat1,tiu4,ping4-zing6,jau1-haan4,ge3,ho4-lau4,soeng6-min6,#,ngaai6-gaa1,hai5,nei1,tiu4,cyun1,leoi5-min6,zeoi3,nin4-jau3,ge3,ho4-lei2,#,jau4,sai3,dou3,daai6,#,baa4-baa1,dou1,gaau3,keoi5,lok6-jyu1-zo6-jan4,ge3,zing1-san4,#,jan1-wai6,gam2,#,mui5-dong1,keoi5,gin3-dou2,jau5,jan4,seoi1-jiu3,bong1-zo6,#,keoi5,dou1-wui5,ji6-bat1-jung4-ci4,heoi3,bong1-sau2,#,jau5-jat1-jat6,#,san1,leon4-geoi1,bo1-dak6,wai6-zo2,hei2,seoi2-baa3,jat1-si6,hou2,faan4-nou5,#,jan1-wai6,tiu4,ho4-lau4,gam3,daai6,#,ji5,keoi5,jat1-go3-jan4,ge3,lik6-loeng6,sat6-zoi6,taai3,kwan3-naan4,laa3,#,ngaai6-gaa1,zi1-dou3,nei1-go3,cing4-fong3,#,zau6,hou2,jit6-sam1,gam2,heoi3,bong1,keoi5,sau2,#,ngaai6-gaa1,#,#,bat1-jyu4,dang2,ngo5,bong1,nei5,aa1,#,#,bo1-dak6,#,#,waa1,#,zan1-hai6,#,wui5-m4-wui5,maa4-faan4,dou2,nei5,aa3,#,#,,,,,,,
beaver,is,one,type,can,use,sharp,tooth,to bite,break,branch,#,at,river,build,dam,to live,(linker),little animal,#,story,then,happen,at,one,(measure),calm,leisure,(linker),river,above,#,Rocco,is,this,(measure),village,inside,most,young,(linker),beaver,#,since,small,to,big,#,father,"all, also",teach,he,eager to help others,(linker),spirit,#,because,in this way,#,every time,he,see,have,people,need,help,#,he,always will,be duty bound,go,to help,#,one day,#,new,neighbour,Potter,in order to,build,dam,matter,very,worried,#,because,(measure),river,so,big,#,by,he,alone,’s,power,really,too,difficult,(particle),#,Rocco,know,this,circumstance,#,then,very,enthusiastic,-ly,go,to help,he,hand,#,Rocco,#,#,how about,let,I,help,you,(particle),#,#,Potter,#,#,Wow!,#,really,#,will or will not,trouble,to,you,(particle),#,#,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艾迦,：,「,唔,會,呀,，,爸爸,話,助人為快樂之本,！,幫,到,人,，,自己,都會,開心,㗎嘛,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngaai6-gaa1,#,#,m4,wui5,aa3,#,baa4-baa1,waa6,zo6-jan4-wai4-faai3-lok6-zi1-bun2,#,bong1,dou2,jan4,#,zi6-gei2,dou1-wui5,hoi1-sam1,gaa1-maa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rocco,#,#,not,will,(particle),#,father,say,helping others is the key to happiness,#,help,can,people,#,oneself,also will,happy,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
波特,見到,艾迦,咁,熱心,，,都,唔好意思,拒絕,，,於是,佢哋,兩個,一齊,去,森林,入面,揾,樹枝,。,成,個,過程,都,好,順利,，,喺,波特,同,艾迦,嘅,互相,配合,下,，,波特,嘅,新,屋,好,快,就,整,好,喇,。,波特,亦都,好,熱情,噉,邀請,艾迦,一齊,喺,佢,條,河,游水,。,佢哋,游,呀,游,，,游,呀,游,，,歡樂,嘅,時光,過,得,特別,快,，,到,佢哋,終於,識,得,攰,，,至,挨住,新,起,嘅,水壩,休息,。,點知,發生,咗,件,不幸,嘅,事,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo1-dak6,gin3-dou2,ngaai6-gaa1,gam3,jit6-sam1,#,dou1,m4-hou2-ji3-si1,keoi5-zyut6,#,jyu1-si6,keoi5-dei6,loeng5-go3,jat1-cai4,heoi3,sam1-lam4,jap6-min6,wan2,syu6-zi1,#,sing4,go3,gwo3-cing4,dou1,hou2,seon6-lei6,#,hai2,bo1-dak6,tung4,ngaai6-gaa1,ge3,wu6-soeng1,pui3-hap6,haa6,#,bo1-dak6,ge3,san1,uk1,hou2,faai3,zau6,zing2,hou2,laa3,#,bo1-dak6,jik6-dou1,hou2,jit6-cing4,gam2,jiu1-cing2,ngaai6-gaa1,jat1-cai4,hai2,keoi5,tiu4,ho4,jau4-seoi2,#,keoi5-dei6,jau4,aa3,jau4,#,jau4,aa3,jau4,#,fun1-lok6,ge3,si4-gwong1,gwo3,dak1,dak6-bit6,faai3,#,dou3,keoi5-dei6,zung1-jyu1,sik1,dak1,gui6,#,zi3,aai1-zyu6,san1,hei2,ge3,seoi2-baa3,jau1-sik1,#,dim2-zi1,faat3-sang1,zo2,gin6,bat1-hang6,ge3,si6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potter,saw,Rocco,so,enthusiastic,#,"all, also",would feel bad to,refuse,#,so,they,two,together,go,forest,inside,to find,branch,#,whole,(measure),process,"all, also",very,smooth,#,at,Potter,and,Rocco,’s,each other,coordinate,under,#,Potter,’s,new,house,very,fast,then,make,well,(particle),#,Potter,also,very,passionate,-ly,invite,Rocco,together,at,he,(measure),river,to swim,#,they,swim,(particle),swim,#,swim,(particle),swim,#,happy,(linker),time,pass,(suffix),especially,fast,#,till,they,finally,know,(suffix),tired,#,then,lean on,newly,built,(linker),dam,to take a break,#,unexpectedly,happen,-en,(measure),unlucky,(linker),matter,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
