[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
塞翁,失,馬,，,焉,知,非,福,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coi3-jung1,sat1,maa5,#,jin1,zi1,fei1,fuk1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saiweng,lost,horse,#,how,to know,not,blessing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
從前,，,有,位,老人家,住,喺,好,遠,嘅,地方,，,人人,都,叫,佢,做,塞翁,。,塞翁,性格,樂觀,，,為人,處世,嘅,方法,與眾不同,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cung4-cin4,#,jau5,wai2,lou5-jan4-gaa1,zyu6,hai2,hou2,jyun5,ge3,dei6-fong1,#,jan4-jan4,dou1,giu3,keoi5,zou6,coi3-jung1,#,coi3-jung1,sing3-gaak3,lok6-gun1,#,wai4-jan4,cyu5-sai3,ge3,fong1-faat3,jyu5-zung3-bat1-tung4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
in the past,#,have,(measure),elderly,live,at,very,far,(linker),place,#,everyone,"all, also",call,he,to be ,Saiweng,#,Saiweng,personality,optimistic,#,behave,conduct oneself in life,(linker),method,different from others,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有一日,，,塞翁,屋企,隻,老,馬,唔知,點解,，,放牧,嗰陣,蕩失路,，,唔見,咗,。,過,咗,好多,日,，,佢哋,都係,揾,唔,返,隻,馬,。,鄰居,知道,咗,呢個,消息,之後,，,都,覺得,好,可惜,，,一齊,去,到,塞翁,屋企,安慰,佢,。,不過,塞翁,覺得,無乜所謂,，,唔見,咗,隻,馬,啫,，,無,乜,大不了,。,佢,反而,安慰,大家,：,「,我,唔見,咗,隻,馬,，,當然,係,一,件,壞事,，,但,話唔定,會,帶,嚟,好,結果,呢,？,」,,,,,,
jau5-jat1-jat6,#,coi3-jung1,uk1-kei2,zek3,lou5,maa5,m4-zi1,dim2-gaai2,#,fong3-muk6,go2-zan2,dong6-sat1-lou6,#,m4-gin3,zo2,#,gwo3,zo2,hou2-do1,jat6,#,keoi5-dei6,dou1-hai6,wan2,m4,faan1,zek3,maa5,#,leon4-geoi1,zi1-dou3,zo2,nei1-go3,siu1-sik1,zi1-hau6,#,dou1,gok3-dak1,hou2,ho2-sik1,#,jat1-cai4,heoi3,dou3,coi3-jung1,uk1-kei2,on1-wai3,keoi5,#,bat1-gwo3,coi3-jung1,gok3-dak1,mou4-mat1-so2-wai6,#,m4-gin3,zo2,zek3,maa5,ze1,#,mou4,mat1,daai6-bat1-liu5,#,keoi5,faan2-ji4,on1-wai3,daai6-gaa1,#,#,ngo5,m4-gin3,zo2,zek3,maa5,#,dong1-jin4,hai6,jat1,gin6,waai6-si6,#,daan6,waa6-m4-ding6,wui5,daai3,lei4,hou2,git3-gwo2,ne1,#,#,,,,,,
one day,#,Saiweng,home,(measure),old,horse,don't know,why,#,let out to graze,that time,get lost,#,go missing,-en,#,pass,-en,many,day,#,they,also,find,not,back,(measure),horse,#,neighbour,know,-en,this,news,after,#,"all, also",feel,very,pitiful,#,together,to go,to,Saiweng,home,comfort,he,#,however,Saiweng,feel,doesn't really matter,#,lose,-en,(measure),horse,(particle),#,nothing,what,big deal,#,he,turn it around and,comfort,everyone,#,#,I,lose,-en,(measure),horse,#,certainly,is,one,(measure),bad matter,#,but,maybe,will,bring,come,good,result,(particle),#,#,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
鄰居,聽到,塞翁,嘅,説話,，,都,覺得,好笑,。,隻,馬,唔見,咗,，,明明,係,一,件,壞事,，,但係,塞翁,就,覺得,係,一,件,好事,，,好,明顯,係,安慰,自己,，,所以,大家,都,無,將,塞翁,嘅,説話,當真,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leon4-geoi1,teng1-dou2,coi3-jung1,ge3,syut3-waa6,#,dou1,gok3-dak1,hou2-siu3,#,zek3,maa5,m4-gin3,zo2,#,ming4-ming4,hai6,jat1,gin6,waai6-si6,#,daan6-hai6,coi3-jung1,zau6,gok3-dak1,hai6,jat1,gin6,hou2-si6,#,hou2,ming4-hin2,hai6,on1-wai3,zi6-gei2,#,so2-ji5,daai6-gaa1,dou1,mou4,zoeng1,coi3-jung1,ge3,syut3-waa6,dong3-zan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
