[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江,郎,才,盡,．,夢,筆,生,花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gong1,long4,coi4,zeon6,#,mung6,bat1,sang1,faa1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiang,young man,talent,all or limit,#,dream,pen,grow,flower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,好,耐,好,耐,之前,，,中國,出,咗,一,位,文學家,，,佢,叫做,江淹,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai2,hou2,noi6,hou2,noi6,zi1-cin4,#,zung1-gwok3,ceot1,zo2,jat1,wai2,man4-hok6-gaa1,#,keoi5,giu3-zou6,gong1-jim1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,very,long time,very,long time,before,#,China,appear,-en,one,(measure),writer,#,he,is called,Jiang Yan,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
江淹,細個,嘅,生活,好,慘,，,因為,佢,自細,爸爸,就,過,咗,身,，,於是,佢,同,佢,媽媽,相依為命,。,喺,咁,艱苦,嘅,環境,之下,，,江淹,依然,好,畀心機,讀書,。,佢,長大,之後,，,成為,咗,一,位,好,出名,嘅,文學家,，,佢,寫,嘅,詩詞歌賦,尤為,出色,。,因為,佢,太,有,才華,，,大家,都,叫,佢,做,江,郎,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gong1-jim1,sai3-go3,ge3,sang1-wut6,hou2,caam2,#,jan1-wai6,keoi5,zi6-sai3,baa4-baa1,zau6,gwo3,zo2,san1,#,jyu1-si6,keoi5,tung4,keoi5,maa4-maa1,soeng1-ji1-wai4-ming6,#,hai2,gam3,gaan1-fu2,ge3,waan4-ging2,zi1-haa6,#,gong1-jim1,ji1-jin4,hou2,bei2-sam1-gei1,duk6-syu1,#,keoi5,zoeng2-daai6,zi1-hau6,#,sing4-wai4,zo2,jat1,wai2,hou2,ceot1-meng2,ge3,man4-hok6-gaa1,#,keoi5,se2,ge3,si1-ci4-go1-fu3,jau4-wai6,ceot1-sik1,#,jan1-wai6,keoi5,taai3,jau5,coi4-waa4,#,daai6-gaa1,dou1,giu3,keoi5,zou6,gong1,long4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jiang Yan,young,(linker),living,very,miserable,#,because,he,from a young age,father,then,pass,-en,away,#,so,he,and,he,mother,depend on each other,#,at,so,hard,(linker),environment,under,#,Jiang Yan,still,very,put effort,to study,#,he,grow up,after,#,become,-en,one,(measure),very,famous,(linker),writer,#,he,write,(linker),poetry and songs,especially,outstanding,#,because,he,too,have,talent,#,everyone,"all, also",call,he,to be,Jiang,young man,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
冇幾耐,，,江淹,做,咗,大官,。,因為,做,官,賺,好多,錢,，,所以,佢,就,冇,再,畀心機,讀書,。,到,佢,老,嗰陣,，,佢,嘅,文章,唔單止,冇,進步,，,仲,越,寫,越,差,。,做唔到,活到老,學到老,啫,，,影響,真係,咁,大,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mou5-gei2-noi6,#,gong1-jim1,zou6,zo2,daai6-gun1,#,jan1-wai6,zou6,gun1,zaan6,hou2-do1,cin2,#,so2-ji5,keoi5,zau6,mou5,zoi3,bei2-sam1-gei1,duk6-syu1,#,dou3,keoi5,lou5,go2-zan2,#,keoi5,ge3,man4-zoeng1,m4-daan1-zi2,mou5,zeon3-bou6,#,zung6,jyut6,se2,jyut6,caa1,#,zou6-m4-dou2,wut6-dou3-lou5,hok6-dou3-lou5,ze1,#,jing2-hoeng2,zan1-hai6,gam3,daai6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
not long,#,Jiang Yan,become,-en,high official,#,because,being,official,earn,a lot of,money,#,therefore,he,then,don't have,again,put effort,to study,#,until,he,old,that time,#,he,’s,essay,not only,no,progress,#,even,more,write,more,inferior,#,cannot be,live to an old age,learn to an old age,(particle),#,influence,really,so,big,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有啲,人,話,，,有一日,江淹,搭船,渡,河,，,喺,船,上,瞓覺,嗰陣,，,夢見,一,位,古代,嘅,文學家,，,叫做,張景陽,。,張景陽,話,：,「,我,之前,借,咗,一,匹,好,靚,嘅,布,畀,你,，,而家,係,時候,還,返,畀,我,喇,。,」,江淹,摸,一,摸,自己,心口,，,真係,有,一,匹,靚,布,，,於是,就,還,返,畀,張景陽,。,江淹,夢,醒,之後,，,佢,嘅,文筆,就,開始,每況愈下,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5-di1,jan4,waa6,#,jau5-jat1-jat6,gong1-jim1,daap3-syun4,dou6,ho4,#,hai2,syun4,soeng6,fan3-gaau3,go2-zan2,#,mung6-gin3,jat1,wai2,gu2-doi6,ge3,man4-hok6-gaa1,#,giu3-zou6,zoeng1-ging2-joeng4,#,zoeng1-ging2-joeng4,waa6,#,#,ngo5,zi1-cin4,ze3,zo2,jat1,pat1,hou2,leng3,ge3,bou3,bei2,nei5,#,ji4-gaa1,hai6,si4-hau6,waan4,faan1,bei2,ngo5,laa3,#,#,gong1-jim1,mo2,jat1,mo2,zi6-gei2,sam1-hau2,#,zan1-hai6,jau5,jat1,pat1,leng3,bou3,#,jyu1-si6,zau6,waan4,faan1,bei2,zoeng1-ging2-joeng4,#,gong1-jim1,mung6,sing2,zi1-hau6,#,keoi5,ge3,man4-bat1,zau6,hoi1-ci2,mui5-fong3-jyu6-haa6,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have some,people,say,#,one day,Jiang Yan,take boat,cross,river,#,at,ship,on,sleep,that time,#,dream,one,(measure),ancient times,(linker),writer,#,called,Zhang Jing Yang,#,Zhang Jing Yang,say,#,#,I,before,lend,-en,one,(measure),very,beautiful,(linker),cloth,to,you,#,now,is,time,return,back,to,I,(particle),#,#,Jiang Yan,feel,one,feel,oneself,chest,#,really,have,one,(measure),beautiful,cloth,#,so,then,return,back,to,Zhang Jing Yang,#,Jiang Yan,dream,wake up,after,#,he,’s,writing,then,begin,become worse and worse,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
