[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一飯千金,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jat1-faan6-cin1-gam1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one meal worths a thousand taels of gold,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,二千,幾,年,前,，,中國,古代,有,一,位,好,勁,嘅,將軍,，,佢,叫做,韓信,。,佢,嘅,本領,天下,第一,，,無人能及,。,而家,我,要,講,佢,細個,受,人,照顧,，,大個,報恩,嘅,故事,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai2,ji6-cin1,gei2,nin4,cin4,#,zung1-gwok3,gu2-doi6,jau5,jat1,wai2,hou2,ging6,ge3,zoeng1-gwan1,#,keoi5,giu3-zou6,hon4-seon3,#,keoi5,ge3,bun2-ling5,tin1-haa6,dai6-jat1,#,mou4-jan4-nang4-kap6,#,ji4-gaa1,ngo5,jiu3,gong2,keoi5,sai3-go3,sau6,jan4,ziu3-gu3,#,daai6-go3,bou3-jan1,ge3,gu3-si6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,two thousand,several,year,ago,#,China,ancient times,have,one,(measure),very,superb,(linker),general,#,he,is called,Han Xin,#,he,’s,skill,the world,first,#,No one can compare,#,now,I,have to,say,he,young,receive,people,look after,#,grow up,repay debts of gratitude,(linker),story,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
韓信,細個,好,窮,，,冇,錢,食飯,，,而且,佢,父母,好,早,過身,，,所以,平時,只,可以,乞飯食,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hon4-seon3,sai3-go3,hou2,kung4,#,mou5,cin2,sik6-faan6,#,ji4-ce2,keoi5,fu6-mou5,hou2,zou2,gwo3-san1,#,so2-ji5,ping4-si4,zi2,ho2-ji5,hat1-faan6-sik6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Han Xin,young,very,poor,#,don't have,money,to eat rice,#,and that,he,parents,very,early,pass away,#,therefore,usually,only,can,beg for rice,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
因為,佢,父母,好,早,就,死,咗,，,佢,冇,人,可以,依靠,。,有一日,，,佢,去,咗,河,邊,釣魚,，,諗住,食,魚,充飢,。,喺,呢個,時候,，,佢,見到,一,位,洗衫,嘅,婆婆,。,婆婆,見到,韓信,個,肚,餓,到,扁,晒,，,就,餵,佢,食飯,，,一連,幾,十,日,都,係,噉,，,直到,婆婆,洗,晒,啲,衫,。,韓信,好,感動,，,佢,同,婆婆,講,：,「,你,咁,照顧,我,，,將來,我,一定,會,好好,報答,你,。,」,婆婆,就話,：,「,我,請,你,食飯,，,係,因為,我,見,你,可憐,。,我,唔,需要,你,報答,我,，,我,只,需要,你,努力,做人,。,」,韓信,覺得,好,慚愧,。,從此,，,韓信,認真,閱讀,兵書,，,練習,武藝,，,決心,要,做,一個,有用,嘅,人,。
jan1-wai6,keoi5,fu6-mou5,hou2,zou2,zau6,sei2,zo2,#,keoi5,mou5,jan4,ho2-ji5,ji1-kaau3,#,jau5-jat1-jat6,#,keoi5,heoi3,zo2,ho4,bin1,diu3-jyu2,#,nam2-zyu6,sik6,jyu2,cung1-gei1,#,hai2,ni1-go3,si4-hau6,#,keoi5,gin3-dou2,jat1,wai2,sai2-saam1,ge3,po4-po2,#,po4-po2,gin3-dou2,hon4-seon3,go3,tou5,ngo6,dou3,bin2,saai3,#,zau6,wai3,keoi5,sik6-faan6,#,jat1-lin4,gei2,sap6,jat6,dou1,hai6,gam2,#,zik6-dou3,po4-po2,sai2,saai3,di1,saam1,#,hon4-seon3,hou2,gam2-dung6,#,keoi5,tung4,po4-po2,gong2,#,#,nei5,gam3,ziu3-gu3,ngo5,#,zoeng1-loi4,ngo5,jat1-ding6,wui5,hou2-hou2,bou3-daap3,nei5,#,#,po4-po2,zau6-waa6,#,#,ngo5,ceng2,nei5,sik6-faan6,#,hai6,jan1-wai6,ngo5,gin3,nei5,ho2-lin4,#,ngo5,m4,seoi1-jiu3,nei5,bou3-daap3,ngo5,#,ngo5,zi2,seoi1-jiu3,nei5,nou5-lik6,zou6-jan4,#,#,hon4-seon3,gok3-dak1,hou2,caam4-kwai5,#,cung4-ci2,#,hon4-seon3,jing6-zan1,jyut6-duk6,bing1-syu1,#,lin6-zaap6,mou5-ngai6,#,kyut3-sam1,jiu3,zou6,jat1-go3,jau5-jung6,ge3,jan4,#
