[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杞,人,憂,天,．,杯,弓,蛇,影,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gei2,jan4,jau1,tin1,#,bui1,gung1,se4,jing2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gei,man,worry,sky,#,cup,bow,snake,shadow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,好,耐,好,耐,之前,，,有,一個,國家,，,叫做,杞,國,。,杞,國,有,一個人,，,佢,好,細膽,，,仲,成日,亂,諗,嘢,。,有一日,，,佢,忽然間,諗,到,，,如果,天空,冧,落嚟,，,點算,好,？,佢,驚,到,瞓唔着,。,之後,，,佢,忽然,又,諗,到,，,如果,大地,冧,咗,落去,，,點算,好,？,佢,驚,到,食,唔,落,飯,。,,,,,,,,,,,,,,,,,,,,,,,
hai2,hou2,noi6,hou2,noi6,zi1-cin4,#,jau5,jat1-go3,gwok3-gaa1,#,giu3-zou6,gei2,gwok3,#,gei2,gwok3,jau5,jat1-go3-jan4,#,keoi5,hou2,sai3-daam2,#,zung6,seng4-jat6,lyun6,nam2,je5,#,jau5-jat1-jat6,#,keoi5,fat1-jin4-gaan1,nam2,dou3,#,jyu4-gwo2,tin1-hung1,lam3,lok6-lei4,#,dim2-syun3,hou2,#,keoi5,geng1,dou3,fan3-m4-zoek3,#,zi1-hau6,#,keoi5,fat1-jin4,jau6,nam2,dou3,#,jyu4-gwo2,daai6-dei6,lam3,zo2,lok6-heoi3,#,dim2-syun3,hou2,#,keoi5,geng1,dou3,sik6,m4,lok6,faan6,#,,,,,,,,,,,,,,,,,,,,,,,
at,very,long time,very,long time,before,#,have,one (measure),country,#,called,Gei,country,#,Gei,country,have,a person,#,he,very,timid,#,even,always,disorderly,think,thing,#,one day,#,he,suddenly,think,(suffix),#,if,sky,collapse,come down,#,what to do,well,#,he,afraid,to the point that,cannot sleep,#,after,#,he,suddenly,again,think,(suffix),#,if,the earth,collapse,-en,down,#,what to do ,well,#,he,afraid,to a point that,eat,cannot,down,meal,#,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,好幾,個月,食,唔,安,，,瞓,唔,落,，,搞到,個人,瘦,咗,好多,，,親戚,朋友,見到,都,好,擔心,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,hou2-gei2,go3-jyut6,sik6,m4,on1,#,fan3,m4,lok6,#,gaau2-dou3,go3-jan4,sau3,zo2,hou2-do1,#,can1-cik1,pang4-jau5,gin3-dou2,dou1,hou2,daam1-sam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he,several,month(s),eat,not,safe,#,sleep,not,down,#,causing,the person,thin,-en,a lot,#,relative,friend,saw,"all, also",very,worried,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
之後,有,一,位,智者,去,咗,揾,呢個,杞,國人,，,同,佢,講,：,「,天空,係,由,空氣,所,組成,，,呢個,世界,到處,都,有,空氣,。,人類,要,生存,，,日日,都,要,呼吸,。,人類,日日,喺,空氣,之中,活動,，,唔係,一,件,好,平常,嘅,事,咩,？,你,使乜,驚,個,天,會,冧,落嚟,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zi1-hau6,jau5,jat1,wai2,zi3-ze2,heoi3,zo2,wan2,nei1-go3,gei2,gwok3-jan4,#,tung4,keoi5,gong2,#,#,tin1-hung1,hai6,jau4,hung1-hei3,so2,zou2-sing4,#,nei1-go3,sai3-gaai3,dou3-cyu3,dou1,jau5,hung1-hei3,#,jan4-leoi6,jiu3,sang1-cyun4,#,jat6-jat6,dou1,jiu3,fu1-kap1,#,jan4-leoi6,jat6-jat6,hai2,hung1-hei3,zi1-zung1,wut6-dung6,#,m4-hai6,jat1,gin6,hou2,ping4-soeng4,ge3,si6,me1,#,nei5,sai2-mat1,geng1,go3,tin1,wui5,lam3,lok6-lai4,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
