[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
淥,麪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
luk6,min6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boil,noodles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,又,搞,咗,成日,……,」,我,望,咗,望,手機,，,又試,搞到,凌晨,，,已經,係,兩,點,幾,。,出,到,公司,門口,，,咁啱,有,架,的士,，,我,嗱嗱聲,截,車,返屋企,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,jau6,gaau2,zo2,seng4-jat6,#,#,ngo5,mong6,zo2,mong6,sau2-gei1,#,jau6-si3,gaau2-dou3,ling4-san4,#,ji5-ging1,hai6,loeng5,dim2,gei2,#,ceot1,dou3,gung1-si1,mun4-hau2,#,gam3-ngaam1,jau5,gaa3,dik1-si2,#,ngo5,laa4-laa2-seng1,zit6,ce1,faan1-uk1-kei2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,again,make,-en,whole day,#,#,I,look,-en,look,mobile phone,#,again,make to,before dawn,#,already,is,two,o'clock,something,#,go out,to,company,doorway,#,incidentally,have,(measure),taxi,#,I,hurridly,catch,car,to go home,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,租,咗,九龍城,嘅,一,間,劏房,。,我,本身,同,父母,一齊,住,元朗,，,但,揾到,依家,份,工,之後,，,就,搬,咗,出嚟,住,。,揀,九龍城,，,係,因為,方便,返工,：,我,依家,喺,九龍灣,做,緊,一,間,電視台,嘅,助導,。,「,助導,」,全名,係,助理,導演,，,即係,導演,嘅,助手,，,但,實際上,只係,一個,打雜,：,拍,節目,嗰陣,，,現場,所有,嘅,嘢,都,關,我,事,，,導演,、,演員,、,攝影師,……,所有,人,問,嘅,問題,，,我,冚唪唥,都,要,識,答,。,我,連,大家,每日,食,邊間,餐廳,嘅,乜嘢,飯盒,都,要,顧,埋一份,。,,,,,,,,,,,,
ngo5,zou1,zo2,gau2-lung4-sing4,ge3,jat1,gaan1,tong1-fong2,#,ngo5,bun2-san1,tung4,fu6-mou5,jat1-cai4,zyu6,jyun4-long5,#,daan6,wan2-dou2,ji1-gaa1,fan6,gung1,zi1-hau6,#,zau6,bun1,zo2,ceot1-lai4,zyu6,#,gaan2,gau2-lung4-sing4,#,hai6,jan1-wai6,fong1-bin6,faan1-gung1,#,ngo5,ji1-gaa1,hai2,gau2-lung4-waan1,zou6,gan2,jat1,gaan1,din6-si6-toi4,ge3,zo6-dou6,#,#,zo6-dou6,#,cyun4-meng2,hai6,zo6-lei5,dou6-jin2,#,zik1-hai6,dou6-jin2,ge3,zo6-sau2,#,daan6,sat6-zai3-soeng6,zi2-hai6,jat1-go3,daa2-zaap2,#,paak3,zit3-muk6,go2-zan6,#,jin6-coeng4,so2-jau5,ge3,je5,dou1,gwaan1,ngo5,si6,#,dou6-jin2,#,jin2-jyun4,#,sip3-jing2-si1,#,so2-jau5,jan4,man6,ge3,man6-tai4,#,ngo5,ham6-baang6-laang6,dou1,jiu3,sik1,daap3,#,ngo5,lin4,daai6-gaa1,mui5-jat6,sik6,bin1-gaan1,caan1-teng1,ge3,mat1-je5,faan6-hap2,dou1,jiu3,gu3,maai4-jat1-fan6,#,,,,,,,,,,,,
I,rent,-en,Kowloon City,(linker),one,(measure),subdivided flat,#,I,originally,with,parents,together,live,Yuen Long,#,but,find,now,(measure),job,after,#,then,move,-en,out,live,#,choose,Kowloon City,#,is,because,convenient,to go to work,#,I,now,at,Kowloon Bay,do,-ing,one,(measure),TV station,’s,production assistant,#,#,production assistant,#,full name,is,assistant,director,#,that means,director,’s,assistant,#,but,in fact,just only,one (measure),gofer,#,shoot,programme,that time,#,current scene,all,(linker),thing,"all, also",regard as,I,matter,#,director,#,actor/actress,#,photographer,#,all,people,ask,(linker),question,#,I,everything,"all, also",need to,know,reply,#,I,even,everyone,every day,eat,which,restaurant,(linker),what,lunch box,"all, also",need to,take care of,also,#,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,間,劏房,喺,一,棟,舊,樓,嘅,七,樓,，,租金,唔,貴,，,對,我,嘅,經濟,負擔,唔,算,大,。,而且,好彩,嗰度,有,𨋢,，,唔使,我,行,樓梯,。,不過,凌晨,一個人,返屋企,都,有,少少,恐怖,，,所以,我,全程,都會,戴,耳機,聽歌,。,今晚,我,返,到,屋企,都,已經,三,點,零,，,入,門口,嗰,下,個,肚,響,咗,一,響,。,「,唉,，,肚餓,添,……,」,做,電視台,嘅,人,個個,都,食無定時,，,我,上,一,餐,係,夜晚,八,點,，,求求其其,食,咗,盒,燒,鴨,飯,。,,,,,,,,,,,,,,,,,,,,,
ngo5,gaan1,tong1-fong2,hai2,jat1,dung6,gau6,lau2,ge3,cat1,lau2,#,zou1-gam1,m4,gwai3,#,deoi3,ngo5,ge3,ging1-zai3,fu6-daam1,m4,syun3,daai6,#,ji4-ce2,hou2-coi2,go2-dou6,jau5,lip1,#,m4-sai2,ngo5,haang4,lau4-tai1,#,bat1-gwo3,ling4-san4,jat1-go3-jan4,faan1-uk1-kei2,dou1,jau5,siu2-siu2,hung2-bou3,#,so2-ji5,ngo5,cyun4-cing4,dou1-wui5,daai3,ji5-gei1,teng1-go1,#,gam1-maan5,ngo5,faan1,dou3,uk1-kei2,dou1,ji5-ging1,saam1,dim2,leng4,#,jap6,mun4-hau2,go2,haa5,go3,tou5,hoeng2,zo2,jat1,hoeng2,#,#,aai3,#,tou5-ngo6,tim1,#,#,zou6,din6-si6-toi4,ge3,jan4,go3-go3,dou1,sik6-mou4-ding6-si4,#,ngo5,soeng6,jat1,caan1,hai6,je6-maan5,baat3,dim2,#,kau4-kau4-kei4-kei4,sik6,zo2,hap6,siu1,aap3,faan6,#,,,,,,,,,,,,,,,,,,,,,
