[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神童,孔融,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
san4-tung4,hung2-jung4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prodigy,Kong Rong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好,耐,以前,有,一個,神童,，,佢,叫做,孔融,。,佢,細細個,就,好,孝順,。,孔融,嘅,兄弟,入面,，,孔融,排行,第,六,，,係,全家,最,細,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hou2,noi6,ji5-cin4,jau5,jat1-go3,san4-tung4,#,keoi5,giu3-zou6,hung2-jung4,#,keoi5,sai3-sai3-go3,zau6,hou2,haau3-seon6,#,hung2-jung4,ge3,hing1-dai6,jap6-min6,#,hung2-jung4,paai4-hang4,dai6,luk6,#,hai6,cyun4-gaa1,zeoi3,sai3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
very,long time,before,have,one (measure),prodigy,#,he,is called,Kong Rong,#,he,young and small,then,very,filial piety,#,Kong Rong,’s,brothers,inside,#,Kong Rong,ranked,-th,six,#,is,whole family,most,small/young,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
孔融,四,歲,嗰陣,，,發生,咗,一個,小,故事,。,話說,次次,孔融,同,佢,哥哥,食,梨,，,佢,都,專登,揀,細,嘅,嚟,食,，,將,大,嘅,留,畀,幾,位,哥哥,。,大家,都,覺得,好,奇怪,，,正常,人,都,鍾意,食,大,嘅,梨,，,大,嘅,梨,又,甜,又,多,汁,，,有,乜,理由,要,揀,細,嘅,嚟,食,呢,？,家族,入面,嘅,大人,一齊,問,孔融,：,「,孔融,呀,，,點解,次次,食,梨,，,你,唔,揀,大,嘅,嚟,食,，,偏偏,要,揀,最,細,嘅,呢,？,」,孔融,話,：,「,因為,我,係,細,仔,，,按,道理,嚟講,，,我,係,應該,揀,細,嘅,嚟,食,。,」,佢哋,聽到,孔融,噉,答,，,都,忍唔住,一齊,讚,孔融,孝順,。,,,,,,,,,,,,,,,,,,,
hung2-jung4,sei3,seoi3,go2-zan2,#,faat3-sang1,zo2,jat1-go3,siu2,gu3-si6,#,waa6-syut3,ci3-ci3,hung2-jung4,tung4,keoi5,go4-go1,sik6,lei2,#,keoi5,dou1,zyun1-dang1,gaan2,sai3,ge3,lei4,sik6,#,zoeng1,daai6,ge3,lau4,bei2,gei2,wai2,go4-go1,#,daai6-gaa1,dou1,gok3-dak1,hou2,kei4-gwaai3,#,zing3-soeng4,jan4,dou1,zung1-ji3,sik6,daai6,ge3,lei2,#,daai6,ge3,lei2,jau6,tim4,jau6,do1,zap1,#,jau5,mat1,lei5-jau4,jiu3,gaan2,sai3,ge3,lei4,sik6,ne1,#,gaa1-zuk6,jap6-min6,ge3,daai6-jan4,jat1-cai4,man6,hung2-jung4,#,#,hung2-jung4,aa3,#,dim2-gaai2,ci3-ci3,sik6,lei2,#,nei5,m4,gaan2,daai6,ge3,lei4,sik6,#,pin1-pin1,jiu3,gaan2,zeoi3,sai3,ge3,ne1,#,#,hung2-jung4,waa6,#,#,jan1-wai6,ngo5,hai6,sai3,zai2,#,on3,dou6-lei5,lei4-gong2,#,ngo5,hai6,jing1-goi1,gaan2,sai3,ge3,lei4,sik6,#,#,keoi5-dei6,teng1-dou2,hung2-jung4,gam2,daap3,#,dou1,jan2-m4-zyu6,jat1-cai4,zaan3,hung2-jung4,haau3-seon6,#,,,,,,,,,,,,,,,,,,,
Kong Rong,four,year-old,that time,#,happen,-en,one (measure),small,story,#,it is said that,every time,Kong Rong,and,he,elder brother,eat,pear,#,he,"all, also",deliberately,choose,small,(linker),to,eat,#,take,big,(linker),leave,for,several,(measure),elder brother,#,everyone,"all, also",feel,very,strange,#,normal,people,"all, also",like,to eat,big,(linker),pear,#,big,(linker),pear,also,sweet,also,many,juice,#,have,what,reason,have to,choose,small,(linker),to,eat,(particle),#,family,inside,(linker),adult,together,ask,Kong Rong,#,#,Kong Rong,(particle),#,why,every time,eat,pear,#,you,not,choose,big,(linker),to,eat,#,instead,have to,choose,most,small,(linker),this,#,#,Kong Rong,say,#,#,because,I,is,small,son,#,base on,principle,saying,#,I,is,should,choose,small,(linker),to,eat,#,#,they,heard,Kong Rong,this way,reply,#,"all, also",cannot help,together,to praise,Kong Rong,filial piety,#,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
又,有,一,次,，,京城,嚟,咗,一,位,好,出名,嘅,大,官,，,佢,叫做,李元禮,。,佢,從來,唔,見,陌生人,，,如果,唔係,佢,親戚,，,或者,名人,，,係,冇,可能,見到,李元禮,。,孔融,唔識,得,李元禮,，,又,唔係,佢,親戚,，,亦,唔係,啲,咩,好,出名,嘅,人,，,但係,孔融,又,想,見,下,佢,喎,。,噉,點算,好,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau6,jau5,jat1,ci3,#,ging1-sing4,lei4,zo2,jat1,wai2,hou2,ceot1-meng2,ge3,daai6,gun1,#,keoi5,giu3-zou6,lei5-jyun4-lai5,#,keoi5,cung4-loi4,m4,gin3,mak6-sang1-jan4,#,jyu4-gwo2,m4-hai6,keoi5,can1-cik1,#,waak6-ze2,ming4-jan4,#,hai6,mou5,ho2-nang4,gin3-dou2,lei5-jyun4-lai5,#,hung2-jung4,m4-sik1,dak1,lei5-jyun4-lai5,#,jau6,m4-hai6,keoi5,can1-cik1,#,jik6,m4-hai6,di1,me1,hou2,ceot1-meng2,ge3,jan4,#,daan6-hai6,hung2-jung4,jau6,soeng2,gin3,haa5,keoi5,wo3,#,gam2,dim2-syun3,hou2,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
again,have,one,time,#,capital city,come,-en,one,(measure),very,famous,(linker),big,official,#,he,is called,Li Yuanli,#,he,always,not,meet,stranger,#,if,is not,he,relative,#,or,famous people,#,is,not,possible,get to meet,Li Yuanli,#,Kong Rong,don't know,(suffix),Li Yuanli,#,also,is not,he,relative,#,also,is not,any,what,very,famous,(linker),person,#,but,Kong Rong,also,want to,meet,a bit,he,(particle),#,then,how to do,well,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
神童,不愧,係,神童,，,孔融,諗,到,一個,計仔,。,佢,去,到,李元禮,屋企,，,同,守,門口,嘅,人,講,：,「,我,係,李元禮,嘅,親戚,。,」,於是,守,門口,嘅,人,就,放,咗,佢,入去,。,孔融,見到,李元禮,之後,，,李元禮,覺得,好,奇怪,，,佢,話,：,「,我,從來,未,見,過,你,喎,，,點解,你,話,你,係,我,親戚,呢,？,」,孔融,就話,：,「,我,嘅,祖先,曾經,做,過,你,祖先,嘅,學生,，,所以,我哋,世世代代,都,有,交情,。,」,李元禮,覺得,更加,奇怪,，,佢,心諗,：,我,嘅,祖先,做,過,佢,祖先,嘅,老師,？,點解,我,從來,都,冇,聽過,？,孔融,繼續,講,：,「,我,嘅,祖先,係,孔子,，,你,嘅,祖先,係,老子,，,孔子,曾經,問,過,老子,問題,，,所以,孔子,做,過,老子,嘅,學生,。,我哋,世世代代,都,有,交情,呀,。,」
san4-tung4,bat1-kwai5,hai6,san4-tung4,#,hung2-jung4,nam2,dou2,jat1-go3,gai2-zai2,#,keoi5,heoi3,dou3,lei5-jyun4-lai5,uk1-kei2,#,tung4,sau2,mun4-hau2,ge3,jan4,gong2,#,#,ngo5,hai6,lei5-jyun4-lai5,ge3,can1-cik1,#,#,jyu1-si6,sau2,mun4-hau2,ge3,jan4,zau6,fong3,zo2,keoi5,jap6-heoi3,#,hung2-jung4,gin3-dou2,lei5-jyun4-lai5,zi1-hau6,#,lei5-jyun4-lai5,gok3-dak1,hou2,kei4-gwaai3,#,keoi5,waa6,#,#,ngo5,cung4-loi4,mei6,gin3,gwo3,nei5,wo3,#,dim2-gaai2,nei5,waa6,nei5,hai6,ngo5,can1-cik1,ne1,#,#,hung2-jung4,zau6-waa6,#,#,ngo5,ge3,zou2-sin1,cang4-ging1,zou6,gwo3,nei5,zou2-sin1,ge3,hok6-saang1,#,so2-ji5,ngo5-dei6,sai3-sai3-doi6-doi6,dou1,jau5,gaau1-cing4,#,#,lei5-jyun4-lai5,gok3-dak1,gang3-gaa1,kei4-gwaai3,#,keoi5,sam1-nam2,#,ngo5,ge3,zou2-sin1,zou6,gwo3,keoi5,zou2-sin1,ge3,lou5-si1,#,dim2-gaai2,ngo5,cung4-loi4,dou1,mou5,teng1-gwo3,#,hung2-jung4,gai3-zuk6,gong2,#,#,ngo5,ge3,zou2-sin1,hai6,hung2-zi2,#,nei5,ge3,zou2-sin1,hai6,lou5-zi2,#,hung2-zi2,cang4-ging1,man6,gwo3,lou5-zi2,man6-tai4,#,so2-ji5,hung2-zi2,zou6,gwo3,lou5-zi2,ge3,hok6-saang1,#,ngo5-dei6,sai3-sai3-doi6-doi6,dou1,jau5,gaau1-cing4,aa3,#,#
