[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
堂叔,嘅,拖肥糖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tong4-suk1,ge3,to1-fei2-tong2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncle (father's cousin),’s,Toffee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello,，,今日,想,同,你,介紹,我,堂叔,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello,#,gam1-jat6,soeng2,tung4,nei5,gaai3-siu6,ngo5,tong4-suk1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hello,#,today,want,to,you,introduce,I,uncle,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,生,得,好,高大威猛,，,我,諗,有,一,米,九,咁,高,。,聽,啲,大人,講,佢,好似係,做,設計,嘅,，,成日,都會,着,到,成,身,白色,——,白色,裇衫,、,白色,西褲,，,同埋,白色,西裝,褸,。,街上面,得,佢,一個,係噉,着,，,所以,好,易,認,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,saang1,dak1,hou2,gou1-daai6-wai1-maang5,#,ngo5,nam2,jau5,jat1,mai1,gau2,gam3,gou1,#,teng1,di1,daai6-jan4,gong2,keoi5,hou2-ci5-hai6,zou6,cit3-gai3,ge2,#,seng4-jat6,dou1-wui5,zoek3,dou3,seng4,san1,baak6-sik1,#,baak6-sik1,seot1-saam1,#,baak6-sik1,sai1-fu3,#,tung4-maai4,baak6-sik1,sai1-zong1,lau1,#,gaai1-soeng6-min6,dak1,keoi5,jat1-go3,hai6-gam2,zoek3,#,so2-ji5,hou2,ji6,jing6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he,grow,(suffix),very,tall and strong,#,I,think,have,one,meter,ninety (cm),in that way,tall,#,hear,those,adult,say,he,seems to be,do,design,(particle),#,always,also will,wear,to the extent,whole,body,white,#,white,shirt,#,white,trousers,#,and,white,suit,coat,#,on the street,only have,he,one (measure),in this way,dress,#,therefore,very,easy,to recognise,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
堂叔,唔止,衣着,奇特,，,就,連,行為,都,怪,怪,哋,⋯⋯,你,唔好,誤會,呀,，,佢,係,一個,好人,嚟,，,只不過,佢,好少,望,住,人哋,對,眼,講嘢,，,成日,都,望,住,地下,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tong4-suk1,m4-zi2,ji1-zoek3,kei4-dak6,#,zau6,lin4,hang4-wai4,dou1,gwaai3,gwaai3,dei2,#,nei5,m4-hou2,ng6-wui6,aa3,#,keoi5,hai6,jat1-go3,hou2-jan4,lei4,#,zi2-bat1-gwo3,keoi5,hou2-siu2,mong6,zyu6,jan4-dei6,deoi3,ngaan5,gong2-je5,#,seng4-jat6,dou1,mong6,zyu6,dei6-haa2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uncle,not only,style of clothing,peculiar,#,then,even,behaviour,"all, also",strange,strange,rather,#,you,do not,misunderstand,(particle),#,he,is,one (measure),nice person,(particle),#,only that,he,rarely,look,-ing,others,pair,eye,speaking,#,all the time,"all, also",stare,-ing,floor,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,次,親戚,聚會,去,佢,屋企,，,我,仲,見到,佢,喺,間,房,入面,倒立,添,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau5,ci3,can1-cik1,zeoi6-wui6,heoi3,keoi5,uk1-kei2,#,ngo5,zung6,gin3-dou2,keoi5,hai2,gaan1,fong2,jap6-min6,dou2-laap6,tim1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
