[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一,隻,海龜,嘅,回憶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jat1,zek3,hoi2-gwai1,ge3,wui4-jik1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one,(measure),turtle,’s,memory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海龜,國,入面,有,個,禁地,，,叫做,珊瑚,城堡,。,傳說,話,入面,有,兇猛,嘅,海怪,，,所以,一直,都,冇,海龜,夠膽,入去,。,,,,,,,,,,,
hoi2-gwai1,gwok3,jap6-min6,jau5,go3,gam3-dei6,#,giu3-zou6,saan1-wu4,sing4-bou2,#,cyun4-syut3,waa6,jap6-min6,jau5,hung1-maang5,ge3,hoi2-gwai3,#,so2-ji5,jat1-zik6,dou1,mou5,hoi2-gwai1,gau3-daam2,jap6-heoi3,#,,,,,,,,,,,
turtle,country,inside,have,(measure),forbidden land,#,called,coral,castle,#,legend,say,inside,have,violent,(linker),sea monster,#,therefore,keep on,"all, also",don't have,turtle,have the guts to,enter,#,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有一日,，,海龜,琳琳,同,家姐,娜娜,講,：,「,小丑魚,話,佢,今日,去,咗,珊瑚,城堡,，,入面,根本,冇,海怪,！,我,又,要,去,！,」,,,,,,,,
jau5-jat1-jat6,#,hoi2-gwai1,lam4-lam2,tung4,gaa1-ze1,naa4-naa4,gong2,#,#,siu2-cau2-jyu2,waa6,keoi5,gam1-jat6,heoi3,zo2,saan1-wu4,sing4-bou2,#,jap6-min6,gan1-bun2,mou5,hoi2-gwai3,#,ngo5,jau6,jiu3,heoi3,#,#,,,,,,,,
one day,#,turtle,Lily,to,elder sister,Nana,talk,#,#,clown flish,say,it,today,go,-en,coral,castle,#,inside,firstly ,don't have,sea monster,#,I,also,want to,go,#,#,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
娜娜,嚇親,，,話,：,「,媽媽,話,嗰度,好,危險,㗎,！,」,,,,,,,,,,,,,,,,,,,,,,,,
naa4-naa4,haak3-can1,#,waa6,#,#,maa4-maa1,waa6,go2-dou6,hou2,ngai4-him2,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,
Nana,scared,#,say,#,#,mother,say,there,very,dangerous,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
