[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,隱形,咗,啊,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,jan2-jing4,zo2,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,invisible,-en,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你,覺得,呢個,世界,咩,最好,玩,？,係,緊張,刺激,嘅,電子,遊戲,？,鬥,智,鬥,謀,嘅,中國,象棋,？,定係,有益,身心,嘅,跑步,游水,？,哈哈,，,計我話,，,最好,玩,嘅,係,伏匿匿,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei5,gok3-dak1,nei1-go3,sai3-gaai3,me1,zeoi3-hou2,waan2,#,hai6,gan2-zoeng1,ci3-gik1,ge3,din6-zi2,jau4-hei3,#,dau3,zi3,dau3,mau4,ge3,zung1-gwok3,zoeng6-kei2,#,ding6-hai6,jau5-jik1,san1-sam1,ge3,paau2-bou6,jau4-seoi2,#,haa1-haa1,#,gai3-ngo5-waa6,#,zeoi3-hou2,waan2,ge3,hai6,buk6-nei1-nei1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you,think,this,world,what,best,to play,#,is,intense,exciting,(linker),electronic,game,#,fight,intelligence,fight,stratagy,(linker),Chinese,chess,#,or,beneficial,body and mind,(linker),running,swimming,#,haha,#,I would say,#,best,to play,(linker),is,hide and seek,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你,諗,下,，,伏匿匿,鬥,智,又,鬥,力,，,既,要,走,得,快,，,又,要,匿,得,埋,。,畀人,發現,嘅,時候,，,要,第一時間,走佬,；,未,畀人,發現,嘅,時候,，,就,要,收,起,呼吸,，,郁,都,唔,郁,。,能,動,又,能,靜,，,刺激,過,其他,遊戲,多多聲,。,,,,,,,,,,,,,,,,,,,,,,,,
nei5,nam2,haa5,#,buk6-nei1-nei1,dau3,zi3,jau6,dau3,lik6,#,gei3,jiu3,zau2,dak1,faai3,#,jau6,jiu3,nei1,dak1,maai4,#,bei2-jan4,faat3-jin6,ge3,si4-hau6,#,jiu3,dai6-jat1-si4-gaan3,zau2-lou2,#,mei6,bei2-jan4,faat3-jin6,ge3,si4-hau6,#,zau6,jiu3,sau1,hei2,fu1-kap1,#,juk1,dou1,m4,juk1,#,nang4,dung6,jau6,nang4,zing6,#,ci3-gik1,gwo3,kei4-taa1,jau4-hei3,do1-do1-seng1,#,,,,,,,,,,,,,,,,,,,,,,,,
you,think,a bit,#,hide and seek,fight,intelligence,also,fight,strength,#,also,need to,go,(suffix),fast,#,also,need to,hide,(suffix),close,#,by someone,find out,(linker),time,#,need to,at once,escape,#,not yet,by someone,find out,(linker),time,#,then,need to,hide,up,breath,#,move,"all, also",do not,move,#,able to,move,also,able to,be still,#,exciting,than,other,game,a lot,#,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
講係噉講,，,雖然,我,係,伏匿匿,嘅,狂熱,愛好者,，,但,我,次次,同,表姐,玩,都,輸,。,做,捉,人,捉,唔到,，,做,畀人,捉,嘅,，,唔使,幾,分鐘,就,畀人,揾到,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gong2-hai6-gam2-gong2,#,seoi1-jin4,ngo5,hai6,buk6-nei1-nei1,ge3,kwong4-jit6,oi3-hou3-ze2,#,daan6,ngo5,ci3-ci3,tung4,biu2-ze2,waan2,dou1,syu1,#,zou6,zuk1,jan4,zuk1,m4-dou2,#,zou6,bei2-jan4,zuk1,ge3,#,m4-sai2,gei2,fan1-zung1,zau6,bei2-jan4,wan2-dou2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
With that said,#,although,I,is,hide and seek,(linker),enthusiastic,lover,#,but,I,every time,with,elder cousin sister ,play,"all, also",lose,#,be,catch,people,catch,cannot,#,be,by someone,catch,(linker),#,no need,several,minute,then,by someone,found,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唉,，,有時,我,諗,，,如果,我,識,隱形,就,好,喇,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aai3,#,jau5-si4,ngo5,nam2,#,jyu4-gwo2,ngo5,sik1,jan2-jing4,zau6,hou2,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigh!,#,sometimes,I,think,#,if,I,know,turn invisible,then,good,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
有,一,次,我,又,好,快,輸,咗,，,忍唔住,講,咗,呢個,諗法,畀,表姐,知,。,佢,聽見,就,笑,住,話,：,「,我,睇,過,一,部,小說,，,主角,有,件,隱形,斗篷,，,去,到,邊,都,可以,神不知鬼不覺,，,睇嚟,你,係,想,要,呢,件,嘢,喎,。,」,佢,又,摸,下,我,個,頭,：,「,你,唔使,唔,開心,喎,，,最多,我,下次,讓,下,你,囉,。,,,,
