[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法蒂瑪,同,月亮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
faat3-dai3-maa5,tung4,jyut6-loeng6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatima,and,moon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatima,出世,嗰陣,，,係,一個,滿月,嘅,夜晚,。,月亮,又,大,又,圓,，,望住,細細粒,嘅,Fatima,。,Fatima,笑咪咪,，,好,安靜,噉,瞓緊覺,。,柔和,嘅,月光,，,輕輕,撫摸,Fatima,嘅,面珠墩,。,佢,真係,好,鍾意,呢個,小,生命,，,係,咁,可愛,，,咁,柔軟,，,又,咁,靚,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatima,ceot1-sai3,go2-zan6,#,hai6,jat1-go3,mun5-jyut6,ge3,je6-maan5,#,jyut6-loeng6,jau6,daai6,jau6,jyun4,#,mong6-zyu6,sai3-sai3-nap1,ge3,Fatima,#,Fatima,siu3-mi1-mi1,#,hou2,on1-zing6,gam2,fan3-gan2-gaau3,#,jau4-wo4,ge3,jyut6-gwong1,#,hing1-hing1,fu2-mo2,Fatima,ge3,min6-zyu1-dan1,#,keoi5,zan1-hai6,hou2,zung1-ji3,nei1-go3,siu2,sang1-ming6,#,hai6,gam3,ho2-oi3,#,gam3,jau4-jyun5,#,jau6,gam3,leng3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatima,to be born,that time,#,is,one (meausre),full moon,(linker),night,#,moon,also,big,also,round,#,staring,tiny,(linker),Fatima,#,Fatima,"with a big, full smile",#,very,serene,-ly,sleeping,#,gentle,(linker),moonbeam,#,softly,caress,Fatima,’s,cheeks,#,it,really,very,like,this one,little,life,#,is,so,cute,#,so,soft,#,also,so,beautiful,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fatima,喺,一,座,小島,出世,，,呢,座,島,好,細,好,細,好,細,——,喺,世界,地圖,入面,，,佢,連,一點,微,塵,嘅,位置,都,冇,。,呢,座,島,就,好似,廣闊,海洋,中,嘅,一塊,碎片,仔,，,方圓,幾,百,米,，,除咗,海水,、,海龜,同,魚,，,就,咩,都,冇,。,佢,細,到,一,班,細路仔,邊,跑,邊,玩,，,只要,半日,就,可以,繞,島,一,圈,；,一,隻,啱啱,起身,嘅,海龜,晨運,噉,游,，,一,粒,鐘,就,可以,繞,一,圈,。,
Fatima,hai2,jat1,zo6,siu2-dou2,ceot1-sai3,#,nei1,zo6,dou2,hou2,sai3,hou2,sai3,hou2,sai3,#,hai2,sai3-gaai3,dei6-tou4,jap6-min6,#,keoi5,lin4,jat1-dim2,mei4,can4,ge3,wai6-zi3,dou1,mou5,#,nei1,zo6,dou2,zau6,hou2-ci5,gwong2-fut3,hoi2-joeng4,zung1,ge3,jat1-faai3,seoi3-pin2,zai2,#,fong1-jyun4,gei2,baak3,mai5,#,ceoi4-zo2,hoi2-seoi2,#,hoi2-gwai1,tung4,jyu2,#,zau6,me1,dou1,mou5,#,keoi5,sai3,dou3,jat1,baan1,sai3-lou6-zai2,bin1,paau2,bin1,waan2,#,zi2-jiu3,bun3-jat6,zau6,ho2-ji5,jiu2,dou2,jat1,hyun1,#,jat1,zek3,ngaam1-ngaam1,hei2-san1,ge3,hoi2-gwai1,san4-wan6,gam2,jau4,#,jat1,nap1,zung1,zau6,ho2-ji5,jiu2,jat1,hyun1,#,
Fatima,at,one,(measure),small island,to be born,#,this,(measure),island,very,small,very,small,very,small,#,at,world,map,inside,#,it,even,a bit,microscopic,dust,(linker),location,also,don't have,#,this,(measure),island,then,to be similar,wide,ocean,centre,(linker),a piece of,shard,little,#,surrounding,several,hundred,meter,#,except,sea water,#,sea turtle,and,fish,#,then,what,"all, also",don't have,#,it,small,that,one,group of,children,while,run,while,play,#,only need,half day,then,can,surround,island,one,circle,#,one,(measure),just now,get up,(linker),sea turtle,morning exercise,that way,swim,#,one,(measure),hour,then,can,surround,one,circle,#,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢,座,島,就係,咁,細,。,不過,對,年紀,仲,細,嘅,Fatima,嚟講,，,呢個,島,好似,宇宙,咁,大,，,每日,都會,有,新鮮,事,發生,。,尋日,佢,先,發現,一,朵,完全,未,見,過,嘅,植物,，,日頭,會,打開,晒,啲,葉,，,夜晚,就,好似,蝦米,噉,捲,成,一,團,；,今日,佢,就,喺,沙灘,揾到,一個,好,靚,嘅,大,貝殼,，,喺,陽光,之下,會,閃,出,七彩,光芒,，,就,好似,有,條,彩虹,靜雞雞,匿,咗,喺,入面,噉,。,,,,,,,,
nei1,zo6,dou2,zau6-hai6,gam3,sai3,#,bat1-gwo3,deoi3,nin4-gei2,zung6,sai3,ge3,Fatima,lei4-gong2,#,ni1-go3,dou2,hou2-ci5,jyu5-zau6,gam3,daai6,#,mui5-jat6,dou1-wui5,jau5,san1-sin1,si6,faat3-saang1,#,cam4-jat6,keoi5,sin1,faat3-jin6,jat1,do2,jyun4-cyun4,mei6,gin3,gwo3,ge3,zik6-mat6,#,jat6-tau2,wui5,daa2-hoi1,saai3,di1,jip6,#,je6-maan5,zau6,hou2-ci5,haa1-mai5,gam2,gyun2,sing4,jat1,tyun4,#,gam1-jat6,keoi5,zau6,hai2,saa1-taan1,wan2-dou2,jat1-go3,hou2,leng3,ge3,daai6,bui3-hok3,#,hai2,joeng4-gwong1,zi1-haa6,wui5,sim2,ceot1,cat1-coi2,gwong1-mong4,#,zau6,hou2-ci5,jau5,tiu4,coi2-hung4,zing6-gai1-gai1,nei1,zo2,hai2,jap6-min6,gam2,#,,,,,,,,
