[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,係,陳凱琪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,hai6,can4-hoi2-kei4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,is,Chan Hoi Kei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陳凱琪,有,一身,黑,皮膚,，,眼睛,圓碌碌,，,個,鼻,同,個,咀,都,唔,細,。,佢,笑,起上嚟,，,有,一個,酒窩,喺,左面,，,好,得意,。,你,班,裏面,係咪,都,有,一個,陳凱琪,？,噉,你,班,裏面,嗰個,陳凱琪,係咪,好,文靜,㗎,？,係咪,好,勤力,讀書,？,佢,個,樣,點,㗎,？,我,講,呢個,陳凱琪,呢,，,佢,唔,高,又,唔,矮,，,排,班,隊,嘅,時候,，,佢,成日,俾,老師,排,佢,喺,隊,中間,。,前面,有,比,佢,細粒,嘅,同學,，,後面,有,比,佢,高大,嘅,同學,，,佢,就係,被,夾,喺,中間,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
can4-hoi2-kei4,jau5,jat1-san1,hak1,pei4-fu1,#,ngaan5-zing1,jyun4-luk1-luk1,#,go3,bei6,tung4,go3,zeoi2,dou1,m4,sai3,#,keoi5,siu3,hei2-soeng5-lai4,#,jau5,jat1-go3,zau2-wo1,hai2,zo2-min6,#,hou2,dak1-ji3,#,nei5,baan1,leoi5-min6,hai6-mai6,dou1,jau5,jat1-go3,can4-hoi2-kei4,#,gam2,nei5,baan1,leoi5-min6,go2-go3,can4-hoi2-kei4,hai6-mai6,hou2,man4-zing6,gaa3,#,hai6-mai6,hou2,kan4-lik6,duk6-syu1,#,keoi5,go3,joeng2,dim2,gaa3,#,ngo5,gong2,ni1-go3,can4-hoi2-kei4,ne1,#,keoi5,m4,gou1,jau6,m4,ai2,#,paai4,baan1,deoi2,ge3,si4-hau6,#,keoi5,seng4-jat6,bei2,lou5-si1,paai4,keoi5,hai2,deoi2,zung1-gaan1,#,cin4-min6,jau5,bei2,keoi5,sai3-nap1,ge3,tung4-hok6,#,hau6-min6,jau5,bei2,keoi5,gou1-daai6,ge3,tung4-hok6,#,keoi5,zau6-hai6,bei2,gaap6,hai2,zung1-gaan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chan Hoi Kei,have,all over the body,black/tanned,skin,#,eye,round and cute,#,(measure),nose,and,(measure),mouth,"all, also",not,small,#,she,smile,during,#,have,one (measure),dimple,at,left face,#,very,cute,#,you,class,inside,is or isn't,"all, also",have,one (measure),Chan Hoi Kei,#,then,you,class,inside,that ,Chan Hoi Kei,is or isn't,very,gentle and quiet,(particle),#,is or isn't,very,diligent,to study,#,she,(measure),face,how,(particle),#,I,talk,this,Chan Hoi Kei,(particle),#,she,not,tall,also,not,short,#,in,class,line-up,(linker),time,#,she,always,by,teacher,arrange,she,at,line-up,middle,#,front,have,than,she,small,(linker),schoolmate,#,behind,have,than,she,tall,(linker),schoolmate,#,she,which is,(passive),place in between,at,middle,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
早會,嘅,時候,，,陳凱琪,成日,要,趷高腳,先至,可以,睇,清楚,少少,講緊,嘢,嗰,位,老師,個,樣,。,不過,，,呢個,動作,，,佢,都,已經,好,耐,冇,做,過,喇,，,因為,啲,老師,訓話,嚟嚟去去,都係,噉,嘅,樣,，,噉,嘅,表情,，,都,冇,乜,好睇,，,不如,擘,大,眼,發白日夢,好過,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zou2-wui2,ge3,si4-hau6,#,can4-hoi2-kei4,seng4-jat6,jiu3,gat6-gou1-goek3,sin1-zi3,ho2-ji5,tai2,cing1-co2,siu2-siu2,gong2-gan2,je5,go2,wai2,lou5-si1,go3,joeng2,#,bat1-gwo3,#,ni1-go3,dung6-zok3,#,keoi5,dou1,ji5-ging1,hou2,noi6,mou5,zou6,gwo3,laa3,#,jan1-wai6,di1,lou5-si1,fan3-waa6,lai4-lai4-heoi3-heoi3,dou1-hai6,gam2,ge3,joeng2,#,gam2,ge3,biu2-cing4,#,dou1,mou5,mat1,hou2-tai2,#,bat1-jyu4,maak3,daai6,ngaan5,faat3-baak6-jat6-mung6,hou2-gwo3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morning assembly,(linker),time,#,Chan Hoi Kei,always,have to,to get on tip toe,only when,can,look,clear,a bit,talking,thing,that,(measure),teacher,(measure),face,#,however,#,this,movement,#,she,"all, also",already,very,long time,don't have,do,-ed,(particle),#,because,those,teacher,lecture,every time,always is,in this way,(linker),face,#,in this way,(linker),facial expression,#,"all, also",don't have,anything,good to watch,#,it's better to,open,big,eye,daydream,better,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
其實,，,我,講緊,嗰個,陳凱琪,都,只係,一,名,普通,嘅,小學,五,年級,學生,，,應該,同,你,識,嗰個,差唔多,啦,。,不過,，,呢個,女仔,身邊,嘅,人,總係,可以,好,輕易,噉就,將,佢,記住,喺,個,心,度,。,陳凱琪,，,陳凱琪,，,好,親切,噉,嗌,佢,個,名,，,佢,就,會,笑瞇瞇,噉,應,你,︰,「,乜嘢,事,啊,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kei4-sat6,#,ngo5,gong2-gan2,go2-go3,can4-hoi2-kei4,dou1,zi2-hai6,jat1,ming4,pou2-tung1,ge3,siu2-hok6,ng5,nin4-kap1,hok6-saang1,#,jing1-goi1,tung4,nei5,sik1,go2-go3,caa1-m4-do1,laa1,#,bat1-gwo3,#,ni1-go3,neoi5-zai2,san1-bin1,ge3,jan4,zung2-hai6,ho2-ji5,hou2,hing1-ji6,gam2-zau6,zoeng1,keoi5,gei3-zyu6,hai2,go3,sam1,dou6,#,can4-hoi2-kei4,#,can4-hoi2-kei4,#,hou2,can1-cit3,gam2,aai3,keoi5,go3,meng2,#,keoi5,zau6,wui5,siu3-mi1-mi1,gam2,jing3,nei5,#,#,mat1-je5,si6,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
