[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愚公移山,．,賣油翁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu4-gung1-ji4-saan1,#,maai6-jau4-jung1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Foolish Old Man Removes the Mountains,#,Old Oil Merchant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
傳說,有,一,位,伯伯,，,佢,叫做,愚公,，,佢,已經,九十,幾,歲,。,愚公,一直,以嚟,都,有,個,煩惱,：,佢,住,喺,兩,座,山,嘅,北面,，,呢,兩,座,山,加埋,方圓,七,百,公里,，,高,七,八,千,米,。,因為,呢,兩,座,山,阻,住,，,搞到,愚公,去,南面,好,唔,方便,，,次次,都,要,兜路,行,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cyun4-syut3,jau5,jat1,wai2,baak3-baak3,#,keoi5,giu3-zou6,jyu4-gung1,#,keoi5,ji5-ging1,gau2-sap6,gei2,seoi3,#,jyu4-gung1,jat1-zik6,ji5-lai4,dou1,jau5,go3,faan4-nou5,#,keoi5,zyu6,hai2,loeng5,zo6,saan1,ge3,bak1-min6,#,nei1,loeng5,zo6,saan1,gaa1-maai4,fong1-jyun4,cat1,baak3,gung1-lei5,#,gou1,cat1,baat3,cin1,mai5,#,jan1-wai6,nei1,loeng5,zo6,saan1,zo2,zyu6,#,gaau2-dou3,jyu4-gung1,heoi3,naam4-min6,hou2,m4,fong1-bin6,#,ci3-ci3,dou1,jiu3,dau1-lou6,haang4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
legends tell ,have,one,(measure),old man,#,he,is called,Foolish Old Man,#,he,already,ninety,something,year-old,#,Foolish Old Man,keep on,since,"all, also",have,(measure),worry,#,he,live,at,two,(measure),mountain,(linker),North,#,this,two,(measure),mountain,add togather,radius,seven,hundred,kilometre,#,tall,seven,eight,thousand,meters,#,because,this,two,(measure),mountain,block,-ing,#,make,Foolish Old Man,go,South,very,not,convenient,#,every time,"all, also",have to,take indirect routes,to walk,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
終於,有一日,，,愚公,實在,頂唔順,喇,！,佢,叫,晒,屋企人,過嚟,，,同,佢哋,商量,：,「,我哋,一於,合力,剷平,咗,呢,兩,座,山,，,再,起,一,條,路,，,條,路,一直,通,到,南面,，,你哋,話,好唔好,？,」,屋企人,都,點頭,贊成,，,唯獨,佢,太太,唔,同意,。,佢,太太,問,：,「,憑,你,嘅,力量,，,連,細,山,都,剷唔平,，,更,何況,呢,兩,座,大,山,呢,？,再講,，,就算,真係,剷得平,呢,兩,座,山,，,之後,啲,泥土,同,石頭,又,放,邊,？,」,愚公,話,：,「,將,啲,泥土,同,石頭,掉,去,海邊,，,噉就,冇問題,啦,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zung1-jyu1,jau5-jat1-jat6,#,jyu4-gung1,sat6-zoi6,ding2-m4-seon6,laa3,#,keoi5,giu3,saai3,uk1-kei2-jan4,gwo3-lai4,#,tung4,keoi5-dei6,soeng1-loeng4,#,#,ngo5-dei6,jat1-jyu1,hap6-lik6,caan2-peng4,zo2,nei1,loeng5,zo6,saan1,#,zoi3,hei2,jat1,tiu4,lou6,#,tiu4,lou6,jat1-zik6,tung1,dou3,naam4-min6,#,nei5-dei6,waa6,hou2-m4-hou2,#,#,uk1-kei2-jan4,dou1,dim2-tau4,zaan3-sing4,#,wai4-duk6,keoi5,taai3-taai2,m4,tung4-ji3,#,keoi5,taai3-taai2,man6,#,#,pang4,nei5,ge3,lik6-loeng6,#,lin4,sai3,saan1,dou1,caan2-m4-ping4,#,gang3,ho4-fong3,nei1,loeng5,zo6,daai6,saan1,ne1,#,zoi3-gong2,#,zau6-syun3,zan1-hai6,caan2-dak1-ping4,nei1,loeng5,zo6,saan1,#,zi1-hau6,di1,nai4-tou2,tung4,sek6-tau4,jau6,fong3,bin1,#,#,jyu4-gung1,waa6,#,#,zoeng1,di1,nai4-tou2,tung4,sek6-tau4,diu6,heoi3,hoi2-bin1,#,gam2-zau6,mou5-man6-tai4,laa1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
finally,one day,#,Foolish Old Man,really,cannot stand it,(particle),#,he,call,all,family members,to come over,#,with,they,discuss,#,#,we,let's,join forces,flatten,-en,this,two,(measure),mountain,#,again,build,one,(measure),road,#,(measure),road,keep on,pass,to,South,#,you (plural),say,good or not,#,#,family members,"all, also",nod,agree,#,only,he,wife,don't,agree,#,he,wife,ask,#,#,with just,you,(linker),strength,#,even,small,hill,"all, also",cannot flatten,#,even more,to let alone,this,two,(measure),big,mountain,(particle),#,moreover,#,even if,really,can flatten,this,two,(measure),mountain,#,afterwards,those,soil,and,stone,also,put,where,#,#,Foolish Old Man,say,#,#,take,those,soil,and,stone,throw,to,seaside,#,then,no problem,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
愚公,帶,埋,佢,啲,子子孫孫,一齊,挖,走,啲,泥,，,又,鑿開,石頭,，,再,合力,將,啲,沙石,運,去,海邊,。,佢哋,另外,有,個,鄰居,，,佢,個,細路,雖然,得,七,歲,，,但,都,跳下跳下,嚟,幫,愚公,佢哋,手,，,冬天,先,返屋企,一,次,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu4-gung1,daai3,maai4,keoi5,di1,zi2-zi2-syun1-syun1,jat1-cai4,waat3,zau2,di1,nai4,#,jau6,zok6-hoi1,sek6-tau4,#,zoi3,hap6-lik6,zoeng1,di1,saa1-sek6,wan6,heoi3,hoi2-bin1,#,keoi5-dei6,ling6-ngoi6,jau5,go3,leon4-geoi1,#,keoi5,go3,sai3-lou6,seoi1-jin4,dak1,cat1,seoi3,#,daan6,dou1,tiu3-haa5-tiu3-haa5,lai4,bong1,jyu4-gung1,keoi5-dei6,sau2,#,dung1-tin1,sin1,faan1-uk1-kei2,jat1,ci3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Foolish Old Man,bring,also,he,those,descendants,together,dig,away,some,soil,#,also,break with chisel,stone,#,then,join forces,take,those,sand and stone,transport,to,seaside,#,they,in addition,have,(measure),neighbour,#,he,(measure),kid,although,only have,seven,year-old,#,but,"all, also",bouncing up and down,to come,to help,Foolish Old Man,they,hand,#,winter,then,go home,one,time,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,時候,，,有,另一,位,伯伯,，,佢,叫做,智叟,。,智叟,笑,住,噉,阻止,愚公,：,「,你,太,唔,聰明,喇,！,你,而家,已經,九十,幾,歲,，,得返,幾年,命,。,恕,我,得罪講句,，,你,連,山,上面,嘅,草,都,唔,夠力,掹,，,又,點,可能,剷平,呢,兩,座,山,呢,？,」,愚公,長,嘆,一口氣,，,話,：,「,你,真係,萌塞,，,萌塞,到,冇得救,！,就算,我,死,咗,，,我,仲有,個,仔,。,我,個,仔,死,咗,，,我,都,仲有,個,孫,，,個,孫,又,會,再,生,仔,。,我,啲,子子孫孫,無窮無盡,，,而,嗰,兩,座,山,又,唔,會,越,變,越,高,，,又,使乜,愁,我哋,剷唔平,佢哋,呢,？,」,智叟,即時,啞口無言,，,無從,反駁,。,,,,,,,,,,,,,,,,,,,,,
