[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曾參,嘅,謠言,同埋,三,隻,老虎,嘅,故事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zang1-sam1,ge3,jiu4-jin4,tung4-maai4,saam1,zek3,lou5-fu2,ge3,gu3-si6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeng Shen,(linker),rumour,and,three,(measure),tiger,(linker),story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人,嘅,説話,，,殺傷力,可以,好,大,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jan4,ge3,syut3-waa6,#,saat3-soeng1-lik6,ho2-ji5,hou2,daai6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
people,(linker),speaking,#,deadliness,can be,very,big,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
話說,好,耐,好,耐,之前,，,有,個,出名,孝順,嘅,人,，,佢,叫做,曾參,，,又,叫做,曾子,。,曾子,唔單止,孝順,，,佢,仲,好,好人,，,街坊,鄰里,都,好,鍾意,佢,。,有一日,，,有,另一,個,同,曾參,同名同姓,嘅,人,，,佢,殺,咗,人,。,佢,嘅,鄰居,誤會,咗,，,以為,係,曾子,殺,咗,人,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waa6-syut3,hou2,noi6,hou2,noi6,zi1-cin4,#,jau5,go3,ceot1-meng2,haau3-seon6,ge3,jan4,#,keoi5,giu3-zou6,zang1-sam1,#,jau6,giu3-zou6,zang1-zi2,#,zang1-zi2,m4-daan1-zi2,haau3-seon6,#,keoi5,zung6,hou2,hou2-jan4,#,gaai1-fong1,leon4-lei5,dou1,hou2,zung1-ji3,keoi5,#,jau5-jat1-jat6,#,jau5,ling6-jat1,go3,tung4,zang1-sam1,tung4-ming4-tung4-sing3,ge3,jan4,#,keoi5,saat3,zo2,jan4,#,keoi5,ge3,leon4-geoi1,ng6-wui6,zo2,#,ji5-wai4,hai6,zang1-zi2,saat3,zo2,jan4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
It is said that,very,long time,very,long time,before,#,have,(measure),famous,respect parents,(linker),person,#,he,is called,Zeng Shen,#,also,is called,Zengzi,#,Zengzi,not only,respect parents,#,he,but also,very,nice person,#,neighbours,neighbours,"all, also",very,like,he,#,one day,#,have,another,(measure),with,Zeng Shen,same first and last name,(linker),person,#,he,kill,-en,people,#,he,’s,neighbour,misunderstand,-en,#,think,is,Zengzi,kill,-en,people,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
咁啱,呢,段,時間,，,曾子,同,佢,老師,孔子,出,咗,國,，,唔,喺,屋企,。,曾子,嘅,鄰居,去,咗,揾,曾子,嘅,媽媽,。,佢哋,同,曾子,媽媽,講,：,「,你,個,仔,曾子,殺,咗,人,呀,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam3-ngaam1,nei1,dyun6,si4-gaan3,#,zang1-zi2,tung4,keoi5,lou5-si1,hung2-zi2,ceot1,zo2,gwok3,#,m4,hai2,uk1-kei2,#,zang1-zi2,ge3,leon4-geoi1,heoi3,zo2,wan2,zang1-zi2,ge3,maa4-maa1,#,keoi5-dei6,tung4,zang1-zi2,maa4-maa1,gong2,#,#,nei5,go3,zai2,zang1-zi2,saat3,zo2,jan4,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
incidentally,this,period of,time,#,Zengzi,and,he,teacher,Confucius,go out,-en,country,#,not,at,home,#,Zengzi,’s,neighbour,go,-en,find,Zengzi,’s,mother,#,they,to,Zengzi,mother,say,#,#,you,(measure),son,Zengzi,kill,-en,people,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
曾子,媽媽,唔,信,，,佢,一路,織,布,，,一路,話,：,「,我,個,仔,咁,孝順,，,又,咁,好人,，,佢,點,可能,會,殺,人,呢,？,」,曾子,媽媽,講,完,呢,句,之後,，,冇,再,理,啲,鄰居,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zang1-zi2,maa4-maa1,m4,seon3,#,keoi5,jat1-lou6,zik1,bou3,#,jat1-lou6,waa6,#,#,ngo5,go3,zai2,gam3,haau3-seon6,#,jau6,gam3,hou2-jan4,#,keoi5,dim2,ho2-nang4,wui5,saat3,jan4,ne1,#,#,zang1-zi2,maa4-maa1,gong2,jyun4,nei1,geoi3,zi1-hau6,#,mou5,zoi3,lei5,di1,leon4-geoi1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
