[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小明,嘅,夢想,魔氈,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-ming4,ge3,mung6-soeng2,mo1-zin1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vishnu,’s,dream,magic carpet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小明,係,一個,夢想家,。,佢,鍾意,去,唔同,嘅,地方,旅行,，,但係,佢,偏偏,唔,鍾意,等,車,。,佢,覺得,，,喺,火車站,、,的士站,或者,巴士站,等,車,好,嘥,時間,。,佢,心諗,：,「,如果,有,一,張,魔氈,，,噉,我,就,可以,好似,阿拉丁,噉,飛嚟飛去,，,隨時,去,唔同,嘅,地方,。,」,,,,,,,,,
siu2-ming4,hai6,jat1-go3,mung6-soeng2-gaa1,#,keoi5,zung1-ji3,heoi3,m4-tung4,ge3,dei6-fong1,leoi5-hang4,#,daan6-hai6,keoi5,pin1-pin1,m4,zung1-ji3,dang2,ce1,#,keoi5,gok3-dak1,#,hai2,fo2-ce1-zaam6,#,dik1-si2-zaam6,waak6-ze2,baa1-si2-zaam6,dang2,ce1,hou2,saai1,si4-gaan3,#,keoi5,sam1-nam2,#,#,jyu4-gwo2,jau5,jat1,zoeng1,mo1-zin1,#,gam2,ngo5,zau6,ho2-ji5,hou2-ci5,aa3-laai1-ding1,gam2,fei1-lai4-fei1-heoi3,#,ceoi4-si4,heoi3,m4-tung4,ge3,dei6-fong1,#,#,,,,,,,,,
Vishnu,is,one (measure),dreamer,#,he,like,to go,different,(linker),place,travel,#,but,he,unusually,not,like,to wait,car,#,he,feel,#,at,train station,#,taxi station,or,bus station,wait,car,very,waste,time,#,he,think,#,#,if,have,one,(measure),magic carpet,#,in that way,I,then,can,seems,Aladin,in that way,fly around,#,at any moment,go,different,(linker),place,#,#,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
人類,最初,係,點樣,由,一個,地方,，,去,到,另一,個,地方,嘅,呢,？,一,開始,佢哋,係,靠,步行,，,到,學識,馴服,動物,之後,，,佢哋,就,騎,馬,、,驢,、,駱駝,同,大象,。,再,後來,，,人類,發明,咗,車轆,，,就,用,馬車,或者,牛車,去,載,人,四圍,去,。,,,,,,,,,,,,
jan4-leoi6,zeoi3-co1,hai6,dim2-joeng2,jau4,jat1-go3,dei6-fong1,#,heoi3,dou3,ling6-jat1,go3,dei6-fong1,ge3,ne1,#,jat1,hoi1-ci2,keoi5-dei6,hai6,kaau3,bou6-hang4,#,dou3,hok6-sik1,seon4-fuk6,dung6-mat6,zi1-hau6,#,keoi5-dei6,zau6,ke4,maa5,#,lou4,#,lok3-to4,tung4,daai6-zoeng6,#,zoi3,hau6-loi4,#,jan4-leoi6,faat3-ming4,zo2,ce1-luk1,#,zau6,jung6,maa5-ce1,waak6-ze2,ngau4-ce1,heoi3,zoi3,jan4,sei3-wai4,heoi3,#,,,,,,,,,,,,
human beings,at first,is,how to,from,one (measure),place,#,go,to,another,(measure),place,(particle),(particle),#,once,begin,they,is,depend on,walking,#,till,learnt,to tame,animal,after,#,they,then,ride,horse,#,donkey,#,camel,and,elephant,#,again,afterwards,#,human beings,invent,-en,wheel,#,then,use,horse cart,or,bullock cart,to,carry,people,around,go,#,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
幾,個,世紀,之前,，,人類,唔單止,改良,蒸汽機,嚟,發明,火車,，,仲,發明,咗,用,引擎,推動,嘅,汽車,，,令,大家,可以,更,快,到達,目的地,。,就,喺,百,幾,年,前,，,美國,嘅,發明家,萊特兄弟,，,更加,發明,咗,可以,喺,天空,飛翔,嘅,飛機,。,之後,科學家,仲,設計,埋,火箭,，,帶,人類,上,太空,、,月球,……,,,,,
gei2,go3,sai3-gei2,zi1-cin4,#,jan4-leoi6,m4-daan1-zi2,goi2-loeng4,zing1-hei3-gei1,lai4,faat3-ming4,fo2-ce1,#,zung6,faat3-ming4,zo2,jung6,jan5-king4,teoi1-dung6,ge3,hei3-ce1,#,ling6,daai6-gaa1,ho2-ji5,gang3,faai3,dou3-daat6,muk6-dik1-dei6,#,zau6,hai2,baak3,gei2,nin4,cin4,#,mei5-gwok3,ge3,faat3-ming4-gaa1,loi4-dak6-hing1-dai6,#,gang3-gaa1,faat3-ming4,zo2,ho2-ji5,hai2,tin1-hung1,fei1-coeng4,ge3,fei1-gei1,#,zi1-hau6,fo1-hok6-gaa1,zung6,cit3-gai3,maai4,fo2-zin3,#,daai3,jan4-leoi6,soeng6,taai3-hung1,#,jyut6-kau4,#,,,,,
several,(measure),century,before,#,human beings,not only,improve,steam engine,to,invent,train,#,even,invent,-en,use,engine,to drive,(linker),automobile,#,make,everyone,can,even more,fast,to arrive,destination,#,then,at,hundred,several,year,before,#,USA,(linker),inventor,Wright Brothers,#,even more,invent,-en,can,at,sky,fly,(linker),airplane,#,after,scientist,even,design,also,rocket,#,carry,human beings,go up,outer space,#,moon,#,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,但係,點解,我哋,仍然,係,慢,過,阿拉丁,嗰,張,飛氈,嘅,？,」,小明,想,知道,答案,。,佢,問,過,爸爸,、,媽媽,，,又,問,過,老師,，,但係,都,得,唔到,一個,滿意,嘅,答案,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,daan6-hai6,dim2-gaai2,ngo5-dei6,jing4-jin4,hai6,maan6,gwo3,aa3-laai1-ding1,go2,zoeng1,fei1-zin1,ge2,#,#,siu2-ming4,soeng2,zi1-dou3,daap3-on3,#,keoi5,man6,gwo3,baa4-baa1,#,maa4-maa1,#,jau6,man6,gwo3,lou5-si1,#,daan6-hai6,dou1,dak1,m4-dou2,jat1-go3,mun5-ji3,ge3,daap3-on3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,but,why,we,still,is,slow,-er,Aladin,that,(measure),flying carpet,(particle),#,#,Vishnu,want,to know,answer,#,he,ask,-ed,father,#,mother,#,also,ask,-ed,teacher,#,but,"all, also",gain,cannot,one (measure),satisfactory,(linker),answer,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老師,話,：,「,其實,我哋,已經,快,過,以前,好多,——,日本,嘅,子彈火車,，,可以,喺,短短,幾,個,鐘,之內,，,將,我哋,由,一個,島嶼,帶,到,另一,個,島嶼,。,我哋,甚至,唔,使,兩,個,鐘,，,就,可以,由,香港,搭,飛機,飛,到,台灣,，,更加,可以,喺,16,個,鐘,之內,由,香港,飛,到,美國,紐約,。,」,,,
lou5-si1,waa6,#,#,kei4-sat6,ngo5-dei6,ji5-ging1,faai3,gwo3,ji5-cin4,hou2-do1,#,jat6-bun2,ge3,zi2-daan2-fo2-ce1,#,ho2-ji5,hai2,dyun2-dyun2,gei2,go3,zung1,zi1-noi6,#,zoeng1,ngo5-dei6,jau4,jat1-go3,dou2-zeoi6,daai3,dou3,ling6-jat1,go3,dou2-zeoi6,#,ngo5-dei6,sam6-zi3,m4,sai2,loeng5,go3,zung1,#,zau6,ho2-ji5,jau4,hoeng1-gong2,daap3,fei1-gei1,fei1,dou3,toi4-waan1,#,gang3-gaa1,ho2-ji5,hai2,sap6-luk6,go3,zung1,zi1-noi6,jau4,hoeng1-gong2,fei1,dou3,mei5-gwok3,nau2-joek3,#,#,,,
teacher,say,#,#,actually,we,already,fast,-er,before,a lot,#,Japan,(linker),bullet train,#,can,at,as short as,several,(measure),hour,within,#,take,we,from,one (measure),island,carry,to,another,(measure),island,#,we,even,not,need,two,(measure),hour,#,then,can,from,Hong Kong,take,airplane,to fly,to,Taiwan,#,even,can,at,sixteen,(measure),hour,within,from,Hong Kong,fly,to,USA,New York,#,#,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,佢哋,根本,唔,明白,我,個,問題,。,」,小明,同,朋友,小剛,抱怨,。,佢,最,希望,嘅,，,係,每,次,旅行,嘅,時候,，,都,可以,有,種,方便,、,瞬間,去,任何,地方,嘅,神奇,力量,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
