[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
郁郁,手指,，,天下,我,有,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
juk1-juk1,sau2-zi2,#,tin1-haa6,ngo5,jau5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
move,finger,#,the world,I,have,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,叮叮,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ding1-ding1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ding ding,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小朋友,，,你,有冇,聽過,萬維網,？,哎,，,咪,封鎖,我,住,，,我,唔係,咩,垃圾訊息,呀,！,我,都係,想,教,你,一啲,網絡,知識,咋,……,喔,，,你,冇,聽過,萬維網,？,噉,你,有冇,聽過,互聯網,呢,？,有,？,噉就,好,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siu2-pang4-jau5,#,nei5,jau5-mou5,teng1-gwo3,maan6-wai4-mong5,#,ei3,#,mai5,fung1-so2,ngo5,zyu6,#,ngo5,m4-hai6,me1,laap6-saap3-seon3-sik1,aa3,#,ngo5,dou1-hai6,soeng2,gaau3,nei5,jat1-di1,mong5-lok3,zi3-sik1,zaa3,#,o3,#,nei5,mou5,teng1-gwo3,maan6-wai4-mong5,#,gam2,nei5,jau5-mou5,teng1-gwo3,wu6-lyun4-mong5,ne1,#,jau5,#,gam2-zau6,hou2,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
children,#,you,have or haven't,heard,World Wide Web,#,hey,#,don't,block,I,-ing,#,I,is not,what,spam message,(particle),#,I,also is,want,to teach,you,some,network,knowledge,(particle),#,oh,#,you,don't have,heard,World Wide Web,#,then,you,have or haven't,heard,Internet,(particle),#,have,#,then,good,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
如果,我,再,問,你,：,「,究竟,咩,係,互聯網,呢,？,」,可能,你,會,話,：,「,我,都,唔,太,清楚,啊,，,不過,應該,係,一啲,同,電腦,有關,嘅,嘢,啩,？,」,冇,錯,！,的確,係,，,不過,只係,答,啱,咗,一半,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jyu4-gwo2,ngo5,zoi3,man6,nei5,#,#,gau3-ging2,me1,hai6,wu6-lyun4-mong5,ne1,#,#,ho2-nang4,nei5,wui5,waa6,#,#,ngo5,dou1,m4,taai3,cing1-co2,aa3,#,bat1-gwo3,jing1-goi1,hai6,jat1-di1,tung4,din6-nou5,jau5-gwaan1,ge3,je5,gwaa3,#,#,mou5,co3,#,dik1-kok3,hai6,#,bat1-gwo3,zi2-hai6,daap3,ngaam1,zo2,jat1-bun3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
if,I,again,ask,you,#,#,exactly,what,is,Internet,this,#,#,maybe,you,will,say,#,#,I,"all, also",not,too,clear,(particle),#,only,should,be,some,with,computer,related,(linker),thing,(particle),#,#,don't have,wrong,#,indeed,is,#,only,just only,answer,correct,-en,half,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
噉,究竟,互聯網,係咩,呢,？,等,我,慢慢,同,你,講,啦,。,啊,，,唔記得,介紹,自己,，,我,叫,網仔,。,唔好,睇,我,細細粒,，,又,咁,得意,，,就,睇小,我,啊,。,我,係,互聯網,嘅,百科全書,嚟,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam2,gau3-ging2,wu6-lyun4-mong5,hai6-me1,ne1,#,dang2,ngo5,maan6-maan2,tung4,nei5,gong2,laa1,#,aa3,#,m4-gei3-dak1,gaai3-siu6,zi6-gei2,#,ngo5,giu3,mong5-zai2,#,m4-hou2,tai2,ngo5,sai3-sai3-nap1,#,jau6,gam3,dak1-ji3,#,zau6,tai2-siu2,ngo5,aa3,#,ngo5,hai6,wu6-lyun4-mong5,ge3,baak3-fo1-cyun4-syu1,lei4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
