[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彩色,世界,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coi2-sik1,sai3-gaai3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colourful,world,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
經歷,咗,一,次,高速,上升,後,，,彼德,慢慢,擘大,眼,，,發現,佢哋,已經,身處,太空,，,離,地球,越嚟越遠,。,佢,望,一,望,身邊,，,卡文,同,雲妮,已經,醒,咗,，,仲,好,興奮,噉,趴,喺,太空船,嘅,玻璃,窗,欣賞,眼前,嘅,浩瀚,宇宙,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ging1-lik6,zo2,jat1,ci3,gou1-cuk1,soeng6-sing1,hau6,#,bei2-dak1,maan6-maan2,maak3-daai6,ngaan5,#,faat3-jin6,keoi5-dei6,ji5-ging1,san1-cyu5,taai3-hung1,#,lei4,dei6-kau4,jyut6-lai4-jyut6-jyun5,#,keoi5,mong6,jat1,mong6,san1-bin1,#,kaa1-man4,tung4,wan4-nei4,ji5-ging1,seng2,zo2,#,zung6,hou2,hing1-fan5,gam2,paa1,hai2,taai3-hung1-syun4,ge3,bo1-lei1,coeng1,jan1-soeng2,ngaan5-cin4,ge3,hou6-hon6,jyu5-zau6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
experience,-en,one,time,high speed,rise,after,#,Peter,slowly,open,eye,#,find out,they,already,be located at,outer space,#,from,Earth,further and further,#,he,look,one,look,one's surrounding,#,Carmen,and,Winnie,already,wake up,-en,#,even,very,excited,-ly,lie on one's stomach,at,spaceship,(linker),glass,window,appreciate,before one's eyes,(linker),vast,universe,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
彼德,冇,俾,眼前,嘅,景色,吸引,，,反而,因為,離開,咗,地球,而,覺得,好,驚,。,佢,捽,一,捽,眼,，,望,出,窗,，,只有,無盡,嘅,黑暗,，,同埋,望,唔,清,方向,嘅,宇宙,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bei2-dak1,mou5,bei2,ngaan5-cin4,ge3,ging2-sik1,kap1-jan5,#,faan2-ji4,jan1-wai6,lei4-hoi1,zo2,dei6-kau4,ji4,gok3-dak1,hou2,geng1,#,keoi5,zeot1,jat1,zeot1,ngaan5,#,mong6,ceot1,coeng1,#,zi2-jau5,mou4-zeon6,ge3,hak1-am3,#,tung4-maai4,mong6,m4,cing1,fong1-hoeng3,ge3,jyu5-zau6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter,don't have,by,before one's eyes,(linker),scenery,attract,#,on the contrary,because,leave,-en,Earth,and,feel,very,afraid,#,he,rub,one,rub,eye,#,look,out,window,#,have...only,endless,(linker),darkness,#,and,look,not,clear,direction,(linker),universe,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,彼德,，,你,睇,下,！,出面,有,好多,星星,呀,！,」,雲妮,一邊,講,，,一邊,手舞足蹈,噉,拉,住,彼德,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,bei2-dak1,#,nei5,tai2,haa5,#,ceot1-min6,jau5,hou2-do1,sing1-sing1,aa3,#,#,wan4-nei4,jat1-bin1,gong2,#,jat1-bin1,sau2-mou5-zuk1-dou6,gam2,laai1,zyu6,bei2-dak1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
