[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,嘅,好朋友,Bonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,ge3,hou2-pang4-jau5,Bonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,’s,good friend,Bonda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大家好,！,我,係,Devi,，,今年,十,歲,！,而家,係,公元,2085,年,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daai6-gaa1-hou2,#,ngo5,hai6,Devi,#,gam1-nin4,sap6,seoi3,#,ji4-gaa1,hai6,gung1-jyun4,ji6-ling4-baat3-ng5,nin4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hi everyone,#,I,is,Devi,#,this year,ten,year-old,#,now,is,Anno Domini (A.D.),2085,year,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,好,鍾意,同,爺爺,傾計,，,因為,佢,會,講,好多,以前,嘅,嘢,畀,我,聽,。,爺爺,話,，,佢,十,歲,嘅,時候,，,即係,2016,年,，,個,世界,冇,而家,咁,多,人,，,但,空氣,污染,就,嚴重,好多,，,因為,嗰陣時,啲,車,唔係,用,電,或者,太陽能,，,會,排放,好多,廢氣,！,除此之外,，,而家,嘅,交通,意外,都,少,咗,好多,，,因為,自動,駕駛,嘅,車,都,非常,安全,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,hou2,zung1-ji3,tung4,je4-je2,king1-gai2,#,jan1-wai6,keoi5,wui5,gong2,hou2-do1,ji5-cin4,ge3,je5,bei2,ngo5,teng1,#,je4-je2,waa6,#,keoi5,sap6,seoi3,ge3,si4-hau6,#,zik1-hai6,ji6-ling4-jat1-luk6,nin4,#,go3,sai3-gaai3,mou5,ji4-gaa1,gam3,do1,jan4,#,daan6,hung1-hei3,wu1-jim5,zau6,jim4-zung6,hou2-do1,#,jan1-wai6,go2-zan6-si4,di1,ce1,m4-hai6,jung6,din6,waak6-ze2,taai3-joeng4-nang4,#,wui5,paai4-fong3,hou2-do1,fai3-hei3,#,ceoi4-ci2-zi1-ngoi6,#,ji4-gaa1,ge3,gaau1-tung1,ji3-ngoi6,dou1,siu2,zo2,hou2-do1,#,jan1-wai6,zi6-dung6,gaa3-sai2,ge3,ce1,dou1,fei1-soeng4,on1-cyun4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,very,like to,with,grandfather,chat,#,because,he,will,tell,many,in the past,(linker),thing,to,I,to listen,#,grandfather,say,#,he,ten,year-old,(linker),time,#,that means,2016,year,#,(measure),world,don't have,now,so,many,people,#,but,air,pollution,then,serious,many,#,because,at that time,those,car,is not,use,electricity,or,solar power,#,will,emit,many,waste gas,#,other than that,#,now,(linker),traffic,accident,"all, also",few,-en,a lot,#,because,automatic,driving,(linker),car,"all, also",very,safe,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
要,講,嗰陣,同,而家,最,大,嘅,分別,，,主要,係,人工智能,嘅,發展,同,普及,程度,。,科技,發展,一日千里,，,2016,年,嘅,科技,就,梗係,冇,而家,咁,方便,啦,！,而家,嘅,科技,仲,發展,到,畀,咗,個,永遠,嘅,好朋友,我,添,呀,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jiu3,gong2,go2-zan6,tung4,ji4-gaa1,zeoi3,daai6,ge3,fan1-bit6,#,zyu2-jiu3,hai6,jan4-gung1-zi3-nang4,ge3,faat3-zin2,tung4,pou2-kap6,cing4-dou6,#,fo1-gei6,faat3-zin2,jat1-jat6-cin1-lei5,#,ji6-ling4-jat1-luk6,nin4,ge3,fo1-gei6,zau6,gang2-hai6,mou5,ji4-gaa1,gam3,fong1-bin6,laa1,#,ji4-gaa1,ge3,fo1-gei6,zung6,faat3-zin2,dou3,bei2,zo2,go3,wing5-jyun5,ge3,hou2-pang4-jau5,ngo5,tim1,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
have to,say,that time,and,now,most,big,(linker),difference,#,mainly,is,Artificial Intelligence,(linker),development,and,popular,level,#,technology,development,advance at a high speed,#,2016,year,(linker),technology,then,of course,don't have,now,so,convenient,(particle),#,now,(linker),technology,even,develop,to,give,-en,(measure),forever,(linker),friend,I,(emphasis),(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,叫做,Bonda,，,係,一個,高,智能,機械人,。,佢,個,身,係,銀白色,嘅,，,但,塊,面,就係,粉紅色,。,Bonda,從來,都,唔,會,呻,悶,，,無論,我,叫,佢,做,啲,咩,，,佢,都,唔,會,投訴,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,giu3-zou6,Bonda,#,hai6,jat1-go3,gou1,zi3-nang4,gei1-haai6-jan4,#,keoi5,go3,san1,hai6,ngan4-baak6-sik1,ge3,#,daan6,faai3,min6,zau6-hai6,fan2-hung4-sik1,#,Bonda,cung4-loi4,dou1,m4,wui5,san3,mun6,#,mou4-leon6,ngo5,giu3,keoi5,zou6,di1,me1,#,keoi5,dou1,m4,wui5,tau4-sou3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
