[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
失控,嘅,雀仔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sat1-hung3,ge3,zoek3-zai2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
out of control,(linker),little bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,Raji,唔使,返學,，,所以,去,咗,公園,野餐,。,佢,好,鍾意,坐,喺,草地,，,一邊,食嘢,一邊,望住,天空,。,佢,覺得,噉樣,好,寫意,好,舒服,。,不過,，,今日,同,平時,嘅,野餐,有啲,唔同,。,因為,佢,食食下,嘅,時候,，,嚟,咗,一,位,不速之客,！,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,Raji,m4-sai2,faan1-hok6,#,so2-ji5,heoi3,zo2,gung1-jyun2,je5-caan1,#,keoi5,hou2,zung1-ji3,co5,hai2,cou2-dei2,#,jat1-bin1,sik6-je5,jat1-bin1,mong6-zyu6,tin1-hung1,#,keoi5,gok3-dak1,gam2-joeng2,hou2,se2-ji3,hou2,syu1-fuk6,#,bat1-gwo3,#,gam1-jat6,tung4,ping4-si4,ge3,je5-caan1,jau5-di1,m4-tung4,#,jan1-wai6,keoi5,sik6-sik6-haa5,ge3,si4-hau6,#,lai4,zo2,jat1,wai2,bat1-cuk1-zi1-haak3,#,,,,,,,,,,,,,,,,,,,,,,,,,,
today,Raji,no need,go to school,#,therefore,go,-en,park,picnic,#,he,very,like,to sit,at,grass,#,on one hand,eat thing,on one hand,staring,sky,#,she,feel,this way,very,carefree,very,comfortable,#,however,#,today,with,usually,(linker),picnic,a bit,different,#,because,she,while eating,(linker),time,#,come,-en,one,(measure),uninvited guest,#,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一,隻,全身,黑麻麻,嘅,雀仔,飛,到,Raji,面前,。,雀仔,同,Raji,你眼望我眼,，,Raji,見,隻,雀仔,流,晒,口水,噉,，,似乎,好,肚餓,。,不過,，,Raji,知道,唔,可以,亂,餵,野生,動物,，,所以,都,冇,諗住,分享,自己,啲,食物,畀,雀仔,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jat1,zek3,cyun4-san1,haak1-maa1-maa1,ge3,zoek3-zai2,fei1,dou3,Raji,min6-cin4,#,zoek3-zai2,tung4,Raji,nei5-ngaan5-mong6-ngo5-ngaan5,#,Raji,gin3,zek3,zoek3-zai2,lau4,saai3,hau2-seoi2,gam2,#,ci5-fu4,hou2,tou5-ngo6,#,bat1-gwo3,#,Raji,zi1-dou3,m4,ho2-ji5,lyun2,wai3,je5-sang1,dung6-mat6,#,so2-ji5,dou1,mou5,nam2-zyu6,fan1-hoeng2,zi6-gei2,di1,sik6-mat6,bei2,zoek3-zai2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
one,(measure),whole body,jet black,(linker),little bird,fly,to,Raji,in front of,#,little bird,and,Raji,staring at each other,#,Raji,see,(measure),little bird,drool,all,saliva,this way,#,seem,very,hungry,#,however,#,Raji,know,not,can,randomly,feed,wild,animal,#,therefore,"all, also",don't have,thinking about,to share,oneself,’s,food,to,little bird,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raji,決定,唔理,隻,雀仔,，,自己,繼續,食嘢,。,當,佢,將,餅乾,放,入,口,嗰陣,，,雀仔,突然,衝,向,Raji,，,一口,咬,走,佢,手上,塊,餅乾,！,Raji,眼光光,噉,望住,自己,隻,手,，,先,知道,塊,餅乾,唔見,咗,。,佢,一,轉,頭,，,見到,隻,雀仔,已經,咬住,佢,塊,餅,飛,到,好,遠,好,遠,……,,,,,,,,,,,,
Raji,kyut3-ding6,m4-lei5,zek3,zoek3-zai2,#,zi6-gei2,gai3-zuk6,sik6-je5,#,dong1,keoi5,zoeng1,beng2-gon1,fong3,jap6,hau2,go2-zan2,#,zoek3-zai2,dat6-jin4,cung1,hoeng3,Raji,#,jat1-hau2,ngaau5,zau2,keoi5,sau2-soeng6,faai3,beng2-gon1,#,Raji,ngaan5-gwong1-gwong1,gam2,mong6-zyu6,zi6-gei2,zek3,sau2,#,sin1,zi1-dou3,faai3,beng2-gon1,m4-gin3,zo2,#,keoi5,jat1,zyun3,tau4,#,gin3-dou2,zek3,zoek3-zai2,ji5-ging1,ngaau5-zyu6,keoi5,faai3,beng2,fei1,dou3,hou2,jyun5,hou2,jyun5,#,,,,,,,,,,,,
