[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
食,月亮,嘅,巨龍,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sik6,jyut6-loeng6,ge3,geoi6-lung4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eat,moon,(linker),giant dragon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,一個,風和日麗,嘅,假日,，,津津,、,樂仔,、,小文,喺,公園,玩,。,津津,喺,一個,巨型,芒果,上面,爬嚟爬去,，,樂仔,就,坐,埋,一邊,睇書,，,而,小文,就,帶,埋,隻,狗,嚟,玩,彈珠,，,佢哋,都,玩,得,好,開心,。,只要,有得,玩,，,無論,平時,返學,有,幾多,功課,、,幾多,煩惱,，,心情,都會,即刻,變,好,。,更,興奮,嘅,係,，,今日,就係,中秋節,！,佢哋,好,鍾意,中秋節,，,因為,有得,食,月餅,、,玩,燈籠,，,仲,可以,睇到,又,大,又,圓,嘅,月亮,！,所以,佢哋,都,好,期待,夜晚,賞月,。,,,,,,,,,,,,,,
hai2,jat1-go3,fung1-wo4-jat6-lai6,ge3,gaa3-jat6,#,zeon1-zeon1,#,lok6-zai2,#,siu2-man4,hai2,gung1-jyun2,waan2,#,zeon1-zeon1,hai2,jat1-go3,geoi6-jing4,mong1-gwo2,soeng6-min6,paa4-lai4-paa4-heoi3,#,lok6-zai2,zau6,co5,maai4,jat1-bin1,tai2-syu1,#,ji4,siu2-man4,zau6,daai3,maai4,zek3,gau2,lai4,waan2,daan6-zyu1,#,keoi5-dei6,dou1,waan2,dak1,hou2,hoi1-sam1,#,zi2-jiu3,jau5-dak1,waan2,#,mou4-leon6,ping4-si4,faan1-hok6,jau5,gei2-do1,gung1-fo3,#,gei2-do1,faan4-nou5,#,sam1-cing4,dou1-wui5,zik1-hak1,bin3,hou2,#,gang3,hing1-fan5,ge3,hai6,#,gam1-jat6,zau6-hai6,zung1-cau1-zit3,#,keoi5-dei6,hou2,zung1-ji3,zung1-cau1-zit3,#,jan1-wai6,jau5-dak1,sik6,jyut6-beng2,#,waan2,dang1-lung4,#,zung6,ho2-ji5,tai2-dou2,jau6,daai6,jau6,jyun4,ge3,jyut6-loeng6,#,so2-ji5,keoi5-dei6,dou1,hou2,kei4-doi6,je6-maan5,soeng2-jyut2,#,,,,,,,,,,,,,,
at,one (measure),good weather,(linker),holiday,#,Meena,#,Somu,#,Raju,at,park,play,#,Meena,at,one (measure),giant,mango,above,crawling around,#,Somu,then,sit,also,on one side,read book,#,and,Raju,then,bring,also,(measure),dog,to come,to play,marble,#,they,"all, also",play,(suffix),very,happy,#,so long as,get to,play,#,no matter,typical day,go to school,have,how much,homework,#,how many,worries,#,feelings,always will,immediately,change,good,#,even more,excited,(linker),is,#,today,is,Mid-Autumn Festival,#,they,very,like,Mid-Autumn Festival,#,because,get to,eat,mooncake,#,play,lantern,#,even,can,see,also,big,also,round,(linker),moon,#,therefore,they,also,very,look forward to,night,watch moon,#,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但,佢哋,唔,知道,嘅,係,，,喺,遙遠,嘅,太空,，,有,條,巨龍,正,打算,食,咗,個,月亮,。,呢,條,龍,本身,好,細隻,，,但,佢,呢,幾年,係噉,吞食,唔同,星球,，,令,佢,迅速,長大,。,而家,佢,已經,變成,一,條,巨龍,，,但,佢,想,再,變,大,啲,，,所以,佢,仲係,不停,噉,吞,食,其他,星球,。,而,佢,下,個,目標,，,就係,月亮,！,如果,月亮,俾,佢,食,咗,，,噉,津津,佢哋,以後,就,睇,唔到,月亮,，,有,中秋節,都,賞,唔到,月,……,,,,,,,,,,,,,,,,,,,,,
daan6,keoi5-dei6,m4,zi1-dou3,ge3,hai6,#,hai2,jiu4-jyun5,ge3,taai3-hung1,#,jau5,tiu4,geoi6-lung4,zing3,daa2-syun3,sik6,zo2,go3,jyut6-loeng6,#,ni1,tiu4,lung4,bun2-san1,hou2,sai3-zek3,#,daan6,keoi5,ni1,gei2-nin4,hai6-gam2,tan1-sik6,m4-tung4,sing1-kau4,#,ling6,keoi5,seon3-cuk1,zoeng2-daai6,#,ji4-gaa1,keoi5,ji5-ging1,bin3-sing4,jat1,tiu4,geoi6-lung4,#,daan6,keoi5,soeng2,zoi3,bin3,daai6,di1,#,so2-ji5,keoi5,zung6-hai6,bat1-ting4,gam2,tan1,sik6,kei4-taa1,sing1-kau4,#,ji4,keoi5,haa6,go3,muk6-biu1,#,zau6-hai6,jyut6-loeng6,#,jyu4-gwo2,jyut6-loeng6,bei2,keoi5,sik6,zo2,#,gam2,zeon1-zeon1,keoi5-dei6,ji5-hau6,zau6,tai2,m4-dou2,jyut6-loeng6,#,jau5,zung1-cau1-zit3,dou1,soeng2,m4-dou2,jyut2,#,,,,,,,,,,,,,,,,,,,,,
but,they,not,know,(linker),is,#,at,distant,(linker),outer space,#,have,(measure),giant dragon,just,plan to,eat,-en,(measure),moon,#,this,(measure),dragon,itself,very,small (measure),#,but,it,this,few years,keep doing,swallow,different,planet,#,make,it,swiftly,grow up,#,now,it,already,become,one,(measure),giant dragon,#,but,it,want to,again,change,big,-er,#,therefore,it,still,without stop,-ly,swallow,to eat,other,planet,#,and,it,next,(measure),target,#,which is,moon,#,if,moon,by,it,eat,-en,#,then,Meena,they,afterwards,then,see,cannot,moon,#,have,Mid-Autumn Festival,"all, also",watch,cannot,moon,#,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
好彩,地球,有,一,班,好,勇敢,嘅,戰士,。,佢哋,知道,巨龍,打算,食,咗,月亮,，,所以,專登,飛,上,太空,阻止,佢,！,佢哋,知道,巨龍,好,危險,，,一,去,未必,有,回頭,，,但係,為咗,保護,月亮,，,令,世人,可以,繼續,喺,黑夜,中,睇,月光,同,保住,地球,嘅,正常,運轉,，,佢哋,決心,要,打倒,巨龍,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hou2-coi2,dei6-kau4,jau5,jat1,baan1,hou2,jung5-gam2,ge3,zin3-si6,#,keoi5-dei6,zi1-dou3,geoi6-lung4,daa2-syun3,sik6,zo2,jyut6-loeng6,#,so2-ji5,zyun1-dang1,fei1,soeng5,taai3-hung1,zo2-zi2,keoi5,#,keoi5-dei6,zi1-dou3,geoi6-lung4,hou2,ngai4-him2,#,jat1,heoi3,mei6-bit1,jau5,wui4-tau4,#,daan6-hai6,wai6-zo2,bou2-wu6,jyut6-loeng6,#,ling6,sai3-jan4,ho2-ji5,gai3-zuk6,hai2,hak1-je6,zung1,tai2,jyut6-gwong1,tung4,bou2-zyu6,dei6-kau4,ge3,zing3-soeng4,wan6-zyun3,#,keoi5-dei6,kyut3-sam1,jiu3,daa2-dou2,geoi6-lung4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
