[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
錢,係咩,嚟,㗎,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cin2,hai6-me1,lai4,gaa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
money,is what,(particle),(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,就係,金仔,生日,喇,！,今年,生日,，,爸爸,媽媽,送,咗,一,隻,豬仔,畀,佢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,zau6-hai6,gam1-zai2,saang1-jat6,laa3,#,gam1-nin4,saang1-jat6,#,baa4-baa1,maa4-maa1,sung3,zo2,jat1,zek3,zyu1-zai2,bei2,keoi5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today,then is,Gimmy,birthday,(particle),#,this year,birthday,#,father,mother,send,-en,one,(measure),piggy,to,he,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢,隻,豬,係咩,嚟,嘅,呢,？,爸爸,媽媽,話,，,呢,隻,唔係,普通,嘅,豬,，,而,係,一,隻,可以,幫,人,儲錢,嘅,豬仔,！,咁,神奇,？,原來,，,呢個,係,一個,豬仔錢罌,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei1,zek3,zyu1,hai6-me1,lei4,ge3,ne1,#,baa4-baa1,maa4-maa1,waa6,#,nei1,zek3,m4-hai6,pou2-tung1,ge3,zyu1,#,ji4,hai6,jat1,zek3,ho2-ji5,bong1,jan4,cou5-cin2,ge3,zyu1-zai2,#,gam3,san4-kei4,#,jyun4-loi4,#,nei1-go3,hai6,jat1-go3,zyu1-zai2-cin4-aang1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,(measure),pig,is what,(particle),(particle),(particle),#,father,mother,say,#,this,(measure),is not,ordinary,(linker),pig,#,and,is,one,(measure),can,help,people,save money,(linker),piggy,#,so,miraculous,#,it turns out,#,this (measure),is,one (measure),piggy bank,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
作為,錢家,嘅,小朋友,，,爸爸,媽媽,一直,都,希望,金仔,可以,早,啲,養成,理財,習慣,。,今年,送,呢個,豬仔錢罌,畀,金仔,，,就係,想,佢,好好,學,儲錢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zok3-wai4,cin4-gaa1,ge3,siu2-pang4-jau5,#,baa4-baa1,maa4-maa1,jat1-zik6,dou1,hei1-mong6,gam1-zai2,ho2-ji5,zou2,di1,joeng5-sing4,lei5-coi4,zaap6-gwaan3,#,gam1-nin4,sung3,nei1-go3,zyu1-zai2-cin4-aang1,bei2,gam1-zai2,#,zau6-hai6,soeng2,keoi5,hou2-hou2,hok6,cou5-cin2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to be,the Cin's family,’s,child,#,father,mother,keep on,"all, also",hope,Gimmy,can,early,-er,to form,personal finance,habit,#,this year,send,this one,piggy bank,to,Gimmy,#,then is,want,he,well,learn,to save money,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但,對,金仔,嚟講,，,錢,仲係,一樣,好,陌生,嘅,嘢,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daan6,deoi3,gam1-zai2,lai4-gong2,#,cin2,zung6-hai6,jat1-joeng6,hou2,mak6-sang1,ge3,je5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
