[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉嘉,嘅,紫色,朋友,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-gaa1,ge3,zi2-sik1,pang4-jau5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karly,’s,purple,friend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
由,細,到,大,，,嘉嘉,都,好,鍾意,呢個,世界,。,雖然,對,佢,嚟講,，,所謂,嘅,世界,就,只有,佢,生活,緊,嘅,呢,一,條,村,；,而,所謂,嘅,由,細,到,大,，,講緊,嘅,都,只係,短短,七,年,啫,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jau4,sai3,dou3,daai6,#,gaa1-gaa1,dou1,hou2,zung1-ji3,nei1-go3,sai3-gaai3,#,seoi1-jin4,deoi3,keoi5,lei4-gong2,#,so2-wai6,ge3,sai3-gaai3,zau6,zi2-jau5,keoi5,sang1-wut6,gan2,ge3,nei1,jat1,tiu4,cyun1,#,ji4,so2-wai6,ge3,jau4,sai3,dou3,daai6,#,gong2-gan2,ge3,dou1,zi2-hai6,dyun2-dyun2,cat1,nin4,ze1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
from,small,to,big,#,Karly,also,very,like,this,world,#,although,to,she,to say,#,so-called,(linker),world,then,only have,she,live,-ing,(linker),this,one,(measure),village,#,and,so-called,(linker),from,small,to,big,#,talking about,(linker),"all, also",just only,short,seven,year,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嘉嘉,好,熟悉,呢,條,村,入面,嘅,所有,嘢,，,例如,野豬,、,水牛,、,貓仔,同,狗,，,亦都,熟悉,幾乎,日日,都,撞口撞面,嘅,村民,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gaa1-gaa1,hou2,suk6-sik1,nei1,tiu4,cyun1,jap6-min6,ge3,so2-jau5,je5,#,lai6-jyu4,je5-zyu1,#,seoi2-ngau4,#,maau1-zai2,tung4,gau2,#,jik6-dou1,suk6-sik1,gei1-fu4,jat6-jat6,dou1,zong6-hau2-zong6-min6,ge3,cyun1-man4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Karly,very,be familiar with,this,(measure),village,inside,(linker),all,thing,#,for example,wild hog,#,water buffalo,#,kitty,and,dog,#,also,be familiar with,almost,every day,"all, also",encounter in person,(linker),villager,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所有,村民,都,對,嘉嘉,好好,，,村,入面,嘅,動物,，,無論,大大,細細,，,識,飛,定,唔識,飛,，,都,當,嘉嘉,係,最好,嘅,朋友,，,而,嘉嘉,亦都,一樣,對,大家,咁,好,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so2-jau5,cyun1-man4,dou1,deoi3,gaa1-gaa1,hou2-hou2,#,cyun1,jap6-min6,ge3,dung6-mat6,#,mou4-leon6,daai6-daai6,sai3-sai3,#,sik1,fei1,ding6,m4-sik1,fei1,#,dou1,dong3,gaa1-gaa1,hai6,zeoi3-hou2,ge3,pang4-jau5,#,ji4,gaa1-gaa1,jik6-dou1,jat1-joeng6,deoi3,daai6-gaa1,gam3,hou2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
all,villager,"all, also",treat,Karly,very well,#,village,inside,(linker),animal,#,whatever,big,small,#,know,to fly,or,don't know,to fly,#,"all, also",treat,Karly,is,best,(linker),friend,#,and,Karly,also,the same,treat,everyone,so,well,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
一,得閒,，,嘉嘉,就,會,走,入,森林,同,唔同,嘅,小動物,玩,。,森林,入面,有,好多,唔同,嘅,顏色,，,例如,紅葉,嘅,紅色,，,枯,枝,嘅,黃色,，,草地,嘅,綠色,，,池塘,嘅,藍色,，,但,佢,從來,未,見,過,紫色,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jat1,dak1-haan4,#,gaa1-gaa1,zau6,wui5,zau2,jap6,sam1-lam4,tung4,m4-tung4,ge3,siu2-dung6-mat6,waan2,#,sam1-lam4,jap6-min6,jau5,hou2-do1,m4-tung4,ge3,ngaan4-sik1,#,lai6-jyu4,hung4-jip6,ge3,hung4-sik1,#,fu1,zi1,ge3,wong4-sik1,#,cou2-dei6,ge3,luk6-sik1,#,ci4-tong4,ge3,laam4-sik1,#,daan6,keoi5,cung4-loi4,mei6,gin3,gwo3,zi2-sik1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
once,free,#,Karly,then,will,go,into,forest,with,different,(linker),little animals,to play,#,forest,inside,have,many,different,(linker),colour,#,for example,autumnal leaves,(linker),red,#,withered,branch,(linker),yellow,#,grassfield,(linker),green,#,pond,(linker),blue,#,but,she,ever,not yet,see,-ed,purple,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唔知,點解,，,今日,同,平時,有啲,唔同,，,嘉嘉,喺,森林,入面,見到,一,棵,好,大,嘅,紫色,樹,。,正當,嘉嘉,一邊,行,近,，,一邊,喺度,諗,緊,自己,係唔係,發現,新,品種,植物,嘅,時候,，,嗰,棵,樹,竟然,識,郁,，,仲,好,大,動作,添,！,,,,,,,,,,,,,,,,,,,,,,,,,
m4-zi1,dim2-gaai2,#,gam1-jat6,tung4,ping4-si4,jau5-di1,m4-tung4,#,gaa1-gaa1,hai2,sam1-lam4,jap6-min6,gin3-dou2,jat1,po1,hou2,daai6,ge3,zi2-sik1,syu6,#,zing3-dong1,gaa1-gaa1,jat1-bin1,haang4,kan5,#,jat1-bin1,hai2-dou6,nam2,gan2,zi6-gei2,hai6-m4-hai6,faat3-jin6,san1,ban2-zung2,zik6-mat6,ge3,si4-hau6,#,go2,po1,syu6,ging2-jin4,sik1,juk1,#,zung6,hou2,daai6,dung6-zok3,tim1,#,,,,,,,,,,,,,,,,,,,,,,,,,
don't know,why,#,today,with,normal days,a bit,different,#,Karly,at,forest,inside,saw,one,(measure),very,big,(linker),purple,tree,#,just as,Karly,while,walk,close,#,while,right here,think,-ing,oneself,is or isn't,discover,new,breed,plant,(linker),time,#,that,(measure),tree,unexpectedly,know,to move,#,even,very,big,movement,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,
