[0],,,,,,,,,,,,,,,,,,,,,,,,,,,
掛住,婆婆,,,,,,,,,,,,,,,,,,,,,,,,,,
gwaa3-zyu6,po4-po2,,,,,,,,,,,,,,,,,,,,,,,,,,
to miss,grandmother (mother's mother),,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,係,中秋,，,夜晚,個,月亮,會,好,大,。,,,,,,,,,,,,,,,,,
gam1-jat6,hai6,zung1-cau1,#,je6-maan5,go3,jyut6-loeng6,wui5,hou2,daai6,#,,,,,,,,,,,,,,,,,
today,is,Mid-Autumn,#,night,(measure),moon,will,very,big,#,,,,,,,,,,,,,,,,,
[Line 4],,,,,,,,,,,,,,,,,,,,,,,,,,,
我,好,想,同,我,婆婆,一齊,玩,。,,,,,,,,,,,,,,,,,,,
ngo5,hou2,soeng2,tung4,ngo5,po4-po2,jat1-cai4,waan2,#,,,,,,,,,,,,,,,,,,,
I,very,to want,and,I,grandmother,together,to play,#,,,,,,,,,,,,,,,,,,,
[Line 5],,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,一個人,同,佢,隻,貓,喺,香港,，,我,同,爸爸,媽媽,喺,愛爾蘭,。,,,,,,,,,,,,
po4-po2,jat1-go3-jan4,tung4,keoi5,zek3,maau1,hai2,hoeng1-gong2,#,ngo5,tung4,baa4-baa1,maa4-maa1,hai2,oi3-ji5-laan4,#,,,,,,,,,,,,
grandmother,alone,and,her,(measure),cat,at,Hong Kong,#,I,and,father,mother,at,Ireland,#,,,,,,,,,,,,
[Line 6],,,,,,,,,,,,,,,,,,,,,,,,,,,
呢,兩,年,我哋,唔,坐,得,飛機,，,行路,又,去,唔到,香港,。,我哋,已經,冇,見,好多,日,喇,。,,,,,
nei1,loeng5,nin4,ngo5-dei6,m4,co5,dak1,fei1-gei1,#,haang4-lou6,jau6,heoi3,m4-dou2,hoeng1-gong2,#,ngo5-dei6,ji5-ging1,mou5,gin3,hou2-do1,jat6,laa3,#,,,,,
this,two,year,we,not,to sit,can,airplane,#,walking,also,to go,cannot,Hong Kong,#,we,already,don't have,to meet,many,day,already,#,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,短,頭髮,，,眼,好,大,，,鼻,好,細,，,嘴,好,靚,，,個,肚,好,大,。,,,,,,,
po4-po2,dyun2,tau4-faat3,#,ngaan5,hou2,daai6,#,bei6,hou2,sai3,#,zeoi2,hou2,leng3,#,go3,tou5,hou2,daai6,#,,,,,,,
grandmother,short,hair,#,eye,very,big,#,nose,very,small,#,mouth,very,beautiful,#,(measure),tummy,very,big,#,,,,,,,
[Line 10],,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,鍾意,食飯,同埋,菜,肉,包,，,又,鍾意,飲,湯,。,我,以前,日日,喺,婆婆,屋企,食,好,嘢,。,,,,,
keoi5,zung1-ji3,sik6-faan6,tung4-maai4,coi3,juk6,baau1,#,jau6,zung1-ji3,jam2,tong1,#,ngo5,ji5-cin4,jat6-jat6,hai2,po4-po2,uk1-kei2,sik6,hou2,je5,#,,,,,
she,to like,to eat rice,and,vegetables,meat,bun,#,also,to like,to drink,soup,#,I,in the past,every day,at,grandmother,home,to eat,good,thing,#,,,,,
[Line 11],,,,,,,,,,,,,,,,,,,,,,,,,,,
我,去,廁所,，,婆婆,都,跟住,。,,,,,,,,,,,,,,,,,,,,
ngo5,heoi3,ci3-so2,#,po4-po2,dou1,gan1-zyu6,#,,,,,,,,,,,,,,,,,,,,
I,to go,toilet,#,grandmother,also,to follow,#,,,,,,,,,,,,,,,,,,,,
[Line 12],,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,好少,嬲,，,成日,笑,。,,,,,,,,,,,,,,,,,,,,,
po4-po2,hou2-siu2,nau1,#,sing4-jat6,siu3,#,,,,,,,,,,,,,,,,,,,,,
grandmother,few,angry,#,always,to laugh,#,,,,,,,,,,,,,,,,,,,,,
[Line 13],,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,成日,聽,我,講嘢,，,唔明,又,話,明,，,明,又,話,唔明,。,,,,,,,,,,,,
keoi5,sing4-jat6,teng1,ngo5,gong2-je5,#,m4-ming4,jau6,waa6,ming4,#,ming4,jau6,waa6,m4-ming4,#,,,,,,,,,,,,
she,always,to hear,I,speaking,#,not understand,also,to say,to understand,#,to understand,also,to say,not understand,#,,,,,,,,,,,,
[Line 14],,,,,,,,,,,,,,,,,,,,,,,,,,,
我,跌親,，,我,喊,，,佢,知道,我,覺得,痛,，,會,話,：,「,唔,驚,，,飲,水,啦,！,」,,,,
ngo5,dit3-can1,#,ngo5,haam3,#,keoi5,zi1-dou3,ngo5,gok3-dak1,tung3,#,wui5,waa6,#,#,m4,geng1,#,jam2,seoi2,laa1,#,#,,,,
I,fall down,#,I,to cry,#,she,to know,I,to feel,painful,#,will,to say,#,#,not,afraid,#,to drink,water,(particle),#,#,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,
我,真係,好,想,飛,去,婆婆,嗰度,。,,,,,,,,,,,,,,,,,,,
ngo5,zan1-hai6,hou2,soeng2,fei1,heoi3,po4-po2,go2-dou6,#,,,,,,,,,,,,,,,,,,,
I,really,very,to want,to fly,to go,grandmother,there,#,,,,,,,,,,,,,,,,,,,
[Line 18],,,,,,,,,,,,,,,,,,,,,,,,,,,
我,好,想,同,婆婆,唱歌,，,我,好,想,同,婆婆,去,踢波,。,,,,,,,,,,,,,
ngo5,hou2,soeng2,tung4,po4-po2,coeng3-go1,#,ngo5,hou2,soeng2,tung4,po4-po2,heoi3,tek3-bo1,#,,,,,,,,,,,,,
I,very,to want,and,grandmother,to sing song,#,I,very,to want,and,grandmother,to go,to play football,#,,,,,,,,,,,,,
[Line 19],,,,,,,,,,,,,,,,,,,,,,,,,,,
婆婆,同,我,睇書,，,跟住,又,去街,。,,,,,,,,,,,,,,,,,,,
po4-po2,tung4,ngo5,tai2-syu1,#,gan1-zyu6,jau6,heoi3-gaai1,#,,,,,,,,,,,,,,,,,,,
grandmother,and,I,to read book,#,and then,again,go out,#,,,,,,,,,,,,,,,,,,,
[Line 20],,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋,坐車,去,沙灘,，,行路,去,海邊,。,,,,,,,,,,,,,,,,,,,
ngo5-dei6,co5-ce1,heoi3,saa1-taan1,#,haang4-lou6,heoi3,hoi2-bin1,#,,,,,,,,,,,,,,,,,,,
we,to ride a car,to go,beach,#,walking,to go,seaside,#,,,,,,,,,,,,,,,,,,,
[Line 21],,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋,一齊,坐,巴士,，,一齊,搭,地鐵,，,又,坐,船,過海,去,公園,。,,,,,,,,,,,,
ngo5-dei6,jat1-cai4,co5,baa1-si2,#,jat1-cai4,daap3,dei6-tit3,#,jau6,co5,syun4,gwo3-hoi2,heoi3,gung1-jyun2,#,,,,,,,,,,,,
we,together,to sit,bus,#,together,to take,MTR,#,also,to sit,ship,to corss the harbour,to go,park,#,,,,,,,,,,,,
[Line 22],,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋,一齊,睇,花,，,一齊,睇,樹,。,我哋,一齊,大叫,大笑,，,又,跑,跑,跳,跳,，,郁,嚟,郁,去,真係,好,開心,。
