[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
搭,巴士,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daap3,baa1-si2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to take,bus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,係,我,第一,日,返學,，,朝早,起身,換,好,衫,，,食,個,包,就,去,搭車,。,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,hai6,ngo5,dai6-jat1,jat6,faan1-hok6,#,ziu1-zou2,hei2-san1,wun6,hou2,saam1,#,sik6,go3,baau1,zau6,heoi3,daap3-ce1,#,,,,,,,,,,,,,,,,,,,,,
today,is,I,first,day,to go to school,#,morning,to get up,to change,well,clothes,#,to eat,(measure),bread,then,to go,to take vehicle,#,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,同,我,一齊,去,搭,巴士,。,等,咗,十,分鐘,都,冇,車,，,太陽,又,大,又,曬,，,我,覺得,好,熱,。,,,,,,,,,,,,,,
maa4-maa1,tung4,ngo5,jat1-cai4,heoi3,daap3,baa1-si2,#,dang2,zo2,sap6,fan1-zung1,dou1,mou5,ce1,#,taai3-joeng4,jau6,daai6,jau6,saai3,#,ngo5,gok3-dak1,hou2,jit6,#,,,,,,,,,,,,,,
mother,with,I,together,to go,to take,bus,#,to wait,-en,ten,minute,"all, also",don't have,car,#,sun,also,big,also,too sunny,#,I,to feel,very,hot,#,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,話,：,「,媽媽,，,我,好,熱,，,好,想,坐,下,。,」,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,waa6,#,#,maa4-maa1,#,ngo5,hou2,jit6,#,hou2,soeng2,co5,haa5,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
I,to say,#,#,mother,#,I,very,hot,#,very,to want,to sit,a bit,#,#,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,同,我,講,：,「,等,多,五,分鐘,都,冇,巴士,嚟,，,我哋,就,去,搭,地鐵,啦,！,」,,,,,,,,,,,,,,,,,,
maa4-maa1,tung4,ngo5,gong2,#,#,dang2,do1,ng5,fan1-zung1,dou1,mou5,baa1-si2,lei4,#,ngo5-dei6,zau6,heoi3,daap3,dei6-tit3,laa1,#,#,,,,,,,,,,,,,,,,,,
mother,to,I,to say,#,#,to wait,more,five,minute,also,don't have,bus,to come,#,we,then,to go,to take,MTR,(particle),#,#,,,,,,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,唔見,有,巴士,，,書包,又,重,，,有啲,唔,開心,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,
