[0],,,,,,,,,,,,,,,,,,,,,,,
咩,聲,嚟,㗎,？,,,,,,,,,,,,,,,,,,,
me1,seng1,lai4,gaa3,#,,,,,,,,,,,,,,,,,,,
what,sound,(particle),(particle),#,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,
有一日,，,貓仔,、,鹿仔,、,同埋,松鼠仔,喺,公園,行,。,,,,,,,,,,,,
jau5-jat1-jat6,#,maau1-zai2,#,luk2-zai2,#,tung4-maai4,cung4-syu2-zai2,hai2,gung1-jyun2,haang4,#,,,,,,,,,,,,
one-day,#,kitty,#,little deer,#,and,little squirrel,at,park,walk,#,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,
行行下,，,佢哋,聽到,啲,聲,：,「,啦,啦,啦,啦,啦,⋯⋯,」,,,,,,,,,
haang4-haang4-haa5,#,keoi5-dei6,teng1-dou2,di1,seng1,#,#,laa1,laa1,laa1,laa1,laa1,#,#,,,,,,,,,
while walking,#,they,heard,some,sound,#,#,la,la,la,la,la,#,#,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,
鹿仔,問,：,「,呢啲,聲,係,喺,邊度,嚟,㗎,？,」,,,,,,,,,,,
luk2-zai2,man6,#,#,ni1-di1,seng1,hai6,hai2,bin1-dou6,lai4,gaa3,#,#,,,,,,,,,,,
little deer,to ask,#,#,these,sound,is,at,where,come from,(particle),#,#,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,
松鼠仔,話,：,「,係唔係,周圍,都,有,㗎,？,」,,,,,,,,,,,,,
cung4-syu2-zai2,waa6,#,#,hai6-m4-hai6,zau1-wai4,dou1,jau5,gaa3,#,#,,,,,,,,,,,,,
little squirrel,say,#,#,is it,everywhere,"all, also",have,(particle),#,#,,,,,,,,,,,,,
[1e],,,,,,,,,,,,,,,,,,,,,,,
貓仔,答,：,「,唔係,啊,，,係,喺,嗰度,嚟,㗎,！,」,,,,,,,,,,
maau1-zai2,daap3,#,#,m4-hai6,aa3,#,hai6,hai2,go2-dou6,lai4,gaa3,#,#,,,,,,,,,,
kitty,reply,#,#,is not,(particle),#,is,at,there,come from,(particle),#,#,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,
佢哋,三,個,跟住,啲,聲,行,。,行行下,，,佢哋,又,聽到,啲,聲,：,「,啦,啦,啦,啦,啦,⋯⋯,」
keoi5-dei6,saam1,go3,gan1-zyu6,di1,seng1,haang4,#,haang4-haang4-haa5,#,keoi5-dei6,jau6,teng1-dou2,di1,seng1,#,#,laa1,laa1,laa1,laa1,laa1,#,#
they,three,(measure),follow,those,sound,to walk,#,while walking,#,they,again,heard,some,sound,#,#,la,la,la,la,la,#,#
[3a],,,,,,,,,,,,,,,,,,,,,,,
鹿仔,問,：,「,又,有,喇,！,係唔係,喺,天空,嚟,㗎,？,」,,,,,,,,,
luk2-zai2,man6,#,#,jau6,jau5,laa3,#,hai6-m4-hai6,hai2,tin1-hung1,lai4,gaa3,#,#,,,,,,,,,
little deer,ask,#,#,again,have,(particle),#,is it,at,sky,come from,(particle),#,#,,,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,,,,
松鼠仔,話,：,「,係唔係,喺,啲,樹,嗰度,嚟,㗎,？,」,,,,,,,,,,,
cung4-syu2-zai2,waa6,#,#,hai6-m4-hai6,hai2,di1,syu6,go2-dou6,lai4,gaa3,#,#,,,,,,,,,,,
little squirrel,say,#,#,is it,at,some,tree,there,come from,(particle),#,#,,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,,,,
貓仔,答,：,「,唔係,啊,，,係,喺,草叢,嗰度,嚟,㗎,！,」,,,,,,,,,
maau1-zai2,daap3,#,#,m4-hai6,aa3,#,hai6,hai2,cou2-cung4,go2-dou6,lai4,gaa3,#,#,,,,,,,,,
kitty,reply,#,#,is not,(particle),#,is,at,bush,there,come from,(particle),#,#,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,
佢哋,三,個,跟住,啲,聲,行,去,草叢,嗰度,。,行行下,，,佢哋,又,聽到,啲,聲,：,,,,,
