[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雀仔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zoek3-zai2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你哋,都,應該,知道,，,雀仔,鍾意,喺,個,天空,度,飛,。,你,又,知唔知道,，,雀仔,有,一,樣,好,重要,嘅,事,要,做,，,就係,幫,小朋友,傳,口訊,去,天空,度,。,傳,乜嘢,口訊,？,乜嘢,都,得,㗎,！,,,,,,,,,,
nei5-dei6,dou1,jing1-goi1,zi1-dou3,#,zoek3-zai2,zung1-ji3,hai2,go3,tin1-hung1,dou6,fei1,#,nei5,jau6,zi1-m4-zi1-dou6,#,zoek3-zai2,jau5,jat1,joeng6,hou2,zung6-jiu3,ge3,si6,jiu3,zou6,#,zau6-hai6,bong1,siu2-pang4-jau5,cyun4,hau2-seon3,heoi3,tin1-hung1,dou6,#,cyun4,mat1-je5,hau2-seon3,#,mat1-je5,dou1,dak1,gaa3,#,,,,,,,,,,
you (plural),"all, also",should,know,#,bird,like,at,(measure),sky,place,fly,#,you,also,know or not,#,bird,have,one,(measure),very,important,(linker),matter,need to,do,#,which is,help,children,to send,message,to,sky,place,#,send,what,message,#,whatever,"all, also",okay,(particle),#,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每一個,小朋友,都,有,一,隻,雀仔,幫,佢,傳,口訊,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mui5-jat1-go3,siu2-pang4-jau5,dou1,jau5,jat1,zek3,zoek3-zai2,bong1,keoi5,cyun4,hau2-seon3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
each,children,"all, also",have,one,(measure),bird,to help,he / she,to send,message,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
嗰,隻,幫,小靜,，,呢,隻,幫,大明,，,又,有,一,隻,小,雀仔,去,幫,小澄澄,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
go2,zek3,bong1,siu2-zing6,#,nei1,zek3,bong1,dai6-ming4,#,jau6,jau5,jat1,zek3,siu2,zoek3-zai2,heoi3,bong1,siu2-cing4-cing2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
