[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海龜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoi2-gwai1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turtle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
出嚟,喇,！,海龜,出嚟,喇,！,海龜,喺,隻,海龜,蛋,度,出嚟,喇,！,佢,啲,細佬,細妹,一,隻,一,隻,噉,喺,嗰啲,海龜,蛋,度,出嚟,喇,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ceot1-lai4,laa3,#,hoi2-gwai1,ceot1-lai4,laa3,#,hoi2-gwai1,hai2,zek3,hoi2-gwai1,daan2,dou6,ceot1-lai4,laa3,#,keoi5,di1,sai3-lou2,sai3-mui2,jat1,zek3,jat1,zek3,gam2,hai2,go2-di1,hoi2-gwai1,daan2,dou6,ceot1-lai4,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to come out,already,#,turtle,to come out,already,#,turtle,at,(measure),turtle,egg,place,to come out,already,#,it,’s,younger brother,younger sister,one,(measure),one,(measure),-ly,at,those,turtle,egg,place,to come out,already,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
海龜,喺,蛋,入面,乜,都,見,唔到,，,出,到,嚟,蛋,外面,，,海龜,見到,好多,沙,，,又,見到,個,大海,。,佢,啲,細佬,細妹,都,見到,好多,沙,，,又,見到,個,大海,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hoi2-gwai1,hai2,daan2,jap6-min6,mat1,dou1,gin3,m4-dou2,#,ceot1,dou3,lai4,daan2,ngoi6-min6,#,hoi2-gwai1,gin3-dou2,hou2-do1,saa1,#,jau6,gin3-dou2,go3,daai6-hoi2,#,keoi5,di1,sai3-lou2,sai3-mui2,dou1,gin3-dou2,hou2-do1,saa1,#,jau6,gin3-dou2,go3,daai6-hoi2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
turtle,at,egg,inside,what,"all, also",to see,cannot,#,to go out,to,to come,egg,outside,#,turtle,to see,many,sand,#,again,to see,(measure),ocean,#,it,’s,younger brother,younger sister,"all, also",to see,many,sand,#,again,to see,(measure),ocean,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你,估下,，,海龜,有冇,耳仔,？,海龜,係,有,耳仔,㗎,！,佢,對,耳仔,好,細,，,同,我哋,嗰,對,耳仔,好,唔同,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei5,gu2-haa2,#,hoi2-gwai1,jau5-mou5,ji5-zai2,#,hoi2-gwai1,hai6,jau5,ji5-zai2,gaa3,#,keoi5,deoi3,ji5-zai2,hou2,sai3,#,tung4,ngo5-dei6,go2,deoi3,ji5-zai2,hou2,m4-tung4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you,to guess,#,turtle,have-or-haven't,ears,#,turtle,is,have,ears,(particle),#,it,pair,ears,very,small,#,and,we,that,pair,ears,very,different,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
你,估下,，,海龜,有冇,腳,？,海龜,係,有,腳,㗎,！,海龜,四,隻,腳,好,短,，,同,狗仔,嗰,四,隻,腳,好,唔同,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei5,gu2-haa2,#,hoi2-gwai1,jau5-mou5,goek3,#,hoi2-gwai1,hai6,jau5,goek3,gaa3,#,hoi2-gwai1,sei3,zek3,goek3,hou2,dyun2,#,tung4,gau2-zai2,go2,sei3,zek3,goek3,hou2,m4-tung4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
you,to guess,#,turtle,have-or-haven't,"foot, leg",#,turtle,is,have,"foot, leg",(particle),#,turtle,four,(measure),"leg, foot",very,short,#,and,puppy,that,four,(measure),"leg, foot",very,different,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
