[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
大霧山,嘅,最後,日子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daai6-mou6-saan1,ge3,zeoi3-hau6,jat6-zi2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tai Mo Shan,’s,last,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,大霧山,上,住,咗,個,探險家,，,佢,叫做,超英,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai2,daai6-mou6-saan1,soeng6,zyu6,zo2,go3,taam3-him2-gaa1,#,keoi5,giu3-zou6,ciu1-jing1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,Tai Mo Shan,top,live,-en,(measure),adventurer,#,he,is called,Chiu Ying,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
超英,好,鍾意,行山,，,佢,行山,嗰陣,好,鍾意,影相,，,影相,嗰陣,會,好,開心,。,有一日,佢,散緊步,嘅,時候,，,聽到,樹林,裏面,有,喊聲,，,但,佢,唔,肯定,啲,喊聲,喺,邊度,傳,嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciu1-jing1,hou2,zung1-ji3,haang4-saan1,#,keoi5,haang4-saan1,go2-zan6,hou2,zung1-ji3,jing2-soeng2,#,jing2-soeng2,go2-zan6,wui5,hou2,hoi1-sam1,#,jau5-jat1-jat6,keoi5,saan2-gan2-bou6,ge3,si4-hau6,#,teng1-dou2,syu6-lam4,leoi5-min6,jau5,haam3-seng1,#,daan6,keoi5,m4,hang2-ding6,di1,haam3-seng1,hai2,bin1-dou6,cyun4,lai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chiu Ying,very,like,hiking,#,he,hiking,that time,very,like,take picture,#,take picture,that time,will,very,happy,#,one day,he,having a walk,(linker),time,#,heard,woods,inside,have,sobbing,#,but,he,not,sure,those,sobbing,at,where,pass,come,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,沿,住,喊聲,嘅,方向,行,，,期間,遇到,一,隻,上身,甩,咗,色,嘅,老虎,，,一半,係,灰色,，,一半,係,橙黃色,。,超英,認得,佢,，,知道,佢,叫,小武,，,係,一,隻,好,勇敢,嘅,老虎,。,但,今日,嘅,小武,一,見到,超英,就,豎起,條,尾,，,用,閃縮,嘅,眼神,望,一,望,佢,就,轉身,跑,走,咗,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keoi5,jyun4,zyu6,haam3-seng1,ge3,fong1-hoeng3,haang4,#,kei4-gaan1,jyu6-dou2,jat1,zek3,soeng6-san1,lat1,zo2,sik1,ge3,lou5-fu2,#,jat1-bun3,hai6,fui1-sik1,#,jat1-bun3,hai6,caang2-wong4-sik1,#,ciu1-jing1,jing6-dak1,keoi5,#,zi1-dou3,keoi5,giu3,siu2-mou5,#,hai6,jat1,zek3,hou2,jung5-gam2,ge3,lou5-fu2,#,daan6,gam1-jat6,ge3,siu2-mou5,jat1,gin3-dou2,ciu1-jing1,zau6,syu6-hei2,tiu4,mei5,#,jung6,sim2-suk1,ge3,ngaan5-san4,mong6,jat1,mong6,keoi5,zau6,zyun3-san1,paau2,zau2,zo2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he,along,-ing,sobbing,(linker),direction,to walk,#,meanwhile,bump into,one,(measure),upper body,fall off,-en,colour,(linker),tiger,#,half,is,grey,#,half,is,orange-yellow,#,Chiu Ying,recognise,it,#,know,it,is called,Little Mo,#,is,one,(measure),very,brave,(linker),tiger,#,but,today,(linker),Little Mo,once,saw,Chiu Ying,then,raise,(measure),tail,#,to use,evasive,(linker),eyes,look,one,look,he,then,turn around,to run,away,-en,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
佢,繼續,行,，,繼續,行,，,見到,好多,螞蟻,走,晒,出,地面,，,抬,住,好多,食物,；,見到,大笨象,，,聽到,佢哋,話,自己,咁,大隻,，,唔知,有,咩,地方,可以,生活,；,見到,長頸鹿,，,長頸鹿,話,佢哋,咁,顯眼,，,一,行出,樹林,就,會,俾人,發現,……,雖然,啲,動物,擔心,嘅,嘢,唔同,，,但,一樣,嘅,係,，,佢哋,一,見到,超英,，,就,退,到,好,後,好,後,，,走,得,好,快,好,快,。,超英,唔,明白,，,明明,大家,平時,都會,傾計,，,點解,今日,一,遇到,就,掉頭,走,？,,,,,,,,,,,,,,,,,,
keoi5,gai3-zuk6,haang4,#,gai3-zuk6,haang4,#,gin3-dou2,hou2-do1,maa5-ngai5,zau2,saai3,ceot1,dei6-min2,#,toi4,zyu6,hou2-do1,sik6-mat6,#,gin3-dou2,daai6-ban6-zoeng6,#,teng1-dou2,keoi5-dei6,waa6,zi6-gei2,gam3,daai6-zek3,#,m4-zi1,jau5,me1,dei6-fong1,ho2-ji5,sang1-wut6,#,gin3-dou2,coeng4-geng2-luk2,#,coeng4-geng2-luk2,waa6,keoi5-dei6,gam3,hin2-ngaan5,#,jat1,haang4-ceot1,syu6-lam4,zau6,wui5,bei2-jan4,faat3-jin6,#,seoi1-jin4,di1,dung6-mat6,daam1-sam1,ge3,je5,m4-tung4,#,daan6,jat1-joeng6,ge3,hai6,#,keoi5-dei6,jat1,gin3-dou2,ciu1-jing1,#,zau6,teoi3,dou3,hou2,hau6,hou2,hau6,#,zau2,dak1,hou2,faai3,hou2,faai3,#,ciu1-jing1,m4,ming4-baak6,#,ming4-ming4,daai6-gaa1,ping4-si4,dou1-wui5,king1-gai2,#,dim2-gaai2,gam1-jat6,jat1,jyu6-dou2,zau6,diu6-tau4,zau2,#,,,,,,,,,,,,,,,,,,
