[0],,,,,,,,,,,,,,,,,,,,
菜肉包,,,,,,,,,,,,,,,,,,,,
coi3-juk6-baau1,,,,,,,,,,,,,,,,,,,,
vegetables and pork bun,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,
今日,上晝,，,細佬,一,起身,就,大叫,：,「,好,想,食,菜肉包,啊,！,」,,,,
gam1-jat6,soeng6-zau3,#,sai3-lou2,jat1,hei2-san1,zau6,daai6-giu3,#,#,hou2,soeng2,sik6,coi3-juk6-baau1,aa3,#,#,,,,
today,morning,#,younger brother,once,wake up,then,shout,#,#,very,want,to eat,vegetables and pork bun,(particle),#,#,,,,
[1b],,,,,,,,,,,,,,,,,,,,
細妹,同,哥哥,講,：,「,細佬,話,好,想,食,菜肉包,！,」,,,,,,,
sai3-mui2,tung4,go4-go1,gong2,#,#,sai3-lou2,waa6,hou2,soeng2,sik6,coi3-juk6-baau1,#,#,,,,,,,
younger sister,to,elder brother,say,#,#,younger brother,say,very,want,to eat,vegetables and pork bun,#,#,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,
哥哥,又,同,媽媽,講,：,「,細妹,話,細佬,好,想,食,菜肉包,！,」,,,,,
go4-go1,jau6,tung4,maa4-maa1,gong2,#,#,sai3-mui2,waa6,sai3-lou2,hou2,soeng2,sik6,coi3-juk6-baau1,#,#,,,,,
elder brother,again,to,mother,say,#,#,younger sister,say,younger brother,very,want,to eat,vegetables and pork bun,#,#,,,,,
[2b],,,,,,,,,,,,,,,,,,,,
媽媽,話,：,「,吓,，,屋企,冇,肉,喎,！,」,,,,,,,,,
maa4-maa1,waa6,#,#,haa2,#,uk1-kei2,mou5,juk6,wo3,#,#,,,,,,,,,
mother,say,#,#,what?,#,home,don't have,meat,(particle),#,#,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,
跟住,哥哥,問,兔仔,邊度,有,肉,，,但係,兔仔,玩,緊,捉伊人,。,,,,,,,
gan1-zyu6,go4-go1,man6,tou3-zai2,bin1-dou6,jau5,juk6,#,daan6-hai6,tou3-zai2,waan2,gan2,zuk1-ji1-jan1,#,,,,,,,
and then,elder brother,ask,rabbit,where,have,meat,#,but,rabbit,play,-ing,hide and seek,#,,,,,,,
[3b],,,,,,,,,,,,,,,,,,,,
細妹,就,問,豬仔,，,豬仔,瞓咗覺,冇,答,佢,。,,,,,,,,,,
sai3-mui2,zau6,man6,zyu1-zai2,#,zyu1-zai2,fan3-zo2-gaau3,mou5,daap3,keoi5,#,,,,,,,,,,
younger sister,then,ask,piggy,#,piggy,asleep,don't have,reply,she,#,,,,,,,,,,
[3c],,,,,,,,,,,,,,,,,,,,
到,細佬,問,魚仔,，,魚仔,唔記得,佢,問,咩,。,,,,,,,,,,
dou3,sai3-lou2,man6,jyu2-zai2,#,jyu2-zai2,m4-gei3-dak1,keoi5,man6,me1,#,,,,,,,,,,
then,younger brother,ask,little fish,#,little fish,forget,he,ask,what,#,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,
哎吔,！,細佬,喊,住,問,媽媽,：,「,噉,而家,點算,好,？,」,,,,,,
ai1-jaa3,#,sai3-lou2,haam3,zyu6,man6,maa4-maa1,#,#,gam2,ji4-gaa1,dim2-syun3,hou2,#,#,,,,,,
Oh!,#,younger brother,cry,-ing,to ask,mother,#,#,then,now,how to do,well,#,#,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,
媽媽,話,：,「,食,菜,啦,，,菜,又,健康,又,好食,！,」,,,,,,
maa4-maa1,waa6,#,#,sik6,coi3,laa1,#,coi3,jau6,gin6-hong1,jau6,hou2-sik6,#,#,,,,,,
mother,say,#,#,eat,vegetables,(particle),#,vegetables,also,healthy,also,tasty,#,#,,,,,,
[5a],,,,,,,,,,,,,,,,,,,,
細佬,又,問,：,「,噉,包,呢,？,邊處,有,包,？,」,,,,,,,
sai3-lou2,jau6,man6,#,#,gam2,baau1,ne1,#,bin1-syu3,jau5,baau1,#,#,,,,,,,
younger brother,again,ask,#,#,then,bun,(particle),#,where,have,bun,#,#,,,,,,,
[5b],,,,,,,,,,,,,,,,,,,,
媽媽,答,佢,：,「,包,？,你,要,自己,問,佢,喎,——,」,,,,,,
maa4-maa1,daap3,keoi5,#,#,baau1,#,nei5,jiu3,zi6-gei2,man6,keoi5,wo3,#,#,,,,,,
mother,reply,he,#,#,bun,#,you,need to,oneself,ask,it,(particle),#,#,,,,,,
[6],,,,,,,,,,,,,,,,,,,,
呢個,時候,，,有,把,聲,喺,細佬,肚,入面,講,：,「,你,琴晚,食,咗,我,啦,……,」
ni1-go3,si4-hau6,#,jau5,baa2,seng1,hai2,sai3-lou2,tou5,jap6-min6,gong2,#,#,nei5,kam4-maan5,sik6,zo2,ngo5,laa3,#,#
this,time,#,have,(measure),sound,at,younger brother,tummy,inside,say,#,#,you,last night,eat,-en,I,(particle),#,#
