[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
觀塘,交通,日常,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gun1-tong4,gaau1-tung1,jat6-soeng4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kwun Tong,traffic,daily,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
唉,，,我,又,塞,咗,喺度,差唔多,一個,鐘,喇,……,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aai3,#,ngo5,jau6,sak1,zo2,hai2-dou6,caa1-m4-do1,jat1-go3,zung1,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sigh!,#,I,again,get jammed,-en,right here,almost,one (measure),hour,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
自從,要,去,觀塘,返工,開始,，,我,每日,都,要,為,放工,搭,咩,車,返,屯門,而,煩惱,。,啱啱,嚟,呢度,返工,嗰陣,，,我,係,搭,港鐵,嘅,，,不過,觀塘,港鐵,站,永遠,都係,咁,多,人,，,我,成日,都,要,排隊,等,幾,班,先,上,到,車,。,上,到,車,之後,，,一大班,人,塞,喺,車廂,入面,，,個,身,郁,都,郁,唔到,，,好,逼,好,辛苦,。,夏天,嘅,時候,，,呢個,空間,仲,會,瀰漫,住,一,大,陣,嘅,臭,汗,味,——,如果,企,喺,身邊,嗰個,咁啱,係,成,身,大汗,嘅,，,佢,一,逼,埋嚟,，,隨時,同,佢,有,肌膚之親,，,感覺,佢,啲,汗水,會,黐,晒,落,我,度,囉,……
zi6-cung4,jiu3,heoi3,gun1-tong4,faan1-gung1,hoi1-ci2,#,ngo5,mui5-jat6,dou1,jiu3,wai6,fong3-gung1,daap3,me1,ce1,faan1,tyun4-mun4,ji4,faan4-nou5,#,ngaam1-ngaam1,lai4,nei1-dou6,faan1-gung1,go2-zan6,#,ngo5,hai6,daap3,gong2-tit3,ge2,#,bat1-gwo3,gun1-tong4,gong2-tit3,zaam6,wing5-jyun5,dou1-hai6,gam3,do1,jan4,#,ngo5,sing4-jat6,dou1,jiu3,paai4-deoi2,dang2,gei2,baan1,sin1,soeng5,dou2,ce1,#,soeng5,dou2,ce1,zi1-hau6,#,jat1-daai6-baan1,jan4,sak1,hai2,ce1-soeng1,jap6-min6,#,go3,san1,juk1,dou1,juk1,m4-dou2,#,hou2,bik1,hou2,san1-fu2,#,haa6-tin1,ge3,si4-hau6,#,nei1-go3,hung1-gaan1,zung6,wui5,nei4-maan6,zyu6,jat1,daai6,zan6,ge3,cau3,hon6,mei6,#,jyu4-gwo2,kei5,hai2,san1-bin1,go2-go3,gam3-ngaam1,hai6,sing4,san1,daai6-hon6,ge3,#,keoi5,jat1,bik1,maai4-lai4,#,ceoi4-si4,tung4,keoi5,jau5,gei1-fu1-zi1-can1,#,gam2-gok3,keoi5,di1,hon6-seoi2,wui5,ci1,saai3,lok6,ngo5,dou6,lo1,#
since,have to,go,Kwun Tong,to go to work,begin,#,I,every day,"all, also",have to,for,off work,take,what,car,return,Tuen Mun,and,worries,#,just now,come,here,to go to work,that time,#,I,is,take,MTR,(particle),#,however,Kwun Tong,MTR,station,forever,always is,so,many,people,#,I,all the time,"all, also",have to,queue,to wait,several,class,then,get on,to,car,#,get on,to,car,after,#,a huge group of,people,get crammed,at,carriage,inside,#,(measure),body,move,"all, also",move,cannot,#,very,crowded,very,hard,#,summer,(linker),time,#,this,room,even,will,suffuse,-ing,one,big,(measure),(linker),smelly,sweat,smell,#,if,stand,at,beside,that,incidentally,is,whole,body,sweaty,(linker),#,he / she,once,crowd,come over,#,at any moment,with,he / she,have,touching of skins,#,feel like,he / she,those,sweat,will,stick,all,down,I,there,(particle),#
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
所以,我,決定,轉,搭,巴士,。,雖然,車程,好,耐,，,但,至少,有,位,坐,，,又,唔,使,同人,逼,。,始終,返,咗,成日,工,，,好,攰,好,眼瞓,，,返屋企,嗰,程,車,都,想,坐低,抖,下,。,更,重要,嘅,係,，,巴士,可以,由,觀塘,直達,屯門,，,唔似,港鐵,噉,要,中途,轉車,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
so2-ji5,ngo5,kyut3-ding6,zyun2,daap3,baa1-si2,#,seoi1-jin4,ce1-cing4,hou2,noi6,#,daan6,zi3-siu2,jau5,wai2,co5,#,jau6,m4,sai2,tung4-jan4,bik1,#,ci2-zung1,faan1,zo2,sing4-jat6,gung1,#,hou2,gui6,hou2,ngaan5-fan3,#,faan1-uk1-kei2,go2,cing4,ce1,dou1,soeng2,co5-dai1,tau2,haa5,#,gang3,zung6-jiu3,ge3,hai6,#,baa1-si2,ho2-ji5,jau4,gun1-tong4,zik6-daat6,tyun4-mun4,#,m4-ci5,gong2-tit3,gam2,jiu3,zung1-tou4,zyun3-ce1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
therefore,I,decide,to turn,take,bus,#,although,ride,very,long time,#,but,at least,have,seat,to sit,#,also,not,need,with people,crowd,#,after all,go,-en,whole day,work,#,very,tired,very,sleepy,#,go home,that,journey,car,"all, also",want to,sit down,rest,a bit,#,even more,important,(linker),is,#,bus,can,from,Kwun Tong,go straight to,Tuen Mun,#,not like,MTR,that way,have to,midway,change car,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不過,，,就,喺,我,第一,次,放工,搭,巴士,返屋企,嗰,日,，,發生,咗,件,好,「,神奇,」,嘅,事,。,記得,嗰,日,係,星期一,，,我,收工,嗰陣,已經,好,攰,，,6點半,左右,已經,上,咗,巴士,上層,最,前排,個,位,坐,。,冇耐,我,就,瞌着,咗,，,一心,諗住,可以,喺,呢,一個,鐘,車程,休息,下,，,瞓醒,就,返,到,屯門,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bat1-gwo3,#,zau6,hai2,ngo5,dai6-jat1,ci3,fong3-gung1,daap3,baa1-si2,faan1-uk1-kei2,go2,jat6,#,faat3-sang1,zo2,gin6,hou2,#,san4-kei4,#,ge3,si6,#,gei3-dak1,go2,jat6,hai6,sing1-kei4-jat1,#,ngo5,sau1-gung1,go2-zan6,ji5-ging1,hou2,gui6,#,luk6-dim2-bun3,zo2-jau2,ji5-ging1,soeng5,zo2,baa1-si2,soeng6-cang4,zeoi3,cin4-paai4,go3,wai2,co5,#,mou5-noi2,ngo5,zau6,hap1-zoek3,zo2,#,jat1-sam1,nam2-zyu6,ho2-ji5,hai2,nei1,jat1-go3,zung1,ce1-cing4,jau1-sik1,haa5,#,fan3-seng2,zau6,faan1,dou3,tyun4-mun4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
however,#,then,at,I,first,time,off work,take,bus,to go home,that,day,#,happen,-en,(measure),very,#,miraculous,#,(linker),matter,#,remember,that,day,is,Monday,#,I,off work,that time,already,very,tired,#,half past six,around,already,get on,-en,bus,upper level,most,front row,(measure),seat,to sit,#,not long,I,then,doze off,-en,#,wholeheartedly,thinking that,can,at,this,one (measure),hour,ride,take a break,a bit,#,wake up,then,return,to,Tuen Mun,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
