[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
新,同事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
san1,tung4-si6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,colleague,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,咁,多,位,同事,，,放,一,放低,手頭上,嘅,嘢,，,望,一,望,過嚟,先,。,」,阿頭,無啦啦,嗌,停,晒,我哋,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,gam3,do1,wai2,tung4-si6,#,fong3,jat1,fong3-dai1,sau2-tau4-soeng6,ge3,je5,#,mong6,jat1,mong6,gwo3-lai4,sin1,#,#,aa3-tau2,mou4-laa1-laa1,aai3,ting4,saai3,ngo5-dei6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,so,many,(measure),colleague,#,put,one,put down,at hand,(linker),thing/work,#,look,one,look,over here,first,#,#,boss,with no reason,call,to stop,all,we,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,企,我,隔籬,嘅,呢,位,，,係,我哋,嘅,新,同事,阿文,。,佢,係,新加坡人,，,啱啱,喺,分公司,嗰,邊,調,過嚟,。,噉,我,而家,交,時間,畀,佢,介紹,下,自己,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,kei5,ngo5,gaak3-lei4,ge3,ni1,wai2,#,hai6,ngo5-dei6,ge3,san1,tung4-si6,aa3-man4,#,keoi5,hai6,san1-gaa3-bo1-jan4,#,ngaam1-ngaam1,hai2,fan1-gung1-si1,go2,bin1,diu6,gwo3-lai4,#,gam2,ngo5,ji4-gaa1,gaau1,si4-gaan3,bei2,keoi5,gaai3-siu6,haa5,zi6-gei2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,stand,I,next to,(linker),this,(measure),#,is,we,(linker),new,colleague,Vincent,#,he,is,Singaporean,#,just now,at,branch office,that,side,transfer,come over,#,then,I,now,hand in,time,to,he,introduce,a bit,oneself,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,喺,一,間,報社,做,，,而,我,個,部門,負責,報導,國際,新聞,。,公司,一路,想,請,個,普通話,流利,嘅,人,嚟,幫手,處理,國際,新聞,，,估唔到,佢哋,最後,會,喺,新加坡,調,人,過嚟,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,hai2,jat1,gaan1,bou3-se5,zou6,#,ji4,ngo5,go3,bou6-mun4,fu6-zaak3,bou3-dou6,gwok3-zai3,san1-man4,#,gung1-si1,jat1-lou6,soeng2,ceng2,go3,pou2-tung1-waa2,lau4-lei6,ge3,jan4,lai4,bong1-sau2,cyu2-lei5,gwok3-zai3,san1-man4,#,gu2-m4-dou3,keoi5-dei6,zeoi3-hau6,wui5,hai2,san1-gaa3-bo1,diu6,jan4,gwo3-lai4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
