[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,係,我,哥哥,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ni1-go3,hai6,ngo5,go4-go1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,is,I,elder brother,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,係,我,哥哥,，,佢,叫,明仔,，,而家,四,年班,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ni1-go3,hai6,ngo5,go4-go1,#,keoi5,giu3,ming4-zai2,#,ji4-gaa1,sei3,nin4-baan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this ,is,I,elder brother,#,he,is called,Manson,#,now,four,primary,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢個,係,我,，,我,而家,一,年班,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ni1-go3,hai6,ngo5,#,ngo5,ji4-gaa1,jat1,nin4-baan1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,is,I,#,I,now,one,primary,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋,都係,喺,沙田,返學,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5-dei6,dou1-hai6,hai2,saa1-tin4,faan1-hok6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we,also is,at,Sha Tin,go to school,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
朝早,八,點,，,我哋,都,要,一齊,返學,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ziu1-zou2,baat3,dim2,#,ngo5-dei6,dou1,jiu3,jat1-cai4,faan1-hok6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
morning,eight,o'clock,#,we,"all, also",have to,together,to go to school,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,自己,着,衫,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,zi6-gei2,zoek3,saam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,oneself,put on,clothes,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
哥哥,幫,我,着,鞋,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
