[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太,細個,喇,!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taai3,sai3-go3,laa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
too,young,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你,太,細個,喇,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,nei5,taai3,sai3-go3,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,you,too,young,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
呢,句,話,，,我,成日,聽到,。,爸爸,媽媽,因為,我,太,細,，,好多,嘢,都,唔,准,我,做,。,例如,，,唔可以,自己,一個,出街,、,唔可以,夜瞓,、,唔可以,飲,咖啡,等等,。,我,問,佢哋,，,點解,我,年紀,細,就,唔可以,做,呢啲,，,佢哋,話,我,大個,就,會,明,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nei1,geoi3,waa6,#,ngo5,sing4-jat6,teng1-dou2,#,baa4-baa1,maa4-maa1,jan1-wai6,ngo5,taai3,sai3,#,hou2-do1,je5,dou1,m4,zeon2,ngo5,zou6,#,lai6-jyu4,#,m4-ho2-ji5,zi6-gei2,jat1-go3,ceot1-gaai1,#,m4-ho2-ji5,je6-fan3,#,m4-ho2-ji5,jam2,gaa3-fe1,dang2-dang2,#,ngo5,man6,keoi5-dei6,#,dim2-gaai2,ngo5,nin4-gei2,sai3,zau6,m4-ho2-ji5,zou6,nei1-di1,#,keoi5-dei6,waa6,ngo5,daai6-go3,zau6,wui5,ming4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
this,(measure),saying,#,I,all the time,heard,#,father,mother,because,I,too,small,#,many,thing,"all, also",not,allow,I,to do,#,for example,#,cannot,oneself,alone,go out,#,cannot,go to bed late,#,cannot,drink,coffee,etc.,#,I,ask,they,#,why,I,age,young,then,cannot,do,these,#,they,say,I,grow up,then,will,understand,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
試過,有,一,次,，,我,睇,住,媽媽,煮飯,。,我,望,住,佢,點樣,拎,刀,切,瓜,，,我,都,好,想,試下,。,我,覺得,如果,我,學識,煮飯,，,就,可以,幫,媽媽,手,，,等,佢,唔使,咁,辛苦,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
si3-gwo3,jau5,jat1,ci3,#,ngo5,tai2,zyu6,maa4-maa1,zyu2-faan6,#,ngo5,mong6,zyu6,keoi5,dim2-joeng2,ling1,dou1,cit3,gwaa1,#,ngo5,dou1,hou2,soeng2,si3-haa5,#,ngo5,gok3-dak1,jyu4-gwo2,ngo5,hok6-sik1,zyu2-faan6,#,zau6,ho2-ji5,bong1,maa4-maa1,sau2,#,dang2,keoi5,m4-sai2,gam3,san1-fu2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tried,have,one,time,#,I,watch,-ing,mother,cook,#,I,watch,-ing,she,how to,take,knife,to cut,melon,#,I,also,very,want,to try a little bit,#,I,think,if,I,manage to learn,to cook,#,then,can,help,mother,hand,#,let,she,no need,so,laborious,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
不過,佢,話,：,「,你,太,細個,喇,！,拎,刀,好,危險,！,」,唔,畀,我,學,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bat1-gwo3,keoi5,waa6,#,#,nei5,taai3,sai3-go3,laa3,#,ling1,dou1,hou2,ngai4-him2,#,#,m4,bei2,ngo5,hok6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
however,she,say,#,#,you,too,young,(particle),#,take,knife,very,dangerous,#,#,not,let,I,learn,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
