[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我哋,嘅,歌聲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5-dei6,ge3,go1-sing1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
we,’s,singing voice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小娟,喺,課室,個,窗,望,出去,，,會,見到,一,棵,老,榕樹,，,佢,樹幹,叉開,個,樣,，,好似,想,畀,個,大大,嘅,擁抱,我哋,噉,。,喺,老,榕樹,嘅,樹蔭,下,，,就算,嗰,日,天氣,幾,熱,，,都,會,覺得,好,涼爽,。,,,,,,,,,,,,
siu2-gyun1,hai2,fo3-sat1,go3,coeng1,mong6,ceot1-heoi3,#,wui5,gin3-dou2,jat1,po1,lou5,jung4-syu6,#,keoi5,syu6-gon3,caa1-hoi1,go3,joeng2,#,hou2-ci5,soeng2,bei2,go3,daai6-daai6,ge3,jung2-pou5,ngo5-dei6,gam2,#,hai2,lou5,jung4-syu6,ge3,syu6-jam3,haa6,#,zau6-syun3,go2,jat6,tin1-hei3,gei2,jit6,#,dou1,wui5,gok3-dak1,hou2,loeng4-song2,#,,,,,,,,,,,,
June,at,classroom,(measure),window,look,out,#,will,see,one,(measure),old,banyan,#,it,tree trunk,split,(measure),appearance,#,just like,want to,give,(measure),big,(linker),hug,we,that way,#,at,old,banyan,(linker),shade of a tree,under,#,even if,that,day,weather,how,hot,#,"all, also",will,feel,very,cool and nice,#,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
但係,呢,棵,老,榕樹,好,百厭,，,每當,有,微,風,吹,過,，,佢,一,粒,粒,細小,嘅,果實,就,會,跌,落,小娟,身上,，,有時,仲會,有,雀仔,匿,喺,樹葉,之間,偷偷哋,去,廁所,——,「,啪,」,一,聲,，,雀,屎,就,滴,咗,落,小娟,個,頭,度,……,,,,,
daan6-hai6,nei1,po1,lou5,jung4-syu6,hou2,baak3-jim3,#,mui5-dong1,jau5,mei4,fung1,ceoi1,gwo3,#,keoi5,jat1,nap1,nap1,sai3-siu2,ge3,gwo2-sat6,zau6,wui5,dit3,lok6,siu2-gyun1,san1-soeng6,#,jau5-si4,zung6-wui5,jau5,zoek3-zai2,nei1,hai2,syu6-jip6,zi1-gaan1,tau1-tau1-dei2,heoi3,ci3-so2,#,#,paak6,#,jat1,seng1,#,zoek3,si2,zau6,dik6,zo2,lok6,siu2-gyun1,go3,tau4,dou6,#,,,,,
but,this,(measure),old,banyan,very,mischievous,#,every time,have,mild,breeze,blow,pass,#,it,one,(measure),(measure),small,(linker),fruit,then,will,fall,down,June,body,#,sometimes,even will,have,little bird,hide,at,leaf,between,secretly ,go,toilet,#,#,pop,#,one,sound,#,bird,faeces,then,drop,-en,down,June,(measure),head,there,#,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
每日,小息,嘅,時候,，,小娟,都會,陪,阿樂,同,小明,跑,去,老,榕樹,下面,休息,。,小明,次次,都,跑,得,最,快,，,之後,仲,會,擺,出,一,副,得戚,樣,。,老,榕樹,下面,唔單止,涼爽,，,有時,仲,會,有,蝴蝶,或者,蜜蜂,飛,過,，,陪,大家,一齊,小息,。,,,,,,
mui5-jat6,siu2-sik1,ge3,si4-hau6,#,siu2-gyun1,dou1-wui5,pui4,aa3-lok6,tung4,siu2-ming4,paau2,heoi3,lou5,jung4-syu6,haa6-min6,jau1-sik1,#,siu2-ming4,ci3-ci3,dou1,paau2,dak1,zeoi3,faai3,#,zi1-hau6,zung6,wui5,baai2,ceot1,jat1,fu3,dak1-cik1,joeng2,#,lou5,jung4-syu6,haa6-min6,m4-daan1-zi2,loeng4-song2,#,jau5-si4,zung6,wui5,jau5,wu4-dip2,waak6-ze2,mat6-fung1,fei1,gwo3,#,pui4,daai6-gaa1,jat1-cai4,siu2-sik1,#,,,,,,
every day,recess,(linker),time,#,June,always will,accompany,Luke,and,Mike,run,to,old,banyan,under,take a break,#,Mike,every time,"all, also",run,(suffix),most,fast,#,after,even,will,put,out,one,a set of,proud and cheeky,face,#,old,banyan,under,not only,cool and nice,#,sometimes,even,will,have,butterfly,or,honey bee,fly,pass,#,accompany,everyone,together,recess,#,,,,,,
[3a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
今日,，,小娟,竟然,跑,得,快,過,小明,，,但係,喺,佢哋,前面,嘅,老,榕樹,下,，,好似,仲有,其他,訪客,。,係,邊個,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gam1-jat6,#,siu2-gyun1,ging2-jin4,paau2,dak1,faai3,gwo3,siu2-ming4,#,daan6-hai6,hai2,keoi5-dei6,cin4-min6,ge3,lou5,jung4-syu6,haa6,#,hou2-ci5,zung6-jau5,kei4-taa1,fong2-haak3,#,hai6,bin1-go3,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
today,#,June,to one's surprise,run,(suffix),fast,than,Mike,#,but,at,they,front,(linker),old,banyan,under,#,seems,still have,other,visitor,#,is,who,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
喺,地下,有,一,隻,用,樹枝,同,樹葉,做成,嘅,「,碗,」,。,你,睇,！,「,碗,」,入面,仲有,隻,小,生物,，,眼仔轆轆,噉,望住,大家,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hai2,dei6-haa2,jau5,jat1,zek3,jung6,syu6-zi1,tung4,syu6-jip6,zou6-sing4,ge3,#,wun2,#,#,nei5,tai2,#,#,wun2,#,jap6-min6,zung6-jau5,zek3,siu2,sang1-mat6,#,ngaan5-zai2-luk1-luk1,gam2,mong6-zyu6,daai6-gaa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
at,ground,have,one,(measure),use,branch,and,leaf,make,(linker),#,bowl,#,#,you,look,#,#,bowl,#,inside,even have,(measure),small,creature,#,cute big round eyes,-ly,staring,everyone,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,你好,！,」,小娟,同,呢,位,新,朋友,打招呼,，,但,新,朋友,唔,應,佢,。,小明,問,：,「,唔通,佢,係,年幼,嘅,翼龍,？,」,小明,睇,《,侏羅紀公園,》,嘅,時候,見,過,翼龍,，,喺,天空,飛嚟飛去,好,威風,。,,,,,,,,,,,,,,,
#,nei5-hou2,#,#,siu2-gyun1,tung4,nei1,wai2,san1,pang4-jau5,daa2-ziu1-fu1,#,daan6,san1,pang4-jau5,m4,jing3,keoi5,#,siu2-ming4,man6,#,#,m4-tung1,keoi5,hai6,nin4-jau3,ge3,jik6-lung4,#,#,siu2-ming4,tai2,#,zyu1-lo4-gei2-gung1-jyun2,#,ge3,si4-hau6,gin3,gwo3,jik6-lung4,#,hai2,tin1-hung1,fei1-lei4-fei1-heoi3,hou2,wai1-fung1,#,,,,,,,,,,,,,,,
#,hello,#,#,June,to,this,(measure),new,friend,greet,#,but,new,friend,not,respond to,she,#,Mike,ask,#,#,could it be,it,is,young,(linker),pterosaur,#,#,Mike,watch,#,Jurassic Park,#,(linker),time,see,-ed,pterosaur,#,at,sky,flying around,very,majestic,#,,,,,,,,,,,,,,,
[4c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
