[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,唔係,鹹濕仔,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,m4-hai6,haam4-sap1-zai2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,is not,lustful guy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,唔,鍾意,作文,堂,要,寫,「,我,的,爸爸,」,。,我,好,鍾意,我,阿爸,，,但係,，,我,實在,唔想,話,俾,我,啲,老師,同埋,同學,聽,，,我,阿爸,係,做,乜嘢,嘅,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,m4,zung1-ji3,zok3-man2,tong4,jiu3,se2,#,ngo5,dik1,baa4-baa1,#,#,ngo5,hou2,zung1-ji3,ngo5,aa3-baa4,#,daan6-hai6,#,ngo5,sat6-zoi6,m4-soeng2,waa6,bei2,ngo5,di1,lou5-si1,tung4-maai4,tung4-hok6,teng1,#,ngo5,aa3-baa4,hai6,zou6,mat1-je5,ge3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,not,like,literary composition,class,have to,write,#,I,’s,Papa,#,#,I,very,like,I,Dad,#,but,#,I,really,don't want,to say,to,I,’s,teacher,and,schoolmate,to listen,#,I,Dad,is,do,what,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,阿爸,其實,係,……,開,報紙檔,㗎,。,我,知道,阿爸,工作,好,辛苦,。,每日,一,大,朝早,，,個,天,仲係,好,黑,嗰陣時,，,阿爸,就,要,起身,開始,佢,一日,嘅,工作,。,佢,話,俾,我,聽,，,佢,要,起身,起,得,比,任何人,都,早,，,因為,屋邨,裏面,嗰個,最,早起,嘅,客人,會,俾,十,蚊,佢,買,報紙,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,aa3-baa4,kei4-sat6,hai6,#,hoi1,bou3-zi2-dong3,gaa3,#,ngo5,zi1-dou3,aa3-baa4,gung1-zok3,hou2,san1-fu2,#,mui5-jat6,jat1,daai6,ziu1-zou2,#,go3,tin1,zung6-hai6,hou2,hak1,go2-zan6-si4,#,aa3-baa4,zau6,jiu3,hei2-san1,hoi1-ci2,keoi5,jat1-jat6,ge3,gung1-zok3,#,keoi5,waa6,bei2,ngo5,teng1,#,keoi5,jiu3,hei2-san1,hei2,dak1,bei2,jam6-ho4-jan4,dou1,zou2,#,jan1-wai6,uk1-cyun1,leoi5-min6,go2-go3,zeoi3,zou2-hei2,ge3,haak3-jan4,wui5,bei2,sap6,man1,keoi5,maai5,bou3-zi2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,Dad,actually,is,#,open,newsstand,(particle),#,I,to know,Dad,work,very,hard,#,every day,one,big,morning,#,(measure),sky,still,very,dark,at that time,#,Dad,then,have to,get up,to begin,he,one day,(linker),work,#,he,say,to,I,to listen,#,he,have to,get up,up,(suffix),compared to,anyone,"all, also",early,#,because,housing estate,inside,that one,most,early rising,(linker),customer,will,give,ten,dollar,he,to buy,newspaper,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿爸,嘅,指頭,總係,黑鼆鼆,。,我,知道,其實,係,報紙,嘅,油墨,，,混,埋,阿爸,啲,手,汗,，,搞到,佢,隻,手,黑,晒,。,阿媽,本來,都,買,咗,對,棉,手套,，,叫,阿爸,戴,住,去,賣,報紙,。,但係,阿爸,用,咗,兩,日,，,就,將,手套,抌,埋一邊,。,佢,覺得,手套,減慢,咗,佢,派報紙,嘅,速度,，,啲,顧客,成日,都,好,趕,，,唔,慢,得,㗎,。,於是,阿爸,對,手,，,長年累月,積,滿,咗,油墨,，,啲,油墨,滲入,皮膚,入面,，,洗,唔,甩,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-baa4,ge3,zi2-tau4,zung2-hai6,haak1-mang1-mang1,#,ngo5,zi1-dou3,kei4-sat6,hai6,bou3-zi2,ge3,jau4-mak6,#,wan6,maai4,aa3-baa4,di1,sau2,hon6,#,gaau2-dou3,keoi5,zek3,sau2,hak1,saai3,#,aa3-maa1,bun2-loi4,dou1,maai5,zo2,deoi3,min4,sau2-tou3,#,giu3,aa3-baa4,daai3,zyu6,heoi3,maai6,bou3-zi2,#,daan6-hai6,aa3-baa4,jung6,zo2,loeng5,jat6,#,zau6,zoeng1,sau2-tou3,dam2,maai4-jat1-bin1,#,keoi5,gok3-dak1,sau2-tou3,gaam2-maan6,zo2,keoi5,paai3-bou3-zi2,ge3,cuk1-dou6,#,di1,gu3-haak3,seng4-jat6,dou1,hou2,gon2,#,m4,maan6,dak1,gaa3,#,jyu1-si6,aa3-baa4,deoi3,sau2,#,coeng4-nin4-leoi6-jyut6,zik1,mun5,zo2,jau4-mak6,#,di1,jau4-mak6,sam3-jap6,pei4-fu1,jap6-min6,#,sai2,m4,lat1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dad,’s,finger tips,always is,jet-black,#,I,know,actually,is,newspaper,(linker),printing ink,#,mix,also,Dad,’s,hand,sweat,#,make,he,(measure),hand,black,all,#,Mum,originally,"all, also",buy,-en,pair of,cotton,glove,#,ask,Dad,put on,-ing,to go,to sell,newspaper,#,but,Dad,use,-en,two,day,#,then,take,glove,throw,aside,#,ge,feel,glove,slow down,-en,he,delivering newspaper,(linker),speed,#,those,customer,all the time,"all, also",very,in a hurry,#,not,slow,can,(particle),#,so,Dad,pair of,hand,#,as months and years pass by,accumulate,full,-en,printing ink,#,those,printing ink,infiltrate,skin,inside,#,wash,not,fall off,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿爸,嘅,背脊,有啲,彎,，,因為,佢,成日,要,坐,喺,張,好,細,張,嘅,圓,摺櫈,上面,做,買賣,找贖,嘅,工夫,。,其實,阿爸,都,算,高大,，,但係,因為,佢,個,背脊,彎,咗,，,令,佢,矮,咗,成,截,。,我,成日,喺度,諗,，,如果,阿爸,可以,企,返,直,條,腰,，,佢,會,比,嗰個,肥仔明,嘅,老竇,高,最少,成,個,頭,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-baa4,ge3,bui3-zek3,jau5-di1,waan1,#,jan1-wai6,keoi5,seng4-jat6,jiu3,co5,hai2,zoeng1,hou2,sai3,zoeng1,ge3,jyun4,zip3-dang3,soeng6-min6,zou6,maai5-maai6,zaau2-zuk6,ge3,gung1-fu1,#,kei4-sat6,aa3-baa4,dou1,syun3,gou1-daai6,#,daan6-hai6,jan1-wai6,keoi5,go3,bui3-zek3,waan1,zo2,#,ling6,keoi5,ai2,zo2,seng4,zit6,#,ngo5,seng4-jat6,hai2-dou6,nam2,#,jyu4-gwo2,aa3-baa4,ho2-ji5,kei5,faan1,zik6,tiu4,jiu1,#,keoi5,wui5,bei2,go2-go3,fei4-zai2-ming4,ge3,lou5-dau6,gou1,zeoi3-siu2,seng4,go3,tau4,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
