[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
制水,嘅,故事,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zai3-seoi2,ge3,gu3-si6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
water rationing,(linker),story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
俗語,話,「,年廿八,，,洗邋遢,」,，,為,嘅,就係,令,屋企,乾淨企理,，,開開心心,迎,新年,。,今日,成,家人,都,留,喺,屋企,執,屋,，,就,喺,每個人,都,忙,住,分工,做,家務,嘅,時候,，,阿妹,喺,廚房,窗台,揾到,一個,細,細,嘅,生鏽,鐵,桶,，,就,問,媽媽,係,咩,嚟,，,使唔使,揼,。,,,,,,,,,,,,,,,,,,
zuk6-jyu5,waa6,#,nin4-jaa6-baat3,#,sai2-laat6-taat3,#,#,wai6,ge3,zau6-hai6,ling6,uk1-kei2,gon1-zeng6-kei5-lei5,#,hoi1-hoi1-sam1-sam1,jing4,san1-nin4,#,gam1-jat6,seng4,gaa1-jan4,dou1,lau4,hai2,uk1-kei2,zap1,uk1,#,zau6,hai2,mui5-go3-jan4,dou1,mong4,zyu6,fan1-gung1,zou6,gaa1-mou6,ge3,si4-hau6,#,aa3-mui2,hai2,cyu4-fong2,coeng1-toi4,wan2-dou2,jat1-go3,sai3,sai3,ge3,saang1-sau3,tit3,tung2,#,zau6,man6,maa4-maa1,hai6,me1,lai4,#,sai2-m4-sai2,dam2,#,,,,,,,,,,,,,,,,,,
common saying,say,#,28th day of final month in lunar calendar,#,spring clean,#,#,in order to,(linker),is,make,home,clean and tidy,#,happily,welcome,new year,#,today,whole,family,"all, also",stay,at,home,tidy,house,#,then,at,everyone,"all, also",busy,-ing,divide work,to do,housework,(linker),time,#,younger sister,at,kitchen,sill,found,one (measue),small,small,(linker),rusty,iron,bucket,#,then,ask,mother,is,what,(particle),#,need or no need to,throw away,#,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
阿妹,問,媽媽,︰,「,呢個,係,咩,嚟,㗎,？,仲,有冇用,㗎,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aa3-mui2,man6,maa4-maa1,#,#,nei1-go3,hai6,me1,lai4,gaa3,#,zung6,jau5-mou5-jung6,gaa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
younger sister,ask,mother,#,#,this one,is,what,(particle),(particle),#,still,useful or not,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,答,︰,「,哦,，,呢個,係,水桶,嚟,，,我,好,細個,嗰陣,攞,過,嚟,裝,水,，,不過,而家,已經,冇用,喇,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,daap3,#,#,o5,#,ni1-go3,hai6,seoi2-tung2,lai4,#,ngo5,hou2,sai3-go3,go2-zan6,lo2,gwo3,lai4,zong1,seoi2,#,bat1-gwo3,ji4-gaa1,ji5-ging1,mou5-jung6,laa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mother,reply,#,#,Oh!,#,this one,is,bucket,(particle),#,I,very,young,that time,take,-en,to,carry,water,#,however,now,already,useless,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,點解,要,裝,水,嘅,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,dim2-gaai2,jiu3,zong1,seoi2,ge2,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,why,need to,carry,water,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,當時,香港,仲,未,有,而家,咁,成熟,可靠,嘅,供水,系統,，,家家戶戶,就算,有,水喉,，,一,到,制水,就,冇,水,出,，,要,派,人,落樓下,攞,水,，,所以,要,用,鐵,桶,。,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
