[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
飛,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fei1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1a],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,好嘢,！,全部,高樓大廈,都,喺,我,下面,啊,！,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,hou2-je5,#,cyun4-bou6,gou1-lau4-daai6-haa6,dou1,hai2,ngo5,haa6-min6,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,Hurray!,#,all,skyscraper,"all, also",at,I,below,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,揸,住,飛機,，,飛,得,好,高,。,我,由,香港,飛,去,唔同,嘅,國家,，,飛機,速度,好,快,，,唔使,幾耐,就,環繞,世界,一,周,喇,！,而家,巴黎鐵塔,就,喺,我,下面,，,我,諗,緊,到底,之後,去,邊度,好,呢,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,zaa1,zyu6,fei1-gei1,#,fei1,dak1,hou2,gou1,#,ngo5,jau4,hoeng1-gong2,fei1,heoi3,m4-tung4,ge3,gwok3-gaa1,#,fei1-gei1,cuk1-dou6,hou2,faai3,#,m4-sai2,gei2-noi6,zau6,waan4-jiu2,sai3-gaai3,jat1,zau1,laa3,#,ji4-gaa1,baa1-lai4-tit3-taap3,zau6,hai2,ngo5,haa6-min6,#,ngo5,nam2,gan2,dou3-dai2,zi1-hau6,heoi3,bin1-dou6,hou2,ne1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,drive,-ing,airplane,#,fly,(suffix),very,high,#,I,from,Hong Kong,fly,to,different,(linker),country,#,airplane,speed,very,fast,#,no need,so long (time),then,go around,world,one,cycle,(particle),#,now,Eiffel Tower,then,at,I,below,#,I,think,-ing,to the end,later,go,where,good,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,叮,－,叮,－,叮,－,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ding1,#,ding1,#,ding1,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ding,#,ding,#,ding,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1d],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
突然,響起,一,陣,好,嘈,嘅,聲音,，,係,咩,聲,嚟,？,唔通,飛機,出現,問題,？,如果,係,就,大鑊,啦,，,我,要,緊急,降落,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dat6-jin4,hoeng2-hei2,jat1,zan6,hou2,cou4,ge3,sing1-jam1,#,hai6,me1,seng1,lei4,#,m4-tung1,fei1-gei1,ceot1-jin6,man6-tai4,#,jyu4-gwo2,hai6,zau6,daai6-wok6,laa3,#,ngo5,jiu3,gan2-gap1,gong3-lok6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
