[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
媽媽,幾點,返屋企,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maa4-maa1,gei2-dim2,faan1-uk1-kei2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mama,what time,to go home,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,屋企,有,個,老爺鐘,，,一個,鐘,響,一,次,。,噹,、,噹,、,噹,、,噹,、,噹,、,噹,！,6,點鐘,，,媽媽,又,要,返工,，,我,好,唔,開心,。,媽媽,話,：,「,我,會,喺,你,瞓覺,之前,返屋企,。,」,我,問,：,「,噉,即係,幾點,呀,？,」,媽媽,話,：,「,今晚,個,鐘,響,9,下,之前,，,我,就,返,到,嚟,㗎喇,。,你,要,乖乖,聽,爸爸,、,爺爺,話,呀,。,」,我,同,媽媽,講,：,「,好,！,我,會,乖,㗎喇,！,」
ngo5,uk1-kei2,jau5,go3,lou5-je4-zung1,#,jat1-go3,zung1,hoeng2,jat1,ci3,#,dong1,#,dong1,#,dong1,#,dong1,#,dong1,#,dong1,#,luk6,dim2-zung1,#,maa4-maa1,jau6,jiu3,faan1-gung1,#,ngo5,hou2,m4,hoi1-sam1,#,maa4-maa1,waa6,#,#,ngo5,wui5,hai2,nei5,fan3-gaau3,zi1-cin4,faan1-uk1-kei2,#,#,ngo5,man6,#,#,gam2,zik1-hai6,gei2-dim2,aa3,#,#,maa4-maa1,waa6,#,#,gam1-maan1,go3,zung1,hoeng2,gau2,haa5,zi1-cin4,#,ngo5,zau6,faan1,dou3,lei4,gaa3-laa3,#,nei5,jiu3,gwaai1-gwaai1,teng1,baa4-baa1,#,je4-je2,waa6,aa3,#,#,ngo5,tung4,maa4-maa1,gong2,#,#,hou2,#,ngo5,wui5,gwaai1,gaa3-laa3,#,#
I,home,have,(measure),grandfather clock,#,one (measure),hour,sound,one,time,#,(sound),#,(sound),#,(sound),#,(sound),#,(sound),#,(sound),#,6,o'clock,#,mama,again,have to,go to work,#,I,very,not,happy,#,mama,say,#,#,I,will,at,you,sleep,before,go home,#,#,I,ask,#,#,then,that means,what time,(particle),#,#,mama,say,#,#,tonight,(measure),clock,sound,9,time,before,#,I,then,return,arrive,come,(particle),#,you,have to,well-behaved,listen to,father,#,grandfather,words,(particle),#,#,I,to,mama,say,#,#,good,#,I,will,well-behaved,(particle),#,#
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
我,好,掛住,媽媽,，,我,寫,咗,個,6,字,，,倒轉,佢,，,再,畫,返,個,鐘,面,，,希望,上晝,6,點,可以,快啲,變,夜晚,9,點,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ngo5,hou2,gwaa3-zyu6,maa4-maa1,#,ngo5,se2,zo2,go3,luk6,zi6,#,dou3-zyun3,keoi5,#,zoi3,waak6,faan1,go3,zung1,min2,#,hei1-mong6,soeng6-zau3,luk6,dim2,ho2-ji5,faai3-di1,bin3,je6-maan5,gau2,dim2,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
I,very,miss,mama,#,I,write,-en,(measure),6,word,#,reverse,it,#,again,draw,back,(measure),clock,surface,#,hope,morning,6,o'clock,can,faster,change to,night,9,o'clock,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爸爸,叫,我,飲奶,，,我,話,要,等,媽媽,返嚟,先,飲,。,但,我,望,下,個,掛牆,鐘,，,而家,只係,8,點,。,我,好,肚餓,，,又,記得,自己,話,過,會,聽話,，,所以,我,有,乖乖,食,早餐,，,淨係,冇,飲奶,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baa4-baa1,giu3,ngo5,jam2-naai5,#,ngo5,waa6,jiu3,dang2,maa4-maa1,faan1-lei4,sin1,jam2,#,daan6,ngo5,mong6,haa5,go3,gwaa3-coeng4,zung1,#,ji4-gaa1,zi2-hai6,baat3,dim2,#,ngo5,hou2,tou5-ngo6,#,jau6,gei3-dak1,zi6-gei2,waa6,gwo3,wui5,teng1-waa6,#,so2-ji5,ngo5,jau5,gwaai1-gwaai1,sik6,zou2-caan1,#,zing6-hai6,mou5,jam2-naai5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
father,tell,I,drink milk,#,I,say,want to,wait,mama,come back,then,drink,#,but,I,look,a bit,(measure),wall-hanging,clock,#,now,just only,8,o'clock,#,I,very,hungry,#,also,remember,oneself,say,-ed,will,well-behaved,#,therefore,I,have,well-behaved,eat,breakfast,#,only,don't have,drink milk,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3-q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,1,),：,你,知道,時鐘,上,的,紅色,和,黑色,指針,分別,是,甚麼,嗎,？,時針,？,分針,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,jat1,#,#,nei5,zi1-dou3,si4-zung1,soeng6,dik1,hung4-sik1,wo4,hak1-sik1,zi2-zam1,fan1-bit6,si6,sam6-mo1,maa1,#,si4-zam1,#,fan1-zam1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,1,#,#,you,know,clock,top,(linker),red,and,black,clock hands,respectively,is,what,(particle),#,hour hand,#,minute hand,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
爺爺,話,，,出,下,街,，,時間,就,會,快啲,過,，,我,就,跟,佢,去,街巿,買,菜,。,我,想,食,嗰啲,紫色,一,條,條,嘅,蔬菜,。,「,呢啲,叫,矮瓜,。,」,街巿,叔叔,講,完,，,就,拎,咗,個,大,矮瓜,畀,我,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
je4-je2,waa6,#,ceot1,haa5,gaai1,#,si4-gaan3,zau6,wui5,faai3-di1,gwo3,#,ngo5,zau6,gan1,keoi5,heoi3,gaai1-si5,maai5,coi3,#,ngo5,soeng2,sik6,go2-di1,zi2-sik1,jat1,tiu4,tiu4,ge3,so1-coi3,#,#,nei1-di1,giu3,ai2-gwaa1,#,#,gaai1-si5,suk1-suk1,gong2,jyun4,#,zau6,ling1,zo2,go3,daai6,ai2-gwaa1,bei2,ngo5,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grandfather,say,#,go out,a bit,street,#,time,then,will,faster,pass,#,I,then,follow,he,go,wet market,buy,vegetables,#,I,want to,eat,those,purple,one,(measure),(measure),(linker),vegetable,#,#,these,are called,eggplant,#,#,wet market,uncle,say,finish,#,then,take,-en,(measure),big,eggplant,to,I,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[4-q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,2,),：,你,知道,現在,的,時間,嗎,？,請,你,從,圖,中,圈,出,時間,。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,ji6,#,#,nei5,zi1-dou3,jin6-zoi6,dik1,si4-gaan3,maa1,#,cing2,nei5,cung4,tou4,zung1,hyun1,ceot1,si4-gaan3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
