[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
免費,雪條,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
min5-fai3,syut3-tiu2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
free of charge,ice-lolly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
炎炎夏日,，,藍天,白雲,，,小美,喺,天台,望住,隻,錶,，,佢,等,緊,咩,呢,？,佢,等,緊,雪條,車,嚟,呀,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jim4-jim4-haa6-jat6,#,laam4-tin1,baak6-wan4,#,siu2-mei5,hai2,tin1-toi2,mong6-zyu6,zek3,biu1,#,keoi5,dang2,gan2,me1,ne1,#,keoi5,dang2,gan2,syut3-tiu2,ce1,lei4,aa3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a hot summer day,#,blue sky,white cloud,#,May,at,rooftop,staring,(measure),watch,#,she,wait,-ing,what,(particle),#,she,wait,-ing,ice-lolly,trolley,to come,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
「,鈴鈴鈴,……,鈴鈴鈴,……,」,小美,聽到,雪條,車,嘅,鈴鈴,聲,，,即刻,跑,咗,出去,！,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,ling1-ling1-ling1,#,ling1-ling1-ling1,#,#,siu2-mei5,teng1-dou2,syut3-tiu2,ce1,ge3,ling1-ling1,seng1,#,zik1-hak1,paau2,zo2,ceot1-heoi3,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,(bell ring),#,(bell ring),#,#,May,hear,ice-lolly,trolley,(linker),(bell ring),sound,#,immediately,run,-en,out,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老伯伯,笑,住,話,：,「,小美,，,你,好,準時,喎,。,」,小美,話,：,「,我,驚,伯伯,啲,雪條,俾人,買,晒,啊,。,」,老伯伯,話,：,「,你,唔使,驚,，,我,呢度,有,100,支,雪條,！,噉,你,今日,想,要,幾多,支,雪條,呀,？,」,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lou5-baak3-baak3,siu3,zyu6,waa6,#,#,siu2-mei5,#,nei5,hou2,zeon2-si4,wo3,#,#,siu2-mei5,waa6,#,#,ngo5,geng1,baak3-baak3,di1,syut3-tiu2,bei2-jan4,maai5,saai3,aa3,#,#,lou5-baak3-baak3,waa6,#,#,nei5,m4-sai2,geng1,#,ngo5,nei1-dou6,jau5,jat1-baak3,zi1,syut3-tiu2,#,gam2,nei5,gam1-jat6,soeng2,jiu3,gei2-do1,zi1,syut3-tiu2,aa3,#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
old gentleman,smile,-ing,say,#,#,May,#,you,very,punctual,(particle),#,#,May,say,#,#,I,fear,old gentleman,’s,ice-lolly,by people,buy,all,(particle),#,#,old gentleman,say,#,#,you,no need,fear,#,I,here,have,100,(measure),ice-lolly,#,then,you,today,want,to have,how many,(measure),ice-lolly,(particle),#,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
