[0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
貓,、,老鼠,同,平面圖形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maau1,#,lou5-syu2,tung4,ping4-min2-tou4-jing4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cat,#,mouse,and,2D shapes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
貓貓,同,老鼠,係,好朋友,，,佢哋,每日,嘅,活動,就係,一齊,玩,、,一齊,瞓覺,、,一齊,食嘢,。,你,睇,，,佢哋,喺,個,窩,度,瞓,得,幾,稔,，,我哋,要,細聲,啲,呀,。,,,,,,,,,,,,,,,,,
maau1-maau1,tung4,lou5-syu2,hai6,hou2-pang4-jau5,#,keoi5-dei6,mui5-jat6,ge3,wut6-dung6,zau6-hai6,jat1-cai4,waan2,#,jat1-cai4,fan3-gaau3,#,jat1-cai4,sik6-je5,#,nei5,tai2,#,keoi5-dei6,hai2,go3,wo1,dou6,fan3,dak1,gei2,nam6,#,ngo5-dei6,jiu3,sai3-seng1,di1,aa3,#,,,,,,,,,,,,,,,,,
kitty,and,mouse,are,good friends,#,they,every day,(linker),activity,which is,together,play,#,together,sleep,#,together,eat thing,#,you,look,#,they,at,(measure),den,there,sleep,(suffix),how,sound asleep,#,we,have to,low voice,a bit,(particle),#,,,,,,,,,,,,,,,,,
[1q],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,1,),﹕,牠們,睡覺,的,地方,是,甚麼,形狀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,jat1,#,#,taa1-mun4,seoi6-gaau3,dik1,dei6-fong1,si6,sam6-mo1,jing4-zong6,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,1,#,#,they (animal),sleep,(linker),place,is,what,shape,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
貓貓,好,鍾意,玩,貓,捉,老鼠,，,佢哋,會,喺,屋企,後面,嘅,樹林,追嚟追去,，,又,會,跳,上,跳,落,，,仲,試過,跳,咗,上,個,好,高,嘅,屋頂,，,個,屋頂,係,三角形,，,斜,落嚟,嗰,邊,仲,可以,當,滑梯,瀡,㗎,！,,,,,
maau1-maau1,hou2,zung1-ji3,waan2,maau1,zuk1,lou5-syu2,#,keoi5-dei6,wui5,hai2,uk1-kei2,hau6-min6,ge3,syu6-lam4,zeoi1-lei4-zeoi1-heoi3,#,jau6,wui5,tiu3,soeng5,tiu3,lok6,#,zung6,si3-gwo3,tiu3,zo2,soeng5,go3,hou2,gou1,ge3,uk1-deng2,#,go3,uk1-deng2,hai6,saam1-gok3-jing4,#,ce3,lok6-lei4,go2,bin1,zung6,ho2-ji5,dong3,waat6-tai1,soe4,gaa3,#,,,,,
kitty,very,like to,play,cat,catch,mouse,#,they,will,at,home,behind,(linker),woods,chase around,#,also,will,jump,up,jump,down,#,even,once,jump,-en,up,(measure),very,high,(linker),rooftop,#,(measure),rooftop,is,triangle,#,inclined,down,that,side,even,can,take...as,slide,to slide,(particle),#,,,,,
[2q1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,2,),﹕,你,知道,三角形,有,甚麼,特別,嗎,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jing3-jung6,tai4,#,ji6,#,#,nei5,zi1-dou3,saam1-gok3-jing4,jau5,sam6-mo1,dak6-bit6,maa1,#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
application,question,#,2,#,#,you,know,triangle,have,what,special,(particle),#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2q2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
應用,題,(,3,),﹕,圖,中,有,多少,棵,樹,？,這些,樹,是,甚麼,形狀,？,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
