storyid,legacysheet,titleC,titleE,target,levelC,levelE,author,originalAuthor,editor,cantoneseTeam,artist,synopsisC,synopsisE,keywords,isbn,attribution
00001,00001-f-code.csv,出街玩,A Trip Downtown,細路 Child,HBL Lv3,CEFR A1,雞先生 Mr Chicken @mrchickenhk,,魚魚老師 Ms Fish,"奇啲 Katy Chan, 一郎 Ichirou",雞先生 Mr Chicken @mrchickenhk,雞先生同 An 鴨想出街玩。唔知佢哋最尾點樣出去呢？,Mr. Chicken and An Duck decide to visit friends downtown. How did they get there?,"交通，友情，解決難題 Transport, Friendship, Problem solving",,
00002,00002-f-code.csv,個個都唔一樣,Everyone is Different,細路 Child,HBL Lv1,CEFR A1,余該隱,,魚魚老師 Ms Fish,"余該隱, 魚魚老師Ms Fish, Summer Mut, Connie",Kenneth,你知唔知阿樂同其他同學仔有咩唔同？,What are the differences between Lok and his classmates?,"認識自己、佊此欣常、學做比較 Self-awareness, Appreciation, Comparison",,"“Flowers of One Garden” (Cantonese), written by 余該隱, illustrated by Kenneth, published by HamBaangLaang (© HamBaangLaang, 2021) under a CC BY 4.0 license on hambaanglaang.hk This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA.
"
00003,00003-f-code.csv,藍藍同黃色大門,Behind the Yellow door,細路 Child,HBL Lv3,CEFR A2,載蒔,,,"載蒔, Charles",佳美,,A walk with the Rabbit King. What joys will it bring ?,"Dreams, Working together, Adventure",,
00004,00004-f-code.csv,哮喘發作,First Aid-Asthma Attack ,,HBL Lv4,,"Cheung Tak Ying ,T. T. CHEUNG",,,"Cheung Tak Ying, T. T. CHEUNG, Connie",Szeto Wing Yan,,,,,
00005,00005-f-code.csv,流血,First Aid-Bleeding,,HBL Lv4,,"Cheung Tak Ying, T. T. Cheung",,,"Cheung Tak Ying, T. T. CHEUNG, Connie",Szeto Wing Yan,,,,,
00006,00006-f-code.csv,揸巴士嘅彩虹恐龍,The Rainbow Dinosaur who Drives a Bus,細路 Child,HBL Lv4,CEFR A1,黃可偉 Wong Ho Wai Tomaz,,阿擇 Chaak 、一郎  Ichirou,阿擇 Chaak 、一郎  Ichirou,Fiona Mok,偉偉同新朋友踏上咗探險旅程喇！,"Wai Wai goes on a wild ride with his colourful friends. 
","零食，拒絕，探險 Snacks, Saying No, Adventure",,
00007,00007-f-code.csv,早晨,Never Give Up!,細路 Child,HBL Lv3,CEFR A1,萌君 moekun,,"Miss Cindy
","Miss Cindy
","琪 Ki  (ig @yellow_cardboard)
",今日阿麗唔睬我，唔通佢唔想同我做朋友？ ,"Will Lai talk to me tomorrow? Will we be friends?
","勇氣，友情，校園生活 Courage, Friendship, School-life ",,
00008,00008-f-code.csv,星期日嘅沙灘,Off to the Beach ,大人 Adults,HBL Lv2,CEFR A2,葉俊延,,Edwin Lo,Edwin Lo,"琪 Ki  (ig @yellow_cardboard)
",我鄉下嘅沙灘好靚㗎，原來香港嘅沙灘都係咁靚。,The beach awakens memories of other places and happier times.,"香港生活，假日，懷舊 Hong Kong life, Holiday, Nostalgia
",,
00009,00009-f-code.csv,艷遇,A romantic affair,大人 Adults,HBL Lv2,N/A,August Chan,,Kimmy ,"Aquaria, 一郎, 阿擇",,,,,,
00010,00010-f-code-print.csv,出街食飯,Going out for a meal,細路 Child,HBL Lv2,CEFR A1,Kt Chan,,Cindy,"Kt Chan, Cindy, 胡智聰, Summer Mut, Grace Chan",Sam,從飲湯學習嘗試同失敗嘅過程。,Taking the first step of trying out something new can be fun and a little scary sometimes.,"鼓勵, 食物, 童年Encouragement, Food, Childhood",978-988-75804-1-6,"“A Hot Bowl of Soup” (Cantonese), written by Kt Chan, illustrated by Sam, published by HamBaangLaang (© HamBaangLaang, 2020) under a CC BY 4.0 license on hambaanglaang.hk This work is licensed under the Creative Commons Attribution 4.0 International License. To view a copy of this license, visit http://creativecommons.org/licenses/by/4.0/ or send a letter to Creative Commons, PO Box 1866, Mountain View, CA 94042, USA."
