storyid	legacysheet	titleC	titleE	target	levelC	levelE	author	editor1	editor2	artist	synopsisC	synopsisE	keywords	isbn	attribution
00001	00001-f-code.csv	出街玩	A Trip Downtown	細路 Child	HBL Lv3	CEFR A1	雞先生 Mr Chicken @mrchickenhk	魚魚老師 Ms Fish	奇啲 Katy Chan, 一郎 Ichirou	雞先生 Mr Chicken @mrchickenhk	雞先生同 An 鴨想出街玩。唔知佢哋最尾點樣出去呢？	Mr. Chicken and An Duck decide to visit friends downtown. How did they get there?	交通，友情，解決難題 Transport, Friendship, Problem solving		
00002	00002-f-code.csv	個個都唔一樣	Everyone is Different												
00003	00003-f-code.csv	藍藍同黃色大門	Behind the Yellow door												
00004	00004-f-code.csv	哮喘發作	First Aid-Asthma Attack 												
00005	00005-f-code.csv	流血	First Aid-Bleeding												
00006	00006-f-code.csv	揸巴士嘅彩虹恐龍	The Rainbow Dinosaur who Drives a Bus												
00007	00007-f-code.csv	早晨	Never Give Up!												
00008	00008-f-code.csv	星期日嘅沙灘	Off to the Beach 												
00009	00009-f-code.csv	艷遇	A romantic affair												
00010	00010-f-code-print.csv	出街食飯	Going out for a meal												
00011	00011-f-code.csv	我唔明白？	I don't understand												
00012	00012-f-code.csv	同阿仔玩嘅一日	 My Son My Sun												
00013	00013-f-code-print.csv	屋企嘅問題	Family problem												
00014	00014-f-code.csv	我靚唔靚？	Am I pretty?												
00015	00015-f-code.csv	燒傷	First Aid-Burn												
00016	00016-f-code.csv	妮妮同哥哥去主題樂園玩	Ups and Downs												
00017	00017-f-code.csv	哽塞	First Aid-Choking												
00018		夜唔夜？	NIGHT												
00019	00019-f-code.csv	九龍	Kowloon												
00020	00020-f-code.csv	骨折	First Aid-Fracture												
00021	00021-f-code-print.csv	恐龍樂園	there were dinosaurs												
00022	00022-f-code.csv		First Aid-Head Injury												
00023	00023-f-code.csv	同公公婆婆食飯	meal with grandparents												
00024	00024-f-code.csv	問路													
00025	00025-f-code-print.csv	食橙	I am orange												
00026	00026-f-code.csv	盒	Box												
00027	00027-f-code.csv		First Aid-Unresponsive No Breathing												
00028	00028-f-code-video.csv	生日													
00029	00029-f-code.csv	明仔													
00030	00030-f-code.csv	巴士有個人跌咗落嚟													
00031	00031-f-code.csv		First Aid-Unresponsive with Breathing												
00032	00032-f-code.csv	寫畀Joanna嘅情信													
00033	00033-f-code.csv	屋企人													
00034	00034-f-code.csv	阿樂寫俾恐龍仔嘅信													
00035	00035-f-code.csv	阿樂歷險記													
00036	00036-f-code.csv	鄉愁	homeland												
00037	00037-f-code.csv	望													
00038	00038-f-code-video.csv	阿仔	      												
00039p	00039p-f-code.csv	我哋要永遠喺埋一齊													
00040p	00040p-f-code.csv	十公主													
00041	00041-f-code-print.csv	白白													
00042		深夜加油站													
00043p	00043p-f-code.csv	植物王國													
00044	00044-f-code.csv	波板糖													
00045	00045-f-code.csv	唔該晒你													
00046	00046-f-code.csv	唔再驚蜜蜂	Bees Are Not Frightening												
00047p	00047p-f-code.csv	婆婆今年幾歲？													
